sample_name,organoid_line,tcell_line,exp_nr,well,tcell_channel,live_channel,dead_channel,pixel_distance_xy,pixel_distance_z,distance_unit,time_interval,time_unit,dimension_order,raw_image_path,tcell_segments_image_path,tcell_tracks_image_path,tcell_tracks_csv_path,organoid_segments_image_path,organoid_tracks_image_path,organoid_tracks_csv_path
ROCHE_JM1_Exp011_Img04,169M,MAGE-A4 TCB,1,well0,0,1,2,1.77,1.77,μm,1200,s,TCZYX,,,,,,,
ROCHE_JM1_Exp011_Img05,169M,MAGE-A4 TCB,1,well0,0,1,2,1.77,1.77,μm,1200,s,TCZYX,,,,,,,
ROCHE_JM1_Exp011_Img09,36T,MAGE-A4 TCB,1,well0,0,1,2,1.77,1.77,μm,1200,s,TCZYX,,,,,,,
ROCHE_JM1_Exp012-2_Img04,169M,MAGE-A4 TCB,1,well0,1,2,3,1.77,1.77,μm,1200,s,TCZYX,,,,,,,
ROCHE_JM1_Exp012-2_Img05,169M,MAGE-A4 TCB,1,well0,1,2,3,1.77,1.77,μm,1200,s,TCZYX,,,,,,,
ROCHE_JM1_Exp012-2_Img06,36T,MAGE-A4 TCB,1,well0,1,2,3,1.77,1.77,μm,1200,s,TCZYX,,,,,,,
ROCHE_JM1_Exp012-2_Img07,36T,MAGE-A4 TCB,1,well0,1,2,3,1.77,1.77,μm,1200,s,TCZYX,,,,,,,
ROCHE_JM1_Exp016-1_Img02μmAGEA4_TCB_Behav3d(3),169M,MAGE-A4 TCB,1,well0,0,1,2,1.77,1.77,μm,1200,s,TCZYX,,,,,,,
ROCHE_JM1_Exp016-1_Img02μmAGEA4_TCB_Behav3d(4),169M,MAGE-A4 TCB,1,well0,0,1,2,1.77,1.77,μm,1200,s,TCZYX,,,,,,,
ROCHE_JM1_Exp016-1_Img02μmAGEA4_TCB_Behav3d(5),36T,MAGE-A4 TCB,1,well0,0,1,2,1.77,1.77,μm,1200,s,TCZYX,,,,,,,
ROCHE_JM1_Exp016-1_Img02μmAGEA4_TCB_Behav3d(6),36T,MAGE-A4 TCB,1,well0,0,1,2,1.77,1.77,μm,1200,s,TCZYX,,,,,,,
