
Intensity Mean Ch=3 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,TrackID,ID,
69.875,,Surface,3,Image 1,1,1000072562,72562,
38.9091,,Surface,3,Image 1,1,1000072563,72563,
100.141,,Surface,3,Image 1,1,1000072564,72564,
28.6,,Surface,3,Image 1,1,1000072565,72565,
66.2449,,Surface,3,Image 1,1,1000072566,72566,
3.84615,,Surface,3,Image 1,1,1000072567,72567,
121.1,,Surface,3,Image 1,1,1000072568,72568,
42.0278,,Surface,3,Image 1,1,1000072569,72569,
42.7273,,Surface,3,Image 1,1,1000072570,72570,
72.3636,,Surface,3,Image 1,1,1000072571,72571,
46.5625,,Surface,3,Image 1,1,1000072572,72572,
65.1972,,Surface,3,Image 1,1,1000072573,72573,
57.7778,,Surface,3,Image 1,1,1000072574,72574,
93.5147,,Surface,3,Image 1,1,1000072575,72575,
8.89474,,Surface,3,Image 1,1,1000072576,72576,
87.4103,,Surface,3,Image 1,1,1000072577,72577,
49.1364,,Surface,3,Image 1,1,1000072578,72578,
54.9079,,Surface,3,Image 1,1,1000072579,72579,
79.4526,,Surface,3,Image 1,1,1000072580,72580,
77.9444,,Surface,3,Image 1,1,1000072581,72581,
89.3889,,Surface,3,Image 1,1,1000072582,72582,
115.629,,Surface,3,Image 1,1,1000072583,72583,
52.8462,,Surface,3,Image 1,1,1000072584,72584,
120.321,,Surface,3,Image 1,1,1000072585,72585,
106.683,,Surface,3,Image 1,1,1000072586,72586,
68.8889,,Surface,3,Image 1,1,1000072587,72587,
95.9844,,Surface,3,Image 1,1,1000072588,72588,
82.0909,,Surface,3,Image 1,1,1000072589,72589,
58.6863,,Surface,3,Image 1,1,1000072590,72590,
79.1522,,Surface,3,Image 1,1,1000072591,72591,
104.974,,Surface,3,Image 1,1,1000072592,72592,
86.4819,,Surface,3,Image 1,1,1000072593,72593,
69.4674,,Surface,3,Image 1,1,1000072594,72594,
60.52,,Surface,3,Image 1,1,1000072595,72595,
92,,Surface,3,Image 1,1,1000072596,72596,
74.9667,,Surface,3,Image 1,1,1000072597,72597,
60.32,,Surface,3,Image 1,1,1000072598,72598,
47.9155,,Surface,3,Image 1,1,1000072599,72599,
112.981,,Surface,3,Image 1,1,1000072600,72600,
84.7742,,Surface,3,Image 1,1,1000072601,72601,
61.8571,,Surface,3,Image 1,1,1000072602,72602,
83.6897,,Surface,3,Image 1,1,1000072603,72603,
36.2037,,Surface,3,Image 1,1,1000072604,72604,
106.016,,Surface,3,Image 1,1,1000072605,72605,
95.8039,,Surface,3,Image 1,1,1000072606,72606,
46.4746,,Surface,3,Image 1,1,1000072607,72607,
82.5679,,Surface,3,Image 1,1,1000072608,72608,
53.9524,,Surface,3,Image 1,1,1000072609,72609,
128.368,,Surface,3,Image 1,1,1000072610,72610,
76.9701,,Surface,3,Image 1,1,1000072611,72611,
82.697,,Surface,3,Image 1,1,1000072612,72612,
72.1941,,Surface,3,Image 1,1,1000072613,72613,
48.7391,,Surface,3,Image 1,1,1000072614,72614,
85.5294,,Surface,3,Image 1,1,1000072615,72615,
66.6897,,Surface,3,Image 1,1,1000072616,72616,
147.875,,Surface,3,Image 1,1,1000072617,72617,
87.6327,,Surface,3,Image 1,1,1000072618,72618,
75.6596,,Surface,3,Image 1,1,1000072619,72619,
96.4833,,Surface,3,Image 1,1,1000072620,72620,
61.4167,,Surface,3,Image 1,1,1000072621,72621,
89.6452,,Surface,3,Image 1,1,1000072622,72622,
53.5429,,Surface,3,Image 1,1,1000072623,72623,
97.1607,,Surface,3,Image 1,1,1000072624,72624,
35.2941,,Surface,3,Image 1,1,1000072625,72625,
109.979,,Surface,3,Image 1,1,1000072626,72626,
103.828,,Surface,3,Image 1,1,1000072627,72627,
84.7544,,Surface,3,Image 1,1,1000072628,72628,
107.673,,Surface,3,Image 1,1,1000072629,72629,
66.75,,Surface,3,Image 1,1,1000072630,72630,
50.5652,,Surface,3,Image 1,2,1000072573,72631,
7.29412,,Surface,3,Image 1,2,1000072576,72632,
91.1,,Surface,3,Image 1,2,1000072574,72633,
55.1579,,Surface,3,Image 1,2,1000072562,72634,
