
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,TrackID,ID,
514.101,584.887,6.96429,um,Surface,Position,1,1000072562,72562,
423.325,669.044,9.54545,um,Surface,Position,1,1000072563,72563,
437.066,688.832,12.0909,um,Surface,Position,1,1000072564,72564,
562.544,605.762,7.92,um,Surface,Position,1,1000072565,72565,
569.976,636.199,7.50612,um,Surface,Position,1,1000072566,72566,
557.122,655.493,6.96923,um,Surface,Position,1,1000072567,72567,
654.365,585.145,5.232,um,Surface,Position,1,1000072568,72568,
664.853,605.762,8.41667,um,Surface,Position,1,1000072569,72569,
652.459,704.307,9.6,um,Surface,Position,1,1000072570,72570,
493.316,598.839,6.67273,um,Surface,Position,1,1000072571,72571,
592.035,478.012,7.7625,um,Surface,Position,1,1000072572,72572,
412.748,664.812,7.54648,um,Surface,Position,1,1000072573,72573,
695.78,383.02,6.25333,um,Surface,Position,1,1000072574,72574,
515.534,563.096,6.61765,um,Surface,Position,1,1000072575,72575,
604.364,471.428,7.23158,um,Surface,Position,1,1000072576,72576,
367.372,662.306,8.93846,um,Surface,Position,1,1000072577,72577,
528.472,527.667,6.10909,um,Surface,Position,1,1000072578,72578,
451.339,605.623,8.06842,um,Surface,Position,1,1000072579,72579,
388.922,631.801,11.0234,um,Surface,Position,1,1000072580,72580,
662.048,301.11,5.93333,um,Surface,Position,1,1000072581,72581,
321.268,662.245,6.17143,um,Surface,Position,1,1000072582,72582,
280.513,655.104,6.84,um,Surface,Position,1,1000072583,72583,
378.636,577.423,7.24615,um,Surface,Position,1,1000072584,72584,
501.26,456.979,7.2,um,Surface,Position,1,1000072585,72585,
311.262,598.634,7.65366,um,Surface,Position,1,1000072586,72586,
579.784,330.696,7.77778,um,Surface,Position,1,1000072587,72587,
381.424,506.573,7.125,um,Surface,Position,1,1000072588,72588,
313.509,571.465,6.38182,um,Surface,Position,1,1000072589,72589,
382.76,422.144,15.2824,um,Surface,Position,1,1000072590,72590,
682.696,138.31,9.15652,um,Surface,Position,1,1000072591,72591,
592.455,194.427,7.03077,um,Surface,Position,1,1000072592,72592,
184.187,589.523,8.71084,um,Surface,Position,1,1000072593,72593,
143.201,631.715,8.38696,um,Surface,Position,1,1000072594,72594,
40.8801,696.875,16.248,um,Surface,Position,1,1000072595,72595,
278.084,481.71,7.66667,um,Surface,Position,1,1000072596,72596,
401.598,342.911,6.92,um,Surface,Position,1,1000072597,72597,
54.0109,669.834,20.312,um,Surface,Position,1,1000072598,72598,
448.122,309.417,7.8676,um,Surface,Position,1,1000072599,72599,
580.59,131.412,9.49615,um,Surface,Position,1,1000072600,72600,
346.305,364.075,9.05806,um,Surface,Position,1,1000072601,72601,
575.854,152.326,8.28,um,Surface,Position,1,1000072602,72602,
530.454,152.509,7.13793,um,Surface,Position,1,1000072603,72603,
227.702,398.397,25.6,um,Surface,Position,1,1000072604,72604,
552.829,116.176,8.42951,um,Surface,Position,1,1000072605,72605,
202.025,449.651,8.27059,um,Surface,Position,1,1000072606,72606,
181.597,442.839,8.8983,um,Surface,Position,1,1000072607,72607,
91.3826,542.107,8.71852,um,Surface,Position,1,1000072608,72608,
362.091,257.673,6.48571,um,Surface,Position,1,1000072609,72609,
366.832,202.946,14.6211,um,Surface,Position,1,1000072610,72610,
221.722,392.5,6.13433,um,Surface,Position,1,1000072611,72611,
400.031,180.72,7.90909,um,Surface,Position,1,1000072612,72612,
109.087,432.619,12.3035,um,Surface,Position,1,1000072613,72613,
215.706,280.086,7.48696,um,Surface,Position,1,1000072614,72614,
108.045,350.392,7.94118,um,Surface,Position,1,1000072615,72615,
350.766,117.818,7.51034,um,Surface,Position,1,1000072616,72616,
350.114,81.9196,14.55,um,Surface,Position,1,1000072617,72617,
269.625,194.583,8.09388,um,Surface,Position,1,1000072618,72618,
127.604,315.204,8.73191,um,Surface,Position,1,1000072619,72619,
356.786,81.3587,13.86,um,Surface,Position,1,1000072620,72620,
244.608,206.467,9.76,um,Surface,Position,1,1000072621,72621,
322.879,95.8181,7.83871,um,Surface,Position,1,1000072622,72622,
51.1971,384.088,9.32,um,Surface,Position,1,1000072623,72623,
301.173,130.882,9.3,um,Surface,Position,1,1000072624,72624,
235.574,130.446,25.8,um,Surface,Position,1,1000072625,72625,
377.494,41.6978,8.375,um,Surface,Position,1,1000072626,72626,
165.946,216.152,9.28965,um,Surface,Position,1,1000072627,72627,
218.981,159.567,8.78947,um,Surface,Position,1,1000072628,72628,
66.2169,103.958,10.5462,um,Surface,Position,1,1000072629,72629,
64.7766,226.086,9.38571,um,Surface,Position,1,1000072630,72630,
409.694,663.058,8.1913,um,Surface,Position,2,1000072573,72631,
604.825,470.836,7.72941,um,Surface,Position,2,1000072576,72632,
700.819,386.011,6.16,um,Surface,Position,2,1000072574,72633,
517.605,585.284,7.58947,um,Surface,Position,2,1000072562,72634,
437.397,687.338,7.3,um,Surface,Position,2,1000072564,72635,
545.793,627.017,5.91429,um,Surface,Position,2,1000072636,72636,
560.065,605.762,8.04,um,Surface,Position,2,1000072565,72637,
563.363,638.198,8.3625,um,Surface,Position,2,1000072567,72638,
574.234,636.724,8.28,um,Surface,Position,2,1000072566,72639,
640.523,578.751,7.0125,um,Surface,Position,2,1000072568,72640,
667.242,605.839,8.66956,um,Surface,Position,2,1000072569,72641,
455.167,605.864,8.75172,um,Surface,Position,2,1000072579,72642,
592.546,471.149,8.58461,um,Surface,Position,2,1000072572,72643,
517.537,555.333,9.54545,um,Surface,Position,2,1000072575,72644,
368.553,662.306,6.78461,um,Surface,Position,2,1000072577,72645,
387.981,631.101,11.4317,um,Surface,Position,2,1000072580,72646,
330.701,677.095,11.9874,um,Surface,Position,2,1000072647,72647,
498.729,457.015,7.57959,um,Surface,Position,2,1000072585,72648,
660.993,302.72,6.6,um,Surface,Position,2,1000072581,72649,
320.082,662.639,6.69333,um,Surface,Position,2,1000072582,72650,
281.626,662.229,7.944,um,Surface,Position,2,1000072583,72651,
377.087,577.516,7.8,um,Surface,Position,2,1000072584,72652,
308.785,598.677,7.93333,um,Surface,Position,2,1000072586,72653,
582.092,338.869,8.61818,um,Surface,Position,2,1000072587,72654,
381.74,506.573,7.14783,um,Surface,Position,2,1000072588,72655,
313.509,569.275,5.72,um,Surface,Position,2,1000072589,72656,
419.783,441.712,8.6,um,Surface,Position,2,1000072657,72657,
108.605,676.332,8.49474,um,Surface,Position,2,1000072658,72658,
154.097,641.187,8.36471,um,Surface,Position,2,1000072659,72659,
680.521,137.973,8.7931,um,Surface,Position,2,1000072591,72660,
142.084,639.493,9.31304,um,Surface,Position,2,1000072594,72661,
589.513,194.605,6.23478,um,Surface,Position,2,1000072592,72662,
286.687,478.233,6.48571,um,Surface,Position,2,1000072596,72663,
182.397,591.409,8.62759,um,Surface,Position,2,1000072593,72664,
41.0812,696.438,16.3355,um,Surface,Position,2,1000072595,72665,
445.808,308.833,8.648,um,Surface,Position,2,1000072599,72666,
573.941,152.509,8.1931,um,Surface,Position,2,1000072602,72667,
401.762,345.391,7.90435,um,Surface,Position,2,1000072597,72668,
570.032,131.01,8.13103,um,Surface,Position,2,1000072600,72669,
344.8,364.809,8.75556,um,Surface,Position,2,1000072601,72670,
227.936,399.081,27.4125,um,Surface,Position,2,1000072604,72671,
550.037,123.986,10.0154,um,Surface,Position,2,1000072605,72672,
205.28,449.894,8.42069,um,Surface,Position,2,1000072606,72673,
361.529,256.337,8.86667,um,Surface,Position,2,1000072609,72674,
