
Intensity Min Ch=9 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,TrackID,ID,
13.6447,,Surface,9,Image 1,1,1000072562,72562,
15.8424,,Surface,9,Image 1,1,1000072563,72563,
14.8018,,Surface,9,Image 1,1,1000072564,72564,
10.6949,,Surface,9,Image 1,1,1000072565,72565,
39.2014,,Surface,9,Image 1,1,1000072566,72566,
52.359,,Surface,9,Image 1,1,1000072567,72567,
44.5697,,Surface,9,Image 1,1,1000072568,72568,
62.36,,Surface,9,Image 1,1,1000072569,72569,
141.579,,Surface,9,Image 1,1,1000072570,72570,
3.54247,,Surface,9,Image 1,1,1000072571,72571,
12.7726,,Surface,9,Image 1,1,1000072572,72572,
17.7124,,Surface,9,Image 1,1,1000072573,72573,
7.08494,,Surface,9,Image 1,1,1000072574,72574,
3.54247,,Surface,9,Image 1,1,1000072575,72575,
5.15152,,Surface,9,Image 1,1,1000072576,72576,
14.606,,Surface,9,Image 1,1,1000072577,72577,
6.93817,,Surface,9,Image 1,1,1000072578,72578,
5.00981,,Surface,9,Image 1,1,1000072579,72579,
28.3398,,Surface,9,Image 1,1,1000072580,72580,
10.895,,Surface,9,Image 1,1,1000072581,72581,
0,,Surface,9,Image 1,1,1000072582,72582,
31.8822,,Surface,9,Image 1,1,1000072583,72583,
55.1079,,Surface,9,Image 1,1,1000072584,72584,
29.3104,,Surface,9,Image 1,1,1000072585,72585,
25.049,,Surface,9,Image 1,1,1000072586,72586,
34.8893,,Surface,9,Image 1,1,1000072587,72587,
18.0631,,Surface,9,Image 1,1,1000072588,72588,
49.3409,,Surface,9,Image 1,1,1000072589,72589,
1.2,,Surface,9,Image 1,1,1000072590,72590,
56.0114,,Surface,9,Image 1,1,1000072591,72591,
60.222,,Surface,9,Image 1,1,1000072592,72592,
17.753,,Surface,9,Image 1,1,1000072593,72593,
68.9496,,Surface,9,Image 1,1,1000072594,72594,
0,,Surface,9,Image 1,1,1000072595,72595,
17.7124,,Surface,9,Image 1,1,1000072596,72596,
17.7123,,Surface,9,Image 1,1,1000072597,72597,
0,,Surface,9,Image 1,1,1000072598,72598,
27.6676,,Surface,9,Image 1,1,1000072599,72599,
12.7079,,Surface,9,Image 1,1,1000072600,72600,
1.2,,Surface,9,Image 1,1,1000072601,72601,
33.7229,,Surface,9,Image 1,1,1000072602,72602,
24.7973,,Surface,9,Image 1,1,1000072603,72603,
0,,Surface,9,Image 1,1,1000072604,72604,
18.4184,,Surface,9,Image 1,1,1000072605,72605,
39.2931,,Surface,9,Image 1,1,1000072606,72606,
40.4616,,Surface,9,Image 1,1,1000072607,72607,
37.657,,Surface,9,Image 1,1,1000072608,72608,
0,,Surface,9,Image 1,1,1000072609,72609,
11.2023,,Surface,9,Image 1,1,1000072610,72610,
0,,Surface,9,Image 1,1,1000072611,72611,
49.2282,,Surface,9,Image 1,1,1000072612,72612,
0,,Surface,9,Image 1,1,1000072613,72613,
34.9511,,Surface,9,Image 1,1,1000072614,72614,
14.1699,,Surface,9,Image 1,1,1000072615,72615,
23.309,,Surface,9,Image 1,1,1000072616,72616,
7.08494,,Surface,9,Image 1,1,1000072617,72617,
18.0745,,Surface,9,Image 1,1,1000072618,72618,
0,,Surface,9,Image 1,1,1000072619,72619,
0,,Surface,9,Image 1,1,1000072620,72620,
15.0294,,Surface,9,Image 1,1,1000072621,72621,
36.1262,,Surface,9,Image 1,1,1000072622,72622,
17.7124,,Surface,9,Image 1,1,1000072623,72623,
43.1628,,Surface,9,Image 1,1,1000072624,72624,
1.2,,Surface,9,Image 1,1,1000072625,72625,
0,,Surface,9,Image 1,1,1000072626,72626,
17.7124,,Surface,9,Image 1,1,1000072627,72627,
12.8288,,Surface,9,Image 1,1,1000072628,72628,
60.6373,,Surface,9,Image 1,1,1000072629,72629,
14.1699,,Surface,9,Image 1,1,1000072630,72630,
20.0392,,Surface,9,Image 1,2,1000072573,72631,
4.27891,,Surface,9,Image 1,2,1000072576,72632,
17.7123,,Surface,9,Image 1,2,1000072574,72633,
14.1699,,Surface,9,Image 1,2,1000072562,72634,
17.7124,,Surface,9,Image 1,2,1000072564,72635,
26.8908,,Surface,9,Image 1,2,1000072636,72636,
