
Intensity Mean Ch=3 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,TrackID,ID,
10.4737,,Surface,3,Image 1,1,1000046961,46961,
40.9247,,Surface,3,Image 1,1,1000046962,46962,
9.35484,,Surface,3,Image 1,1,1000046963,46963,
29.0706,,Surface,3,Image 1,1,1000046964,46964,
1.83333,,Surface,3,Image 1,1,1000046965,46965,
5.16154,,Surface,3,Image 1,1,1000046966,46966,
22.9891,,Surface,3,Image 1,1,1000046967,46967,
38.4029,,Surface,3,Image 1,1,1000046968,46968,
41.119,,Surface,3,Image 1,1,1000046969,46969,
29.6329,,Surface,3,Image 1,1,1000046970,46970,
8.89286,,Surface,3,Image 1,1,1000046971,46971,
16.5172,,Surface,3,Image 1,1,1000046972,46972,
47.2931,,Surface,3,Image 1,1,1000046973,46973,
39.5597,,Surface,3,Image 1,1,1000046974,46974,
20.4598,,Surface,3,Image 1,1,1000046975,46975,
19.4286,,Surface,3,Image 1,1,1000046976,46976,
25.8636,,Surface,3,Image 1,1,1000046977,46977,
52.8701,,Surface,3,Image 1,1,1000046978,46978,
15.5,,Surface,3,Image 1,1,1000046979,46979,
13.8108,,Surface,3,Image 1,1,1000046980,46980,
30.795,,Surface,3,Image 1,1,1000046981,46981,
37.3774,,Surface,3,Image 1,1,1000046982,46982,
40.5604,,Surface,3,Image 1,1,1000046983,46983,
46.3415,,Surface,3,Image 1,1,1000046984,46984,
64.8621,,Surface,3,Image 1,1,1000046985,46985,
24.1157,,Surface,3,Image 1,1,1000046986,46986,
7.91837,,Surface,3,Image 1,1,1000046987,46987,
0.538462,,Surface,3,Image 1,1,1000046988,46988,
39.5917,,Surface,3,Image 1,1,1000046989,46989,
14.9435,,Surface,3,Image 1,1,1000046990,46990,
49.3793,,Surface,3,Image 1,1,1000046991,46991,
3.27941,,Surface,3,Image 1,1,1000046992,46992,
58.0204,,Surface,3,Image 1,1,1000046993,46993,
39.4286,,Surface,3,Image 1,1,1000046994,46994,
36.6863,,Surface,3,Image 1,1,1000046995,46995,
4.29897,,Surface,3,Image 1,1,1000046996,46996,
35.7258,,Surface,3,Image 1,1,1000046997,46997,
112.419,,Surface,3,Image 1,1,1000046998,46998,
29.7939,,Surface,3,Image 1,1,1000046999,46999,
25.6053,,Surface,3,Image 1,1,1000047000,47000,
31.4,,Surface,3,Image 1,1,1000047001,47001,
38.9756,,Surface,3,Image 1,1,1000047002,47002,
26.9419,,Surface,3,Image 1,1,1000047003,47003,
31.2483,,Surface,3,Image 1,1,1000047004,47004,
82.6556,,Surface,3,Image 1,1,1000047005,47005,
81.7849,,Surface,3,Image 1,1,1000047006,47006,
12.3736,,Surface,3,Image 1,1,1000047007,47007,
36.2625,,Surface,3,Image 1,1,1000047008,47008,
68.3069,,Surface,3,Image 1,1,1000047009,47009,
32.9521,,Surface,3,Image 1,1,1000047010,47010,
62.9206,,Surface,3,Image 1,1,1000047011,47011,
61.6974,,Surface,3,Image 1,1,1000047012,47012,
11.75,,Surface,3,Image 1,1,1000047013,47013,
30.2329,,Surface,3,Image 1,1,1000047014,47014,
46.4048,,Surface,3,Image 1,1,1000047015,47015,
54.1739,,Surface,3,Image 1,1,1000047016,47016,
30.5658,,Surface,3,Image 1,1,1000047017,47017,
58.8824,,Surface,3,Image 1,1,1000047018,47018,
34.5597,,Surface,3,Image 1,1,1000047019,47019,
17.8543,,Surface,3,Image 1,1,1000047020,47020,
16.4231,,Surface,3,Image 1,1,1000047021,47021,
27.1239,,Surface,3,Image 1,1,1000047022,47022,
50.1341,,Surface,3,Image 1,1,1000047023,47023,
9.46667,,Surface,3,Image 1,1,1000047024,47024,
51.5106,,Surface,3,Image 1,1,1000047025,47025,
36.449,,Surface,3,Image 1,1,1000047026,47026,
43.9017,,Surface,3,Image 1,1,1000047027,47027,
8.69231,,Surface,3,Image 1,1,1000047028,47028,
9.23944,,Surface,3,Image 1,1,1000047029,47029,
54.3117,,Surface,3,Image 1,1,1000047030,47030,
27.7895,,Surface,3,Image 1,1,1000047031,47031,
71.1,,Surface,3,Image 1,1,1000047032,47032,
1.5625,,Surface,3,Image 1,1,1000047033,47033,
24.1,,Surface,3,Image 1,1,1000047034,47034,
1.46154,,Surface,3,Image 1,1,1000047035,47035,
2.13636,,Surface,3,Image 1,1,1000047036,47036,
9.03191,,Surface,3,Image 1,1,1000047037,47037,
58.8142,,Surface,3,Image 1,1,1000047038,47038,
37.119,,Surface,3,Image 1,1,1000047039,47039,
1.14865,,Surface,3,Image 1,1,1000047040,47040,
0.965517,,Surface,3,Image 1,1,1000047041,47041,
32.7822,,Surface,3,Image 1,1,1000047042,47042,
19.6532,,Surface,3,Image 1,1,1000047043,47043,
22.4886,,Surface,3,Image 1,1,1000047044,47044,
36.6607,,Surface,3,Image 1,1,1000047045,47045,
112,,Surface,3,Image 1,1,1000047046,47046,
16.9126,,Surface,3,Image 1,1,1000047047,47047,
0.896552,,Surface,3,Image 1,1,1000047048,47048,
16.2025,,Surface,3,Image 1,1,1000047049,47049,
44.9147,,Surface,3,Image 1,1,1000047050,47050,
15.9605,,Surface,3,Image 1,1,1000047051,47051,
16.7164,,Surface,3,Image 1,1,1000047052,47052,
42.0769,,Surface,3,Image 1,1,1000047053,47053,
53.8984,,Surface,3,Image 1,1,1000047054,47054,
64.2239,,Surface,3,Image 1,1,1000047055,47055,
27.7823,,Surface,3,Image 1,1,1000047056,47056,
21.6642,,Surface,3,Image 1,1,1000047057,47057,
34.5581,,Surface,3,Image 1,1,1000047058,47058,
31.4924,,Surface,3,Image 1,1,1000047059,47059,
41.8137,,Surface,3,Image 1,1,1000047060,47060,
24.5424,,Surface,3,Image 1,1,1000047061,47061,
27.28,,Surface,3,Image 1,2,1000046970,47062,
7.36667,,Surface,3,Image 1,2,1000046971,47063,
29.1081,,Surface,3,Image 1,2,1000046972,47064,
25.1325,,Surface,3,Image 1,2,1000046974,47065,
61.8261,,Surface,3,Image 1,2,1000046973,47066,
18.547,,Surface,3,Image 1,2,1000046975,47067,
25.08,,Surface,3,Image 1,2,1000046976,47068,
56.1477,,Surface,3,Image 1,2,1000046978,47069,
33.5172,,Surface,3,Image 1,2,1000046977,47070,
21.274,,Surface,3,Image 1,2,1000046979,47071,
4.70313,,Surface,3,Image 1,2,1000046980,47072,
31.8497,,Surface,3,Image 1,2,1000046981,47073,
39.5814,,Surface,3,Image 1,2,1000046969,47074,
71.5357,,Surface,3,Image 1,2,1000046967,47075,
15.6667,,Surface,3,Image 1,2,1000046963,47076,
29.8894,,Surface,3,Image 1,2,1000046968,47077,
44.541,,Surface,3,Image 1,2,1000046962,47078,
11.7132,,Surface,3,Image 1,2,1000046964,47079,
5.8,,Surface,3,Image 1,2,1000046966,47080,
48.6271,,Surface,3,Image 1,2,1000046961,47081,
59.3778,,Surface,3,Image 1,2,1000046984,47082,
6.21053,,Surface,3,Image 1,2,1000046965,47083,
40.4455,,Surface,3,Image 1,2,1000046983,47084,
50.6353,,Surface,3,Image 1,2,1000046982,47085,
13.1211,,Surface,3,Image 1,2,1000046986,47086,
10.625,,Surface,3,Image 1,2,1000046987,47087,
64.1714,,Surface,3,Image 1,2,1000046985,47088,
29.6505,,Surface,3,Image 1,2,1000046990,47089,
23.7143,,Surface,3,Image 1,2,1000046993,47090,
32.3357,,Surface,3,Image 1,2,1000046991,47091,
37.3509,,Surface,3,Image 1,2,1000046994,47092,
17.117,,Surface,3,Image 1,2,1000046992,47093,
0.416667,,Surface,3,Image 1,2,1000046988,47094,
20.9474,,Surface,3,Image 1,2,1000046989,47095,
40.5944,,Surface,3,Image 1,2,1000046995,47096,
9.72973,,Surface,3,Image 1,2,1000046996,47097,
14.8857,,Surface,3,Image 1,2,1000046997,47098,
39.7961,,Surface,3,Image 1,2,1000046999,47099,
117.745,,Surface,3,Image 1,2,1000046998,47100,
37.2703,,Surface,3,Image 1,2,1000047002,47101,
0,,Surface,3,Image 1,2,1000047102,47102,
29.6923,,Surface,3,Image 1,2,1000047103,47103,
34.2185,,Surface,3,Image 1,2,1000047000,47104,
31.5138,,Surface,3,Image 1,2,1000047001,47105,
63.1206,,Surface,3,Image 1,2,1000047006,47106,
28.0486,,Surface,3,Image 1,2,1000047004,47107,
73.8864,,Surface,3,Image 1,2,1000047005,47108,
11.1129,,Surface,3,Image 1,2,1000047003,47109,
16.1421,,Surface,3,Image 1,2,1000047007,47110,
40.24,,Surface,3,Image 1,2,1000047008,47111,
52.6731,,Surface,3,Image 1,2,1000047009,47112,
29.8657,,Surface,3,Image 1,2,1000047010,47113,
53.2647,,Surface,3,Image 1,2,1000047015,47114,
27.9348,,Surface,3,Image 1,2,1000047014,47115,
64.7636,,Surface,3,Image 1,2,1000047011,47116,
54.6389,,Surface,3,Image 1,2,1000047012,47117,
13.776,,Surface,3,Image 1,2,1000047020,47118,
56.6806,,Surface,3,Image 1,2,1000047016,47119,
21.1404,,Surface,3,Image 1,2,1000047017,47120,
22.078,,Surface,3,Image 1,2,1000047022,47121,
23.048,,Surface,3,Image 1,2,1000047021,47122,
57.6105,,Surface,3,Image 1,2,1000047018,47123,
27.0252,,Surface,3,Image 1,2,1000047019,47124,
0.0666667,,Surface,3,Image 1,2,1000047125,47125,
43.875,,Surface,3,Image 1,2,1000047023,47126,
0.5,,Surface,3,Image 1,2,1000047127,47127,
37.3421,,Surface,3,Image 1,2,1000047026,47128,
10.5,,Surface,3,Image 1,2,1000047024,47129,
31.6,,Surface,3,Image 1,2,1000047025,47130,
42.0412,,Surface,3,Image 1,2,1000047027,47131,
0.608696,,Surface,3,Image 1,2,1000047028,47132,
14.5309,,Surface,3,Image 1,2,1000047029,47133,
12.0159,,Surface,3,Image 1,2,1000047033,47134,
54.6304,,Surface,3,Image 1,2,1000047030,47135,
33.7593,,Surface,3,Image 1,2,1000047031,47136,
77.1707,,Surface,3,Image 1,2,1000047032,47137,
35.8217,,Surface,3,Image 1,2,1000047034,47138,
4.30357,,Surface,3,Image 1,2,1000047035,47139,
2.45455,,Surface,3,Image 1,2,1000047036,47140,
1.19811,,Surface,3,Image 1,2,1000047040,47141,
0.875,,Surface,3,Image 1,2,1000047041,47142,
14.5281,,Surface,3,Image 1,2,1000047037,47143,
19.3482,,Surface,3,Image 1,2,1000047043,47144,
52.5684,,Surface,3,Image 1,2,1000047045,47145,
66.2627,,Surface,3,Image 1,2,1000047038,47146,
38.9016,,Surface,3,Image 1,2,1000047039,47147,
13.5439,,Surface,3,Image 1,2,1000047042,47148,
23.3145,,Surface,3,Image 1,2,1000047044,47149,
24.6588,,Surface,3,Image 1,2,1000047051,47150,
24.9885,,Surface,3,Image 1,2,1000047047,47151,
44.754,,Surface,3,Image 1,2,1000047050,47152,
36.3372,,Surface,3,Image 1,2,1000047052,47153,
24.2,,Surface,3,Image 1,2,1000047049,47154,
47.7164,,Surface,3,Image 1,2,1000047053,47155,
23.0444,,Surface,3,Image 1,2,1000047056,47156,
34.4109,,Surface,3,Image 1,2,1000047057,47157,
24.3961,,Surface,3,Image 1,2,1000047059,47158,
63.2937,,Surface,3,Image 1,2,1000047054,47159,
69.4677,,Surface,3,Image 1,2,1000047055,47160,
70.0631,,Surface,3,Image 1,2,1000047060,47161,
24.0577,,Surface,3,Image 1,2,1000047061,47162,
16.6479,,Surface,3,Image 1,2,1000047058,47163,
20.6614,,Surface,3,Image 1,3,1000046976,47164,
34.45,,Surface,3,Image 1,3,1000046977,47165,
56.2338,,Surface,3,Image 1,3,1000046978,47166,
27.4161,,Surface,3,Image 1,3,1000046979,47167,
6.83019,,Surface,3,Image 1,3,1000046980,47168,
35.7895,,Surface,3,Image 1,3,1000046981,47169,
69.5455,,Surface,3,Image 1,3,1000047170,47170,
24.8162,,Surface,3,Image 1,3,1000046975,47171,
49.6114,,Surface,3,Image 1,3,1000046974,47172,
12.5,,Surface,3,Image 1,3,1000046971,47173,
41.7143,,Surface,3,Image 1,3,1000046972,47174,
17.0862,,Surface,3,Image 1,3,1000046969,47175,
22.0986,,Surface,3,Image 1,3,1000046970,47176,
21.5238,,Surface,3,Image 1,3,1000046963,47177,
39.7617,,Surface,3,Image 1,3,1000046968,47178,
46.9091,,Surface,3,Image 1,3,1000046967,47179,
29.2391,,Surface,3,Image 1,3,1000046961,47180,
5.625,,Surface,3,Image 1,3,1000046966,47181,
52.3188,,Surface,3,Image 1,3,1000046984,47182,
7.12766,,Surface,3,Image 1,3,1000046965,47183,
15.4022,,Surface,3,Image 1,3,1000046964,47184,
41.9055,,Surface,3,Image 1,3,1000046962,47185,
40.3905,,Surface,3,Image 1,3,1000046983,47186,
34.97,,Surface,3,Image 1,3,1000046982,47187,
11,,Surface,3,Image 1,3,1000046987,47188,
54.3333,,Surface,3,Image 1,3,1000046985,47189,
47.8593,,Surface,3,Image 1,3,1000046991,47190,
12.9578,,Surface,3,Image 1,3,1000046986,47191,
8.34118,,Surface,3,Image 1,3,1000046996,47192,
54.8025,,Surface,3,Image 1,3,1000046994,47193,
12.2692,,Surface,3,Image 1,3,1000046990,47194,
40.6053,,Surface,3,Image 1,3,1000046993,47195,
16.6864,,Surface,3,Image 1,3,1000046992,47196,
49.2713,,Surface,3,Image 1,3,1000046999,47197,
35.3395,,Surface,3,Image 1,3,1000046995,47198,
122.102,,Surface,3,Image 1,3,1000046998,47199,
26.0738,,Surface,3,Image 1,3,1000046989,47200,
44.2407,,Surface,3,Image 1,3,1000046997,47201,
38.7967,,Surface,3,Image 1,3,1000047001,47202,
36.5508,,Surface,3,Image 1,3,1000047002,47203,
44.2755,,Surface,3,Image 1,3,1000047005,47204,
28.8702,,Surface,3,Image 1,3,1000047004,47205,
28.2519,,Surface,3,Image 1,3,1000047000,47206,
47.2121,,Surface,3,Image 1,3,1000047006,47207,
8.67188,,Surface,3,Image 1,3,1000047003,47208,
15.2273,,Surface,3,Image 1,3,1000047007,47209,
77.3761,,Surface,3,Image 1,3,1000047009,47210,
14.4333,,Surface,3,Image 1,3,1000047008,47211,
26.5968,,Surface,3,Image 1,3,1000047010,47212,
54.1475,,Surface,3,Image 1,3,1000047015,47213,
8.81667,,Surface,3,Image 1,3,1000047013,47214,
59.3971,,Surface,3,Image 1,3,1000047012,47215,
25.362,,Surface,3,Image 1,3,1000047014,47216,
29.2657,,Surface,3,Image 1,3,1000047019,47217,
34.0746,,Surface,3,Image 1,3,1000047016,47218,
16.8197,,Surface,3,Image 1,3,1000047017,47219,
15.9333,,Surface,3,Image 1,3,1000047022,47220,
49.2155,,Surface,3,Image 1,3,1000047018,47221,
12.5,,Surface,3,Image 1,3,1000047021,47222,
11.7321,,Surface,3,Image 1,3,1000047020,47223,
1.22222,,Surface,3,Image 1,3,1000047125,47224,
47.3068,,Surface,3,Image 1,3,1000047023,47225,
0.0625,,Surface,3,Image 1,3,1000047127,47226,
45.6667,,Surface,3,Image 1,3,1000047026,47227,
33.9721,,Surface,3,Image 1,3,1000047027,47228,
10.9524,,Surface,3,Image 1,3,1000047024,47229,
15.3125,,Surface,3,Image 1,3,1000047031,47230,
43.86,,Surface,3,Image 1,3,1000047025,47231,
85.125,,Surface,3,Image 1,3,1000047032,47232,
11.2619,,Surface,3,Image 1,3,1000047033,47233,
9.52439,,Surface,3,Image 1,3,1000047029,47234,
52.0581,,Surface,3,Image 1,3,1000047030,47235,
2,,Surface,3,Image 1,3,1000047036,47236,
18.3298,,Surface,3,Image 1,3,1000047034,47237,
5.35294,,Surface,3,Image 1,3,1000047035,47238,
1.1,,Surface,3,Image 1,3,1000047041,47239,
35.5926,,Surface,3,Image 1,3,1000047037,47240,
75.5429,,Surface,3,Image 1,3,1000047038,47241,
29.1321,,Surface,3,Image 1,3,1000047039,47242,
0.853659,,Surface,3,Image 1,3,1000047040,47243,
15.9588,,Surface,3,Image 1,3,1000047042,47244,
14.3362,,Surface,3,Image 1,3,1000047043,47245,
18.5842,,Surface,3,Image 1,3,1000047044,47246,
39.5288,,Surface,3,Image 1,3,1000047045,47247,
18.129,,Surface,3,Image 1,3,1000047047,47248,
61.4286,,Surface,3,Image 1,3,1000047046,47249,
29.7037,,Surface,3,Image 1,3,1000047049,47250,
41.0706,,Surface,3,Image 1,3,1000047050,47251,
20.1111,,Surface,3,Image 1,3,1000047051,47252,
25.7966,,Surface,3,Image 1,3,1000047053,47253,
49.7677,,Surface,3,Image 1,3,1000047052,47254,
36.5315,,Surface,3,Image 1,3,1000047059,47255,
52.3692,,Surface,3,Image 1,3,1000047055,47256,
28.18,,Surface,3,Image 1,3,1000047056,47257,
27.0804,,Surface,3,Image 1,3,1000047057,47258,
69.0273,,Surface,3,Image 1,3,1000047060,47259,
33.0816,,Surface,3,Image 1,3,1000047061,47260,
23.5693,,Surface,3,Image 1,3,1000047058,47261,
56.9291,,Surface,3,Image 1,3,1000047054,47262,
46.9381,,Surface,3,Image 1,4,1000046974,47263,
25,,Surface,3,Image 1,4,1000046975,47264,
29.2632,,Surface,3,Image 1,4,1000046976,47265,
57.3387,,Surface,3,Image 1,4,1000046978,47266,
36.1625,,Surface,3,Image 1,4,1000046977,47267,
15.0978,,Surface,3,Image 1,4,1000046979,47268,
6.83607,,Surface,3,Image 1,4,1000046980,47269,
21.7055,,Surface,3,Image 1,4,1000046981,47270,
