
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,TrackID,ID,
533.142,478.14,11.8974,um,Surface,Position,1,1000046961,46961,
350.826,682.508,13.313,um,Surface,Position,1,1000046962,46962,
403.899,627.417,11.3371,um,Surface,Position,1,1000046963,46963,
549.104,492.383,11.7829,um,Surface,Position,1,1000046964,46964,
393.568,634.693,13.8967,um,Surface,Position,1,1000046965,46965,
647.019,395.176,12.0746,um,Surface,Position,1,1000046966,46966,
399.067,652.469,12.3033,um,Surface,Position,1,1000046967,46967,
420.608,646.914,14.1291,um,Surface,Position,1,1000046968,46968,
591.171,476.842,12.1393,um,Surface,Position,1,1000046969,46969,
433.011,648.025,12.5108,um,Surface,Position,1,1000046970,46970,
518.972,580.965,11.55,um,Surface,Position,1,1000046971,46971,
481.593,627.017,13.3707,um,Surface,Position,1,1000046972,46972,
557.878,619.749,12.5362,um,Surface,Position,1,1000046973,46973,
554.753,634.202,12.8299,um,Surface,Position,1,1000046974,46974,
507.245,683.921,11.8282,um,Surface,Position,1,1000046975,46975,
656.533,548.889,12.7332,um,Surface,Position,1,1000046976,46976,
623.153,582.253,12.3333,um,Surface,Position,1,1000046977,46977,
647.237,563.322,12.35,um,Surface,Position,1,1000046978,46978,
699.309,541.517,14.0093,um,Surface,Position,1,1000046979,46979,
553.726,684.463,12.3676,um,Surface,Position,1,1000046980,46980,
618.337,693.653,12.9438,um,Surface,Position,1,1000046981,46981,
335.098,669.527,12.9198,um,Surface,Position,1,1000046982,46982,
556.304,449.913,12.8071,um,Surface,Position,1,1000046983,46983,
479.314,527.828,12.8646,um,Surface,Position,1,1000046984,46984,
279.367,703.669,13.4086,um,Surface,Position,1,1000046985,46985,
453.272,508.361,13.7296,um,Surface,Position,1,1000046986,46986,
513.911,442.845,11.2357,um,Surface,Position,1,1000046987,46987,
338.578,577.423,12.7346,um,Surface,Position,1,1000046988,46988,
258.777,674.368,13.0992,um,Surface,Position,1,1000046989,46989,
536.456,400.128,13.3685,um,Surface,Position,1,1000046990,46990,
379.044,568.292,13.0862,um,Surface,Position,1,1000046991,46991,
680.258,237.502,13.2485,um,Surface,Position,1,1000046992,46992,
569.94,343.728,12.9194,um,Surface,Position,1,1000046993,46993,
519.351,400.299,13.2,um,Surface,Position,1,1000046994,46994,
281.487,634.785,14.2173,um,Surface,Position,1,1000046995,46995,
218.483,704.02,13.2737,um,Surface,Position,1,1000046996,46996,
277.341,612.79,12.8097,um,Surface,Position,1,1000046997,46997,
656.171,230.5,14.0176,um,Surface,Position,1,1000046998,46998,
318.755,587.442,12.65,um,Surface,Position,1,1000046999,46999,
504.709,355.342,12.7441,um,Surface,Position,1,1000047000,47000,
299.169,560.15,12.3332,um,Surface,Position,1,1000047001,47001,
345.235,538.948,13.4871,um,Surface,Position,1,1000047002,47002,
297.362,527.828,13.3919,um,Surface,Position,1,1000047003,47003,
370.139,471.234,12.9838,um,Surface,Position,1,1000047004,47004,
634.929,201.37,13.7256,um,Surface,Position,1,1000047005,47005,
460.54,387.558,14.8618,um,Surface,Position,1,1000047006,47006,
419.53,354.247,13.6291,um,Surface,Position,1,1000047007,47007,
276.047,492.758,12.43,um,Surface,Position,1,1000047008,47008,
137.963,625.281,13.0856,um,Surface,Position,1,1000047009,47009,
623.572,109.647,13.9308,um,Surface,Position,1,1000047010,47010,
577.901,155.335,12.8944,um,Surface,Position,1,1000047011,47011,
284.004,435.724,13.0987,um,Surface,Position,1,1000047012,47012,
267.456,449.894,11,um,Surface,Position,1,1000047013,47013,
567.596,159.169,14.0288,um,Surface,Position,1,1000047014,47014,
650.802,87.5777,13.6016,um,Surface,Position,1,1000047015,47015,
320.44,386.052,12.6659,um,Surface,Position,1,1000047016,47016,
258.367,449.801,14.0684,um,Surface,Position,1,1000047017,47017,
238.367,454.999,14.3453,um,Surface,Position,1,1000047018,47018,
670.875,32.7282,13.241,um,Surface,Position,1,1000047019,47019,
663.955,42.1226,15.797,um,Surface,Position,1,1000047020,47020,
582.982,109.898,14.6554,um,Surface,Position,1,1000047021,47021,
256.265,435.52,13.3996,um,Surface,Position,1,1000047022,47022,
433.002,216.091,13.1866,um,Surface,Position,1,1000047023,47023,
7.67535,577.423,12.65,um,Surface,Position,1,1000047024,47024,
466.89,96.815,22.7372,um,Surface,Position,1,1000047025,47025,
450.219,137.831,13.7949,um,Surface,Position,1,1000047026,47026,
339.166,265.716,14.4494,um,Surface,Position,1,1000047027,47027,
54.0908,513.658,12.2269,um,Surface,Position,1,1000047028,47028,
95.522,482.1,13.6106,um,Surface,Position,1,1000047029,47029,
535.902,24.9583,13.6643,um,Surface,Position,1,1000047030,47030,
7.92395,556.168,13.4026,um,Surface,Position,1,1000047031,47031,
496.221,74.5887,13.6644,um,Surface,Position,1,1000047032,47032,
147.013,414.469,11,um,Surface,Position,1,1000047033,47033,
477.416,77.0623,13.1577,um,Surface,Position,1,1000047034,47034,
156.277,400.299,12.5654,um,Surface,Position,1,1000047035,47035,
146.69,393.214,11.45,um,Surface,Position,1,1000047036,47036,
464.742,66.6663,13.4574,um,Surface,Position,1,1000047037,47037,
165.101,321.659,14.3049,um,Surface,Position,1,1000047038,47038,
36.5212,455.629,13.8635,um,Surface,Position,1,1000047039,47039,
270.568,244.335,12.8135,um,Surface,Position,1,1000047040,47040,
481.715,25.8356,11.7397,um,Surface,Position,1,1000047041,47041,
92.0165,358.473,13.8262,um,Surface,Position,1,1000047042,47042,
339.392,131.129,14.0605,um,Surface,Position,1,1000047043,47043,
208.845,266.732,13.0125,um,Surface,Position,1,1000047044,47044,
76.6059,400.299,13.4357,um,Surface,Position,1,1000047045,47045,
252.303,163.544,13.8722,um,Surface,Position,1,1000047046,47046,
215.179,193.202,13.8675,um,Surface,Position,1,1000047047,47047,
