
Intensity Min Ch=9 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,TrackID,ID,
11.5458,,Surface,9,Image 1,1,1000151287,151287,
11.2023,,Surface,9,Image 1,1,1000151288,151288,
31.8822,,Surface,9,Image 1,1,1000151289,151289,
6.93817,,Surface,9,Image 1,1,1000151290,151290,
28.5603,,Surface,9,Image 1,1,1000151291,151291,
14.606,,Surface,9,Image 1,1,1000151292,151292,
5.00981,,Surface,9,Image 1,1,1000151293,151293,
11.2206,,Surface,9,Image 1,1,1000151294,151294,
14.0018,,Surface,9,Image 1,1,1000151295,151295,
4.27891,,Surface,9,Image 1,1,1000151296,151296,
29.4539,,Surface,9,Image 1,1,1000151297,151297,
17.7124,,Surface,9,Image 1,1,1000151298,151298,
19.1198,,Surface,9,Image 1,1,1000151299,151299,
81.8521,,Surface,9,Image 1,1,1000151300,151300,
103.462,,Surface,9,Image 1,1,1000151301,151301,
111.828,,Surface,9,Image 1,1,1000151302,151302,
1.2,,Surface,9,Image 1,1,1000151303,151303,
1.2,,Surface,9,Image 1,1,1000151304,151304,
7.08494,,Surface,9,Image 1,1,1000151305,151305,
12.9961,,Surface,9,Image 1,1,1000151306,151306,
26.9786,,Surface,9,Image 1,1,1000151307,151307,
10.6274,,Surface,9,Image 1,1,1000151308,151308,
0,,Surface,9,Image 1,1,1000151309,151309,
31.8887,,Surface,9,Image 1,1,1000151310,151310,
3.54247,,Surface,9,Image 1,1,1000151311,151311,
38.1536,,Surface,9,Image 1,1,1000151312,151312,
25.7896,,Surface,9,Image 1,1,1000151313,151313,
10.303,,Surface,9,Image 1,1,1000151314,151314,
46.0521,,Surface,9,Image 1,1,1000151315,151315,
19.0768,,Surface,9,Image 1,1,1000151316,151316,
42.8038,,Surface,9,Image 1,1,1000151317,151317,
32.66,,Surface,9,Image 1,1,1000151318,151318,
54.2027,,Surface,9,Image 1,1,1000151319,151319,
61.9795,,Surface,9,Image 1,1,1000151320,151320,
46.5939,,Surface,9,Image 1,1,1000151321,151321,
65.8937,,Surface,9,Image 1,1,1000151322,151322,
60.222,,Surface,9,Image 1,1,1000151323,151323,
42.5096,,Surface,9,Image 1,1,1000151324,151324,
41.4635,,Surface,9,Image 1,1,1000151325,151325,
75.1471,,Surface,9,Image 1,1,1000151326,151326,
111.242,,Surface,9,Image 1,1,1000151327,151327,
63.8096,,Surface,9,Image 1,1,1000151328,151328,
83.4144,,Surface,9,Image 1,1,1000151329,151329,
79.6071,,Surface,9,Image 1,1,1000151330,151330,
110.292,,Surface,9,Image 1,1,1000151331,151331,
108.167,,Surface,9,Image 1,1,1000151332,151332,
50.0981,,Surface,9,Image 1,1,1000151333,151333,
61.8666,,Surface,9,Image 1,1,1000151334,151334,
46.7328,,Surface,9,Image 1,1,1000151335,151335,
89.6962,,Surface,9,Image 1,1,1000151336,151336,
46.0521,,Surface,9,Image 1,1,1000151337,151337,
52.6626,,Surface,9,Image 1,1,1000151338,151338,
62.8759,,Surface,9,Image 1,1,1000151339,151339,
31.8822,,Surface,9,Image 1,1,1000151340,151340,
38.3177,,Surface,9,Image 1,1,1000151341,151341,
18.3679,,Surface,9,Image 1,1,1000151342,151342,
1.2,,Surface,9,Image 1,1,1000151343,151343,
20.6061,,Surface,9,Image 1,1,1000151344,151344,
38.0374,,Surface,9,Image 1,1,1000151345,151345,
0,,Surface,9,Image 1,1,1000151346,151346,
0,,Surface,9,Image 1,1,1000151347,151347,
24.8263,,Surface,9,Image 1,1,1000151348,151348,
46.0521,,Surface,9,Image 1,1,1000151349,151349,
21.2063,,Surface,9,Image 1,1,1000151350,151350,
7.9212,,Surface,9,Image 1,1,1000151351,151351,
3.54247,,Surface,9,Image 1,1,1000151352,151352,
21.2548,,Surface,9,Image 1,1,1000151353,151353,
24.7973,,Surface,9,Image 1,1,1000151354,151354,
7.4804,,Surface,9,Image 1,1,1000151355,151355,
21.3704,,Surface,9,Image 1,1,1000151356,151356,
11.2023,,Surface,9,Image 1,1,1000151357,151357,
3.54247,,Surface,9,Image 1,1,1000151358,151358,
15.8878,,Surface,9,Image 1,1,1000151359,151359,
23.4496,,Surface,9,Image 1,1,1000151360,151360,
17.7123,,Surface,9,Image 1,1,1000151361,151361,
51.2289,,Surface,9,Image 1,1,1000151362,151362,
20.1466,,Surface,9,Image 1,1,1000151363,151363,
14.62,,Surface,9,Image 1,1,1000151364,151364,
25.0778,,Surface,9,Image 1,1,1000151365,151365,
21.6813,,Surface,9,Image 1,1,1000151366,151366,
23.463,,Surface,9,Image 1,1,1000151367,151367,
0,,Surface,9,Image 1,1,1000151368,151368,
69.449,,Surface,9,Image 1,1,1000151369,151369,
7.92121,,Surface,9,Image 1,1,1000151370,151370,
39.041,,Surface,9,Image 1,1,1000151371,151371,
31.3125,,Surface,9,Image 1,1,1000151372,151372,
21.2548,,Surface,9,Image 1,1,1000151373,151373,
31.6848,,Surface,9,Image 1,1,1000151374,151374,
39.2065,,Surface,9,Image 1,1,1000151375,151375,
3.54247,,Surface,9,Image 1,1,1000151376,151376,
31.8822,,Surface,9,Image 1,1,1000151377,151377,
25.1638,,Surface,9,Image 1,1,1000151378,151378,
17.7123,,Surface,9,Image 1,1,1000151379,151379,
21.6812,,Surface,9,Image 1,1,1000151380,151380,
17.8742,,Surface,9,Image 1,1,1000151381,151381,
3.54247,,Surface,9,Image 1,1,1000151382,151382,
23.194,,Surface,9,Image 1,1,1000151383,151383,
5.15152,,Surface,9,Image 1,1,1000151384,151384,
63.9642,,Surface,9,Image 1,1,1000151385,151385,
18.3512,,Surface,9,Image 1,1,1000151386,151386,
32.66,,Surface,9,Image 1,1,1000151387,151387,
11.2023,,Surface,9,Image 1,1,1000151388,151388,
18.69,,Surface,9,Image 1,1,1000151389,151389,
10.6467,,Surface,9,Image 1,1,1000151390,151390,
11.7665,,Surface,9,Image 1,1,1000151391,151391,
10.6467,,Surface,9,Image 1,1,1000151392,151392,
40.3904,,Surface,9,Image 1,1,1000151393,151393,
46.1882,,Surface,9,Image 1,1,1000151394,151394,
47.8292,,Surface,9,Image 1,1,1000151395,151395,
3.54247,,Surface,9,Image 1,1,1000151396,151396,
46.5939,,Surface,9,Image 1,1,1000151397,151397,
45.846,,Surface,9,Image 1,1,1000151398,151398,
0,,Surface,9,Image 1,1,1000151399,151399,
30.2669,,Surface,9,Image 1,1,1000151400,151400,
32.748,,Surface,9,Image 1,1,1000151401,151401,
28.754,,Surface,9,Image 1,1,1000151402,151402,
2.4,,Surface,9,Image 1,1,1000151403,151403,
28.5603,,Surface,9,Image 1,1,1000151404,151404,
24.5134,,Surface,9,Image 1,1,1000151405,151405,
29.1838,,Surface,9,Image 1,1,1000151406,151406,
3.54247,,Surface,9,Image 1,1,1000151407,151407,
1.2,,Surface,9,Image 1,1,1000151408,151408,
11.2023,,Surface,9,Image 1,1,1000151409,151409,
51.1043,,Surface,9,Image 1,1,1000151410,151410,
28.5603,,Surface,9,Image 1,1,1000151411,151411,
17.7124,,Surface,9,Image 1,1,1000151412,151412,
17.7124,,Surface,9,Image 1,1,1000151413,151413,
24.7973,,Surface,9,Image 1,1,1000151414,151414,
38.9672,,Surface,9,Image 1,1,1000151415,151415,
28.3398,,Surface,9,Image 1,1,1000151416,151416,
31.6848,,Surface,9,Image 1,1,1000151417,151417,
0,,Surface,9,Image 1,2,1000151304,151418,
10.7045,,Surface,9,Image 1,2,1000151287,151419,
0,,Surface,9,Image 1,2,1000151420,151420,
24.8263,,Surface,9,Image 1,2,1000151289,151421,
28.5603,,Surface,9,Image 1,2,1000151291,151422,
3.54247,,Surface,9,Image 1,2,1000151290,151423,
17.7123,,Surface,9,Image 1,2,1000151292,151424,
4.27891,,Surface,9,Image 1,2,1000151293,151425,
8.70089,,Surface,9,Image 1,2,1000151294,151426,
17.8338,,Surface,9,Image 1,2,1000151295,151427,
0,,Surface,9,Image 1,2,1000151296,151428,
30.0862,,Surface,9,Image 1,2,1000151297,151429,
0,,Surface,9,Image 1,2,1000151430,151430,
15.0294,,Surface,9,Image 1,2,1000151298,151431,
32.0784,,Surface,9,Image 1,2,1000151432,151432,
21.548,,Surface,9,Image 1,2,1000151433,151433,
82.8427,,Surface,9,Image 1,2,1000151300,151434,
108.668,,Surface,9,Image 1,2,1000151301,151435,
111.989,,Surface,9,Image 1,2,1000151302,151436,
10.6274,,Surface,9,Image 1,2,1000151308,151437,
