
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,TrackID,ID,
585.267,492.403,7.88571,um,Surface,Position,1,1000151287,151287,
619.887,478.37,6.53846,um,Surface,Position,1,1000151288,151288,
669.366,435.724,6.6,um,Surface,Position,1,1000151289,151289,
435.631,669.527,7.92632,um,Surface,Position,1,1000151290,151290,
647.485,463.867,7.56667,um,Surface,Position,1,1000151291,151291,
634.447,498.111,7.28333,um,Surface,Position,1,1000151292,151292,
619.173,513.658,6.85714,um,Surface,Position,1,1000151293,151293,
534.913,612.847,8.16923,um,Surface,Position,1,1000151294,151294,
493.761,676.789,7.46,um,Surface,Position,1,1000151295,151295,
626.249,549.116,6.46415,um,Surface,Position,1,1000151296,151296,
526.804,662.502,7.02449,um,Surface,Position,1,1000151297,151297,
577.322,606.063,6.71321,um,Surface,Position,1,1000151298,151298,
446.215,689.828,23.5846,um,Surface,Position,1,1000151299,151299,
635.565,648.272,8.21739,um,Surface,Position,1,1000151300,151300,
593.862,697.811,8.30625,um,Surface,Position,1,1000151301,151301,
662.442,669.527,6,um,Surface,Position,1,1000151302,151302,
516.348,529.534,14.1556,um,Surface,Position,1,1000151303,151303,
542.71,513.575,17.2318,um,Surface,Position,1,1000151304,151304,
662.925,350.705,6.21818,um,Surface,Position,1,1000151305,151305,
612.847,400.299,7.2,um,Surface,Position,1,1000151306,151306,
400.185,619.475,8.12903,um,Surface,Position,1,1000151307,151307,
474.587,556.064,7.02353,um,Surface,Position,1,1000151308,151308,
591.324,422.109,9.93333,um,Surface,Position,1,1000151309,151309,
541.998,449.894,9.23077,um,Surface,Position,1,1000151310,151310,
483.079,523.564,10.346,um,Surface,Position,1,1000151311,151311,
385.674,612.847,9,um,Surface,Position,1,1000151312,151312,
642.843,329.407,7.91707,um,Surface,Position,1,1000151313,151313,
498.504,478.233,8.51111,um,Surface,Position,1,1000151314,151314,
436.831,541.998,8.5875,um,Surface,Position,1,1000151315,151315,
586.904,393.318,8.08235,um,Surface,Position,1,1000151316,151316,
552.73,393.214,7.2,um,Surface,Position,1,1000151317,151317,
609.526,329.45,8.55,um,Surface,Position,1,1000151318,151318,
348.933,563.253,7.8,um,Surface,Position,1,1000151319,151319,
559.71,357.926,8.76923,um,Surface,Position,1,1000151320,151320,
591.28,345.703,7.09412,um,Surface,Position,1,1000151321,151321,
376.879,563.056,7.46667,um,Surface,Position,1,1000151322,151322,
684.639,221.631,7.34043,um,Surface,Position,1,1000151323,151323,
325.868,573.526,7.90667,um,Surface,Position,1,1000151324,151324,
463.568,441.675,8.256,um,Surface,Position,1,1000151325,151325,
697.867,209.104,8.53333,um,Surface,Position,1,1000151326,151326,
204.401,676.612,7.56,um,Surface,Position,1,1000151327,151327,
329.633,551.709,10.4483,um,Surface,Position,1,1000151328,151328,
508.2,393.395,8.38775,um,Surface,Position,1,1000151329,151329,
516.239,386.281,7.69714,um,Surface,Position,1,1000151330,151330,
191.991,683.536,8.36364,um,Surface,Position,1,1000151331,151331,
185.98,669.527,10.2,um,Surface,Position,1,1000151332,151332,
640.534,235.388,7.67368,um,Surface,Position,1,1000151333,151333,
660.525,223.103,7.17534,um,Surface,Position,1,1000151334,151334,
612.743,223.488,7.34118,um,Surface,Position,1,1000151335,151335,
677.074,177.201,10.0174,um,Surface,Position,1,1000151336,151336,
344.379,506.573,12.6,um,Surface,Position,1,1000151337,151337,
301.316,563.376,7.57674,um,Surface,Position,1,1000151338,151338,
623.709,209.106,7.27925,um,Surface,Position,1,1000151339,151339,
301.396,499.66,8.45806,um,Surface,Position,1,1000151340,151340,
433.845,362.996,7.76364,um,Surface,Position,1,1000151341,151341,
90.333,703.805,7.44706,um,Surface,Position,1,1000151342,151342,
376.387,399.667,8.61429,um,Surface,Position,1,1000151343,151343,
213.645,572.413,9.26286,um,Surface,Position,1,1000151344,151344,
110.643,662.442,10.2,um,Surface,Position,1,1000151345,151345,
66.532,678.715,20.4375,um,Surface,Position,1,1000151346,151346,
363.98,400.552,9.14857,um,Surface,Position,1,1000151347,151347,
549.673,215.838,8.2,um,Surface,Position,1,1000151348,151348,
577.748,194.872,7.3102,um,Surface,Position,1,1000151349,151349,
223.584,556.168,7.8,um,Surface,Position,1,1000151350,151350,
672.661,88.153,8.23077,um,Surface,Position,1,1000151351,151351,
150.949,520.743,38,um,Surface,Position,1,1000151352,151352,
232.032,517.96,8.4,um,Surface,Position,1,1000151353,151353,
625.246,106.006,9.29091,um,Surface,Position,1,1000151354,151354,
158.821,563.253,10,um,Surface,Position,1,1000151355,151355,
403.562,329.357,7.67368,um,Surface,Position,1,1000151356,151356,
381.322,363.736,7.5,um,Surface,Position,1,1000151357,151357,
347.753,391.721,9.09412,um,Surface,Position,1,1000151358,151358,
315.083,400.299,7.66667,um,Surface,Position,1,1000151359,151359,
221.404,492.091,8.29412,um,Surface,Position,1,1000151360,151360,
318.468,417.752,7.848,um,Surface,Position,1,1000151361,151361,
132.798,605.762,7.92,um,Surface,Position,1,1000151362,151362,
