
Intensity Mean Ch=3 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,TrackID,ID,
0.0122699,,Surface,3,Image 1,1,1000162745,162745,
0.215385,,Surface,3,Image 1,1,1000162746,162746,
0.395833,,Surface,3,Image 1,1,1000162747,162747,
2.96078,,Surface,3,Image 1,1,1000162748,162748,
64.3077,,Surface,3,Image 1,1,1000162749,162749,
72.5854,,Surface,3,Image 1,1,1000162750,162750,
0,,Surface,3,Image 1,1,1000162751,162751,
65.3158,,Surface,3,Image 1,1,1000162752,162752,
54.95,,Surface,3,Image 1,1,1000162753,162753,
0.352941,,Surface,3,Image 1,1,1000162754,162754,
0,,Surface,3,Image 1,1,1000162755,162755,
44.6636,,Surface,3,Image 1,1,1000162756,162756,
0.0340909,,Surface,3,Image 1,1,1000162757,162757,
50.0769,,Surface,3,Image 1,1,1000162758,162758,
0.25,,Surface,3,Image 1,1,1000162759,162759,
21.3058,,Surface,3,Image 1,1,1000162760,162760,
0,,Surface,3,Image 1,1,1000162761,162761,
56.9375,,Surface,3,Image 1,1,1000162762,162762,
0.578947,,Surface,3,Image 1,1,1000162763,162763,
0,,Surface,3,Image 1,1,1000162764,162764,
63.32,,Surface,3,Image 1,1,1000162765,162765,
0,,Surface,3,Image 1,1,1000162766,162766,
70.0208,,Surface,3,Image 1,1,1000162767,162767,
0,,Surface,3,Image 1,1,1000162768,162768,
83.6458,,Surface,3,Image 1,1,1000162769,162769,
0,,Surface,3,Image 1,1,1000162770,162770,
29.0455,,Surface,3,Image 1,1,1000162771,162771,
0,,Surface,3,Image 1,1,1000162772,162772,
0,,Surface,3,Image 1,1,1000162773,162773,
138.237,,Surface,3,Image 1,1,1000162774,162774,
0,,Surface,3,Image 1,1,1000162775,162775,
97.04,,Surface,3,Image 1,1,1000162776,162776,
0.0677966,,Surface,3,Image 1,1,1000162777,162777,
71.4516,,Surface,3,Image 1,1,1000162778,162778,
0.666667,,Surface,3,Image 1,1,1000162779,162779,
0,,Surface,3,Image 1,1,1000162780,162780,
0.38961,,Surface,3,Image 1,1,1000162781,162781,
0,,Surface,3,Image 1,1,1000162782,162782,
0.315068,,Surface,3,Image 1,1,1000162783,162783,
0,,Surface,3,Image 1,1,1000162784,162784,
67.4,,Surface,3,Image 1,1,1000162785,162785,
0,,Surface,3,Image 1,1,1000162786,162786,
108.094,,Surface,3,Image 1,1,1000162787,162787,
51.2286,,Surface,3,Image 1,1,1000162788,162788,
0,,Surface,3,Image 1,1,1000162789,162789,
0,,Surface,3,Image 1,1,1000162790,162790,
0.1375,,Surface,3,Image 1,1,1000162791,162791,
0,,Surface,3,Image 1,1,1000162792,162792,
0.5625,,Surface,3,Image 1,1,1000162793,162793,
60,,Surface,3,Image 1,1,1000162794,162794,
84.6279,,Surface,3,Image 1,1,1000162795,162795,
0,,Surface,3,Image 1,1,1000162796,162796,
72.8919,,Surface,3,Image 1,1,1000162797,162797,
0,,Surface,3,Image 1,1,1000162798,162798,
8.7931,,Surface,3,Image 1,1,1000162799,162799,
0.102564,,Surface,3,Image 1,1,1000162800,162800,
60.2581,,Surface,3,Image 1,1,1000162801,162801,
0,,Surface,3,Image 1,1,1000162802,162802,
79.9091,,Surface,3,Image 1,1,1000162803,162803,
0,,Surface,3,Image 1,1,1000162804,162804,
0,,Surface,3,Image 1,1,1000162805,162805,
102.114,,Surface,3,Image 1,1,1000162806,162806,
0,,Surface,3,Image 1,1,1000162807,162807,
0,,Surface,3,Image 1,1,1000162808,162808,
0,,Surface,3,Image 1,1,1000162809,162809,
0.107143,,Surface,3,Image 1,1,1000162810,162810,
0.8,,Surface,3,Image 1,1,1000162811,162811,
0,,Surface,3,Image 1,1,1000162812,162812,
0.0689655,,Surface,3,Image 1,1,1000162813,162813,
0.164179,,Surface,3,Image 1,1,1000162814,162814,
2.32353,,Surface,3,Image 1,1,1000162815,162815,
44.1944,,Surface,3,Image 1,1,1000162816,162816,
0.0408163,,Surface,3,Image 1,1,1000162817,162817,
0.0217391,,Surface,3,Image 1,1,1000162818,162818,
5.66667,,Surface,3,Image 1,1,1000162819,162819,
0.714286,,Surface,3,Image 1,1,1000162820,162820,
59.1364,,Surface,3,Image 1,1,1000162821,162821,
11.32,,Surface,3,Image 1,1,1000162822,162822,
0,,Surface,3,Image 1,1,1000162823,162823,
6.61111,,Surface,3,Image 1,1,1000162824,162824,
0,,Surface,3,Image 1,1,1000162825,162825,
36.5714,,Surface,3,Image 1,1,1000162826,162826,
0,,Surface,3,Image 1,1,1000162827,162827,
0,,Surface,3,Image 1,1,1000162828,162828,
27.5532,,Surface,3,Image 1,1,1000162829,162829,
0.25,,Surface,3,Image 1,1,1000162830,162830,
0,,Surface,3,Image 1,1,1000162831,162831,
0,,Surface,3,Image 1,1,1000162832,162832,
0.222222,,Surface,3,Image 1,1,1000162833,162833,
0,,Surface,3,Image 1,1,1000162834,162834,
0,,Surface,3,Image 1,1,1000162835,162835,
0,,Surface,3,Image 1,1,1000162836,162836,
2.44444,,Surface,3,Image 1,1,1000162837,162837,
0,,Surface,3,Image 1,1,1000162838,162838,
0.0348837,,Surface,3,Image 1,1,1000162839,162839,
0,,Surface,3,Image 1,1,1000162840,162840,
7.3,,Surface,3,Image 1,1,1000162841,162841,
0,,Surface,3,Image 1,1,1000162842,162842,
37.6,,Surface,3,Image 1,1,1000162843,162843,
71.75,,Surface,3,Image 1,1,1000162844,162844,
56,,Surface,3,Image 1,1,1000162845,162845,
6.7,,Surface,3,Image 1,1,1000162846,162846,
56.7407,,Surface,3,Image 1,1,1000162847,162847,
56.5676,,Surface,3,Image 1,1,1000162848,162848,
0.857143,,Surface,3,Image 1,1,1000162849,162849,
1.16667,,Surface,3,Image 1,1,1000162850,162850,
1.23256,,Surface,3,Image 1,1,1000162851,162851,
63.4545,,Surface,3,Image 1,1,1000162852,162852,
0,,Surface,3,Image 1,1,1000162853,162853,
55.7273,,Surface,3,Image 1,1,1000162854,162854,
0,,Surface,3,Image 1,1,1000162855,162855,
0,,Surface,3,Image 1,1,1000162856,162856,
0.363636,,Surface,3,Image 1,1,1000162857,162857,
0.606557,,Surface,3,Image 1,1,1000162858,162858,
0.179104,,Surface,3,Image 1,1,1000162859,162859,
0,,Surface,3,Image 1,1,1000162860,162860,
