
BoundingBoxAA Length
 ==================== 
BoundingBoxAA Length X,BoundingBoxAA Length Y,BoundingBoxAA Length Z,Unit,Category,Collection,Time,TrackID,ID,
14.1699,14.1699,13.65,um,Surface,BoundingBoxAA Length,1,1000224458,224458,
14.1699,17.7124,12.6,um,Surface,BoundingBoxAA Length,1,1000224459,224459,
14.1699,14.1699,12.6,um,Surface,BoundingBoxAA Length,1,1000224460,224460,
10.6274,14.1698,13.65,um,Surface,BoundingBoxAA Length,1,1000224461,224461,
14.1699,14.1699,11.55,um,Surface,BoundingBoxAA Length,1,1000224462,224462,
14.1698,17.7124,14.7,um,Surface,BoundingBoxAA Length,1,1000224463,224463,
14.1699,14.1698,13.65,um,Surface,BoundingBoxAA Length,1,1000224464,224464,
14.1698,17.7124,14.7,um,Surface,BoundingBoxAA Length,1,1000224465,224465,
10.6274,14.1699,13.65,um,Surface,BoundingBoxAA Length,1,1000224466,224466,
17.7124,17.7124,14.7,um,Surface,BoundingBoxAA Length,1,1000224467,224467,
17.7123,17.7123,17.85,um,Surface,BoundingBoxAA Length,1,1000224468,224468,
10.6274,10.6274,12.6,um,Surface,BoundingBoxAA Length,1,1000224469,224469,
14.1698,14.1699,12.6,um,Surface,BoundingBoxAA Length,1,1000224470,224470,
14.1698,17.7123,13.65,um,Surface,BoundingBoxAA Length,1,1000224471,224471,
14.1699,14.1699,14.7,um,Surface,BoundingBoxAA Length,1,1000224472,224472,
10.6274,14.1698,12.6,um,Surface,BoundingBoxAA Length,1,1000224473,224473,
14.1699,17.7123,14.7,um,Surface,BoundingBoxAA Length,1,1000224474,224474,
14.1699,14.1699,13.65,um,Surface,BoundingBoxAA Length,1,1000224475,224475,
14.1699,14.1699,12.6,um,Surface,BoundingBoxAA Length,1,1000224476,224476,
10.6274,14.1699,13.65,um,Surface,BoundingBoxAA Length,1,1000224477,224477,
14.1699,14.1699,14.7,um,Surface,BoundingBoxAA Length,1,1000224478,224478,
21.2548,17.7124,15.75,um,Surface,BoundingBoxAA Length,1,1000224479,224479,
10.6274,17.7123,13.65,um,Surface,BoundingBoxAA Length,1,1000224480,224480,
