
BoundingBoxOO Length
 ==================== 
BoundingBoxOO Length A,BoundingBoxOO Length B,BoundingBoxOO Length C,Unit,Category,Collection,Time,TrackID,ID,
11.094,11.1089,12.0012,um,Surface,BoundingBoxOO Length,1,1000224458,224458,
9.87397,11.5823,13.6915,um,Surface,BoundingBoxOO Length,1,1000224459,224459,
11.4471,12.1243,13.1887,um,Surface,BoundingBoxOO Length,1,1000224460,224460,
10.7572,13.0723,12.9106,um,Surface,BoundingBoxOO Length,1,1000224461,224461,
9.98077,12.1658,13.1264,um,Surface,BoundingBoxOO Length,1,1000224462,224462,
11.8869,13.4018,14.6846,um,Surface,BoundingBoxOO Length,1,1000224463,224463,
11.1085,11.6564,13.4017,um,Surface,BoundingBoxOO Length,1,1000224464,224464,
12.9461,14.4147,13.9695,um,Surface,BoundingBoxOO Length,1,1000224465,224465,
10.8568,11.4631,13.9438,um,Surface,BoundingBoxOO Length,1,1000224466,224466,
13.2122,12.9981,14.1536,um,Surface,BoundingBoxOO Length,1,1000224467,224467,
15.0706,14.4545,17.0872,um,Surface,BoundingBoxOO Length,1,1000224468,224468,
9.71924,9.41008,13.0523,um,Surface,BoundingBoxOO Length,1,1000224469,224469,
11.8374,12.9736,13.8389,um,Surface,BoundingBoxOO Length,1,1000224470,224470,
11.3645,13.2789,16.0151,um,Surface,BoundingBoxOO Length,1,1000224471,224471,
12.6339,13.6057,15.4067,um,Surface,BoundingBoxOO Length,1,1000224472,224472,
10.8576,12.4657,13.0454,um,Surface,BoundingBoxOO Length,1,1000224473,224473,
12.2187,12.7089,14.5766,um,Surface,BoundingBoxOO Length,1,1000224474,224474,
12.2755,13.7887,14.6691,um,Surface,BoundingBoxOO Length,1,1000224475,224475,
12.1904,12.407,12.565,um,Surface,BoundingBoxOO Length,1,1000224476,224476,
10.9314,13.1343,14.7421,um,Surface,BoundingBoxOO Length,1,1000224477,224477,
12.8197,13.6372,12.4167,um,Surface,BoundingBoxOO Length,1,1000224478,224478,
15.4882,17.2006,19.2473,um,Surface,BoundingBoxOO Length,1,1000224479,224479,
11.0859,13.9424,13.1547,um,Surface,BoundingBoxOO Length,1,1000224480,224480,
10.1008,11.7249,12.3252,um,Surface,BoundingBoxOO Length,1,1000224481,224481,
12.0194,11.6617,13.8645,um,Surface,BoundingBoxOO Length,1,1000224482,224482,
10.3048,12.2894,12.7779,um,Surface,BoundingBoxOO Length,1,1000224483,224483,
11.1657,12.5674,15.3118,um,Surface,BoundingBoxOO Length,1,1000224484,224484,
10.886,12.2941,13.0187,um,Surface,BoundingBoxOO Length,1,1000224485,224485,
11.6771,12.7829,12.2155,um,Surface,BoundingBoxOO Length,1,1000224486,224486,
13.0884,13.1751,13.7128,um,Surface,BoundingBoxOO Length,1,1000224487,224487,
12.8599,13.8842,14.8869,um,Surface,BoundingBoxOO Length,1,1000224488,224488,
10.3624,13.889,16.7952,um,Surface,BoundingBoxOO Length,1,1000224489,224489,
12.9852,13.2503,13.2604,um,Surface,BoundingBoxOO Length,1,1000224490,224490,
11.1234,12.2206,12.3952,um,Surface,BoundingBoxOO Length,1,1000224491,224491,
12.3734,17.1981,19.7606,um,Surface,BoundingBoxOO Length,1,1000224492,224492,
10.4306,11.1744,13.5214,um,Surface,BoundingBoxOO Length,1,1000224493,224493,
11.1896,14.1662,13.3682,um,Surface,BoundingBoxOO Length,1,1000224494,224494,
11.6072,13.1792,13.4798,um,Surface,BoundingBoxOO Length,1,1000224495,224495,
10.4939,11.5727,13.1076,um,Surface,BoundingBoxOO Length,1,1000224496,224496,
12.5843,13.1053,13.8968,um,Surface,BoundingBoxOO Length,1,1000224497,224497,
10.0749,11.1021,11.7082,um,Surface,BoundingBoxOO Length,1,1000224498,224498,
12.757,15.5978,18.9378,um,Surface,BoundingBoxOO Length,1,1000224499,224499,
13.0958,16.7684,18.7907,um,Surface,BoundingBoxOO Length,1,1000224500,224500,
12.4303,13.1694,12.475,um,Surface,BoundingBoxOO Length,1,1000224501,224501,
13.4585,13.6051,13.504,um,Surface,BoundingBoxOO Length,1,1000224502,224502,
12.1413,11.88,13.0288,um,Surface,BoundingBoxOO Length,1,1000224503,224503,
11.5308,12.5882,14.5806,um,Surface,BoundingBoxOO Length,1,1000224504,224504,
12.8267,14.0302,15.8855,um,Surface,BoundingBoxOO Length,1,1000224505,224505,
11.1077,12.0378,13.1173,um,Surface,BoundingBoxOO Length,1,1000224506,224506,
10.9911,13.3452,14.6123,um,Surface,BoundingBoxOO Length,1,1000224507,224507,
13.182,13.8311,16.1644,um,Surface,BoundingBoxOO Length,1,1000224508,224508,
12.0372,12.66,22.5868,um,Surface,BoundingBoxOO Length,1,1000224509,224509,
12.8828,12.3499,13.9119,um,Surface,BoundingBoxOO Length,1,1000224510,224510,
13.1127,13.3804,14.3996,um,Surface,BoundingBoxOO Length,1,1000224511,224511,
11.3025,12.1242,14.2592,um,Surface,BoundingBoxOO Length,1,1000224512,224512,
11.3008,13.0424,13.7177,um,Surface,BoundingBoxOO Length,1,1000224513,224513,
11.8536,12.3436,12.3417,um,Surface,BoundingBoxOO Length,1,1000224514,224514,
12.0649,12.5826,15.3263,um,Surface,BoundingBoxOO Length,1,1000224515,224515,
12.8979,13.1006,15.0557,um,Surface,BoundingBoxOO Length,1,1000224516,224516,
11.6734,12.7458,13.6205,um,Surface,BoundingBoxOO Length,1,1000224517,224517,
11.6081,11.9815,13.3641,um,Surface,BoundingBoxOO Length,1,1000224518,224518,
10.8098,12.4783,13.0783,um,Surface,BoundingBoxOO Length,1,1000224519,224519,
11.9854,11.3396,12.8434,um,Surface,BoundingBoxOO Length,1,1000224520,224520,
11.1434,14.2508,19.673,um,Surface,BoundingBoxOO Length,1,1000224521,224521,
12.3135,13.0431,13.8538,um,Surface,BoundingBoxOO Length,1,1000224522,224522,
11.9578,13.3009,15.1227,um,Surface,BoundingBoxOO Length,1,1000224523,224523,
10.4942,12.156,16.6404,um,Surface,BoundingBoxOO Length,1,1000224524,224524,
12.7952,13.6268,15.5134,um,Surface,BoundingBoxOO Length,1,1000224525,224525,
10.7983,12.5938,16.5232,um,Surface,BoundingBoxOO Length,1,1000224526,224526,
9.92505,12.1963,12.1638,um,Surface,BoundingBoxOO Length,1,1000224527,224527,
15.9425,19.0057,19.8039,um,Surface,BoundingBoxOO Length,1,1000224528,224528,
12.7286,13.0948,19.444,um,Surface,BoundingBoxOO Length,1,1000224529,224529,
10.4766,11.7749,15.4408,um,Surface,BoundingBoxOO Length,1,1000224530,224530,
11.5373,11.9023,13.8227,um,Surface,BoundingBoxOO Length,1,1000224531,224531,
10.4065,11.7015,14.4398,um,Surface,BoundingBoxOO Length,1,1000224532,224532,
12.5222,14.4354,14.7068,um,Surface,BoundingBoxOO Length,1,1000224533,224533,
12.5647,12.9605,13.4919,um,Surface,BoundingBoxOO Length,1,1000224534,224534,
10.6017,10.5613,12.0613,um,Surface,BoundingBoxOO Length,1,1000224535,224535,
12.4895,13.6362,14.5277,um,Surface,BoundingBoxOO Length,1,1000224536,224536,
13.0791,14.0616,14.5937,um,Surface,BoundingBoxOO Length,1,1000224537,224537,
10.8839,11.3042,12.7483,um,Surface,BoundingBoxOO Length,1,1000224538,224538,
12.3946,12.3375,15.2054,um,Surface,BoundingBoxOO Length,1,1000224539,224539,
10.494,12.7372,13.9415,um,Surface,BoundingBoxOO Length,1,1000224540,224540,
10.3009,10.8352,11.6501,um,Surface,BoundingBoxOO Length,1,1000224541,224541,
10.613,11.4192,13.0154,um,Surface,BoundingBoxOO Length,1,1000224542,224542,
10.9065,11.1884,13.0881,um,Surface,BoundingBoxOO Length,1,1000224543,224543,
10.7372,12.438,13.5001,um,Surface,BoundingBoxOO Length,1,1000224544,224544,
10.6165,10.9855,12.5854,um,Surface,BoundingBoxOO Length,1,1000224545,224545,
10.7706,12.4097,14.4778,um,Surface,BoundingBoxOO Length,1,1000224546,224546,
12.2497,12.4148,13.2703,um,Surface,BoundingBoxOO Length,1,1000224547,224547,
6.29701,8.34501,10.7493,um,Surface,BoundingBoxOO Length,1,1000224548,224548,
11.9005,13.5667,13.4623,um,Surface,BoundingBoxOO Length,1,1000224549,224549,
11.0828,11.6027,13.928,um,Surface,BoundingBoxOO Length,1,1000224550,224550,
10.2683,11.3941,11.1358,um,Surface,BoundingBoxOO Length,1,1000224551,224551,
11.0446,12.3751,13.0581,um,Surface,BoundingBoxOO Length,1,1000224552,224552,
9.93481,12.4335,11.9553,um,Surface,BoundingBoxOO Length,1,1000224553,224553,
10.7369,11.7522,13.9905,um,Surface,BoundingBoxOO Length,1,1000224554,224554,
13.9647,14.1231,14.6304,um,Surface,BoundingBoxOO Length,1,1000224555,224555,
11.2649,13.4315,12.8508,um,Surface,BoundingBoxOO Length,1,1000224556,224556,
12.6097,13.6641,14.1097,um,Surface,BoundingBoxOO Length,1,1000224557,224557,
11.7364,12.5864,14.9249,um,Surface,BoundingBoxOO Length,1,1000224558,224558,
11.8349,13.0408,20.0973,um,Surface,BoundingBoxOO Length,1,1000224559,224559,
11.6372,11.9543,12.3306,um,Surface,BoundingBoxOO Length,1,1000224560,224560,
10.7974,11.7843,13.0778,um,Surface,BoundingBoxOO Length,1,1000224561,224561,
