
Ellipsoid Axis A
 ==================== 
Ellipsoid Axis A X,Ellipsoid Axis A Y,Ellipsoid Axis A Z,Unit,Category,Collection,Time,TrackID,ID,
-879.616,-352.856,319.012,um,Surface,Ellipsoid Axis A,1,1000224458,224458,
800.426,-597.347,-49.9498,um,Surface,Ellipsoid Axis A,1,1000224459,224459,
948.57,-267.88,-168.684,um,Surface,Ellipsoid Axis A,1,1000224460,224460,
-987.253,154.952,36.3606,um,Surface,Ellipsoid Axis A,1,1000224461,224461,
739.321,-273.9,-615.129,um,Surface,Ellipsoid Axis A,1,1000224462,224462,
777.809,621.425,-94.0444,um,Surface,Ellipsoid Axis A,1,1000224463,224463,
129.987,-990.63,41.9061,um,Surface,Ellipsoid Axis A,1,1000224464,224464,
-968.865,-184.405,165.214,um,Surface,Ellipsoid Axis A,1,1000224465,224465,
991.885,90.3576,-89.444,um,Surface,Ellipsoid Axis A,1,1000224466,224466,
747.373,658.137,-91.0429,um,Surface,Ellipsoid Axis A,1,1000224467,224467,
907.977,-418.35,23.7055,um,Surface,Ellipsoid Axis A,1,1000224468,224468,
295.781,943.166,151.497,um,Surface,Ellipsoid Axis A,1,1000224469,224469,
922.084,304.501,238.83,um,Surface,Ellipsoid Axis A,1,1000224470,224470,
822.149,416.27,-388.317,um,Surface,Ellipsoid Axis A,1,1000224471,224471,
788.526,-543.686,-287.457,um,Surface,Ellipsoid Axis A,1,1000224472,224472,
996.873,67.986,-40.2657,um,Surface,Ellipsoid Axis A,1,1000224473,224473,
938.236,345.978,3.42563,um,Surface,Ellipsoid Axis A,1,1000224474,224474,
758.786,-499.453,-418.081,um,Surface,Ellipsoid Axis A,1,1000224475,224475,
556.582,830.579,18.8326,um,Surface,Ellipsoid Axis A,1,1000224476,224476,
980.519,86.6161,-176.297,um,Surface,Ellipsoid Axis A,1,1000224477,224477,
-285.319,-951.628,114.004,um,Surface,Ellipsoid Axis A,1,1000224478,224478,
-365.974,-677.144,-638.388,um,Surface,Ellipsoid Axis A,1,1000224479,224479,
-984.217,-140.076,-108.146,um,Surface,Ellipsoid Axis A,1,1000224480,224480,
912.066,141.699,384.781,um,Surface,Ellipsoid Axis A,1,1000224481,224481,
984.638,153.529,83.1731,um,Surface,Ellipsoid Axis A,1,1000224482,224482,
-804.886,184.47,564.03,um,Surface,Ellipsoid Axis A,1,1000224483,224483,
978.128,-177.687,108.138,um,Surface,Ellipsoid Axis A,1,1000224484,224484,
624.961,-752.912,206.272,um,Surface,Ellipsoid Axis A,1,1000224485,224485,
951.409,-295.809,-85.5493,um,Surface,Ellipsoid Axis A,1,1000224486,224486,
-28.9417,-983.614,-177.948,um,Surface,Ellipsoid Axis A,1,1000224487,224487,
728.108,-677.671,103.053,um,Surface,Ellipsoid Axis A,1,1000224488,224488,
115.352,-978.759,169.483,um,Surface,Ellipsoid Axis A,1,1000224489,224489,
-929.615,262.06,259.115,um,Surface,Ellipsoid Axis A,1,1000224490,224490,
875.828,-422.707,232.903,um,Surface,Ellipsoid Axis A,1,1000224491,224491,
73.5637,-161.843,984.071,um,Surface,Ellipsoid Axis A,1,1000224492,224492,
-167.386,982.516,-81.5108,um,Surface,Ellipsoid Axis A,1,1000224493,224493,
985.931,77.7523,147.969,um,Surface,Ellipsoid Axis A,1,1000224494,224494,
989.735,-123.586,71.7698,um,Surface,Ellipsoid Axis A,1,1000224495,224495,
999.165,-29.9475,27.8085,um,Surface,Ellipsoid Axis A,1,1000224496,224496,
867.709,-491.832,-71.9932,um,Surface,Ellipsoid Axis A,1,1000224497,224497,
964.385,-259.439,-51.5136,um,Surface,Ellipsoid Axis A,1,1000224498,224498,
390.39,-488.27,780.505,um,Surface,Ellipsoid Axis A,1,1000224499,224499,
949.125,271.984,158.703,um,Surface,Ellipsoid Axis A,1,1000224500,224500,
966.615,-194.533,-166.772,um,Surface,Ellipsoid Axis A,1,1000224501,224501,
-56.5134,-966.129,-251.794,um,Surface,Ellipsoid Axis A,1,1000224502,224502,
859.521,-179.98,478.362,um,Surface,Ellipsoid Axis A,1,1000224503,224503,
-876.24,-395.844,-274.792,um,Surface,Ellipsoid Axis A,1,1000224504,224504,
999.249,-9.21478,37.6384,um,Surface,Ellipsoid Axis A,1,1000224505,224505,
-513.237,-812.911,275.252,um,Surface,Ellipsoid Axis A,1,1000224506,224506,
-999.708,-9.17433,22.3614,um,Surface,Ellipsoid Axis A,1,1000224507,224507,
1000,-0.001336,0.000149831,um,Surface,Ellipsoid Axis A,1,1000224508,224508,
399.393,916.373,27.3176,um,Surface,Ellipsoid Axis A,1,1000224509,224509,
955.55,286.324,-70.2999,um,Surface,Ellipsoid Axis A,1,1000224510,224510,
-994.796,0.000328635,-101.891,um,Surface,Ellipsoid Axis A,1,1000224511,224511,
-655.288,-701.944,279.056,um,Surface,Ellipsoid Axis A,1,1000224512,224512,
384.397,854.125,350.299,um,Surface,Ellipsoid Axis A,1,1000224513,224513,
-342.662,-921.955,180.506,um,Surface,Ellipsoid Axis A,1,1000224514,224514,
