
Ellipsoid Axis B
 ==================== 
Ellipsoid Axis B X,Ellipsoid Axis B Y,Ellipsoid Axis B Z,Unit,Category,Collection,Time,TrackID,ID,
431.366,-874.364,222.286,um,Surface,Ellipsoid Axis B,1,1000224458,224458,
-331.829,-372.157,-866.826,um,Surface,Ellipsoid Axis B,1,1000224459,224459,
276.686,960.473,30.6146,um,Surface,Ellipsoid Axis B,1,1000224460,224460,
-153.863,-987.604,31.064,um,Surface,Ellipsoid Axis B,1,1000224461,224461,
551.791,770.009,320.332,um,Surface,Ellipsoid Axis B,1,1000224462,224462,
592.833,-775.099,-218.563,um,Surface,Ellipsoid Axis B,1,1000224463,224463,
-867.82,-93.2262,488.055,um,Surface,Ellipsoid Axis B,1,1000224464,224464,
197.474,-978.058,66.3822,um,Surface,Ellipsoid Axis B,1,1000224465,224465,
32.7708,-861.43,-506.818,um,Surface,Ellipsoid Axis B,1,1000224466,224466,
480.046,-629.634,-610.833,um,Surface,Ellipsoid Axis B,1,1000224467,224467,
-417.48,-898.342,136.717,um,Surface,Ellipsoid Axis B,1,1000224468,224468,
948.492,-271.13,-163.866,um,Surface,Ellipsoid Axis B,1,1000224469,224469,
384.619,-652.898,-652.527,um,Surface,Ellipsoid Axis B,1,1000224470,224470,
444.456,-43.1415,894.761,um,Surface,Ellipsoid Axis B,1,1000224471,224471,
-326.306,-766.054,553.792,um,Surface,Ellipsoid Axis B,1,1000224472,224472,
78.6321,-803.433,590.18,um,Surface,Ellipsoid Axis B,1,1000224473,224473,
284.68,-766.303,-575.967,um,Surface,Ellipsoid Axis B,1,1000224474,224474,
-249.254,-815.677,522.056,um,Surface,Ellipsoid Axis B,1,1000224475,224475,
779.397,-529.865,334.342,um,Surface,Ellipsoid Axis B,1,1000224476,224476,
140.866,-935.578,323.806,um,Surface,Ellipsoid Axis B,1,1000224477,224477,
-939.591,301.194,162.637,um,Surface,Ellipsoid Axis B,1,1000224478,224478,
266.768,-733.523,625.123,um,Surface,Ellipsoid Axis B,1,1000224479,224479,
166.559,-939.711,-298.666,um,Surface,Ellipsoid Axis B,1,1000224480,224480,
380.657,-641.437,-666.077,um,Surface,Ellipsoid Axis B,1,1000224481,224481,
174.394,-840.982,-512.188,um,Surface,Ellipsoid Axis B,1,1000224482,224482,
588.94,365.002,721.057,um,Surface,Ellipsoid Axis B,1,1000224483,224483,
-202.427,-693.549,691.385,um,Surface,Ellipsoid Axis B,1,1000224484,224484,
729.615,657.315,188.679,um,Surface,Ellipsoid Axis B,1,1000224485,224485,
-304.171,-859.503,-410.773,um,Surface,Ellipsoid Axis B,1,1000224486,224486,
999.541,-26.8866,-13.9501,um,Surface,Ellipsoid Axis B,1,1000224487,224487,
-680.456,-696.441,227.923,um,Surface,Ellipsoid Axis B,1,1000224488,224488,
909.383,35.4087,-414.45,um,Surface,Ellipsoid Axis B,1,1000224489,224489,
-196.36,-947.198,253.492,um,Surface,Ellipsoid Axis B,1,1000224490,224490,
468.262,861.118,-198.008,um,Surface,Ellipsoid Axis B,1,1000224491,224491,
944.594,327.817,-16.6989,um,Surface,Ellipsoid Axis B,1,1000224492,224492,
693.602,176.114,698.498,um,Surface,Ellipsoid Axis B,1,1000224493,224493,
156.554,-739.742,-654.426,um,Surface,Ellipsoid Axis B,1,1000224494,224494,
131.19,984.868,-113.241,um,Surface,Ellipsoid Axis B,1,1000224495,224495,
4.94218,-586.915,-809.633,um,Surface,Ellipsoid Axis B,1,1000224496,224496,
-490.154,-822.527,-288.439,um,Surface,Ellipsoid Axis B,1,1000224497,224497,
-201.825,-847.649,490.671,um,Surface,Ellipsoid Axis B,1,1000224498,224498,
605.146,-502.815,-617.232,um,Surface,Ellipsoid Axis B,1,1000224499,224499,
299.031,-620.49,-724.964,um,Surface,Ellipsoid Axis B,1,1000224500,224500,
199.2,979.891,11.565,um,Surface,Ellipsoid Axis B,1,1000224501,224501,
986.664,-92.6011,133.859,um,Surface,Ellipsoid Axis B,1,1000224502,224502,
423.89,773.945,-470.454,um,Surface,Ellipsoid Axis B,1,1000224503,224503,
-216.483,832.843,-509.419,um,Surface,Ellipsoid Axis B,1,1000224504,224504,
-31.5537,370.314,928.371,um,Surface,Ellipsoid Axis B,1,1000224505,224505,
856.318,-463.543,227.699,um,Surface,Ellipsoid Axis B,1,1000224506,224506,
9.29966,-999.942,5.50696,um,Surface,Ellipsoid Axis B,1,1000224507,224507,
-0.00133782,-999.917,12.8848,um,Surface,Ellipsoid Axis B,1,1000224508,224508,
670.024,-312.103,673.543,um,Surface,Ellipsoid Axis B,1,1000224509,224509,
259.047,-929.221,-263.522,um,Surface,Ellipsoid Axis B,1,1000224510,224510,
-0.000320842,-1000,-9.28692e-05,um,Surface,Ellipsoid Axis B,1,1000224511,224511,
500.439,-126.697,856.451,um,Surface,Ellipsoid Axis B,1,1000224512,224512,
698.187,-517.225,494.987,um,Surface,Ellipsoid Axis B,1,1000224513,224513,
900.446,-377.107,-216.764,um,Surface,Ellipsoid Axis B,1,1000224514,224514,
-320.347,-37.9968,-946.538,um,Surface,Ellipsoid Axis B,1,1000224515,224515,
60.8859,-939.214,-337.891,um,Surface,Ellipsoid Axis B,1,1000224516,224516,
156.827,820.673,-549.455,um,Surface,Ellipsoid Axis B,1,1000224517,224517,
122.309,-329.063,936.354,um,Surface,Ellipsoid Axis B,1,1000224518,224518,
265.99,959.513,92.6467,um,Surface,Ellipsoid Axis B,1,1000224519,224519,
374.753,-649.698,661.402,um,Surface,Ellipsoid Axis B,1,1000224520,224520,
725.52,687.861,-21.612,um,Surface,Ellipsoid Axis B,1,1000224521,224521,
511.879,-822.814,-246.893,um,Surface,Ellipsoid Axis B,1,1000224522,224522,
-460.674,-396.814,-793.926,um,Surface,Ellipsoid Axis B,1,1000224523,224523,
100.663,61.6172,993.011,um,Surface,Ellipsoid Axis B,1,1000224524,224524,
-254.17,-522.205,-814.063,um,Surface,Ellipsoid Axis B,1,1000224525,224525,
388.628,-65.2275,919.083,um,Surface,Ellipsoid Axis B,1,1000224526,224526,
766.115,641.232,-43.4612,um,Surface,Ellipsoid Axis B,1,1000224527,224527,
224.77,-936.591,-268.842,um,Surface,Ellipsoid Axis B,1,1000224528,224528,
422.173,732.277,534.36,um,Surface,Ellipsoid Axis B,1,1000224529,224529,
319.31,-947.448,-19.5881,um,Surface,Ellipsoid Axis B,1,1000224530,224530,
462.59,746.802,477.804,um,Surface,Ellipsoid Axis B,1,1000224531,224531,
-16.1829,-848.497,528.952,um,Surface,Ellipsoid Axis B,1,1000224532,224532,
-211.736,-956.078,202.687,um,Surface,Ellipsoid Axis B,1,1000224533,224533,
-548.484,-734.037,400.443,um,Surface,Ellipsoid Axis B,1,1000224534,224534,
707.102,707.111,-0.000326207,um,Surface,Ellipsoid Axis B,1,1000224535,224535,
118.935,984.242,-130.848,um,Surface,Ellipsoid Axis B,1,1000224536,224536,
134.694,986.583,-92.2564,um,Surface,Ellipsoid Axis B,1,1000224537,224537,
159.827,-361.221,-918.681,um,Surface,Ellipsoid Axis B,1,1000224538,224538,
-54.7315,-974.834,-216.111,um,Surface,Ellipsoid Axis B,1,1000224539,224539,
73.925,-957.477,-278.879,um,Surface,Ellipsoid Axis B,1,1000224540,224540,
-545.01,-834.536,80.7118,um,Surface,Ellipsoid Axis B,1,1000224541,224541,
-5.85806,-186.475,982.442,um,Surface,Ellipsoid Axis B,1,1000224542,224542,
746.233,582.853,-321.587,um,Surface,Ellipsoid Axis B,1,1000224543,224543,
278.821,-924.049,261.517,um,Surface,Ellipsoid Axis B,1,1000224544,224544,
-182.69,-15.1982,-983.053,um,Surface,Ellipsoid Axis B,1,1000224545,224545,
-112.657,-767.451,631.132,um,Surface,Ellipsoid Axis B,1,1000224546,224546,
992.554,94.8508,76.4139,um,Surface,Ellipsoid Axis B,1,1000224547,224547,
7.94435e-11,-601.581,-798.812,um,Surface,Ellipsoid Axis B,1,1000224548,224548,
329.899,942.018,-61.3843,um,Surface,Ellipsoid Axis B,1,1000224549,224549,
931.774,251.932,261.396,um,Surface,Ellipsoid Axis B,1,1000224550,224550,
366.908,-928.199,-61.8548,um,Surface,Ellipsoid Axis B,1,1000224551,224551,
168.894,-759.479,628.225,um,Surface,Ellipsoid Axis B,1,1000224552,224552,
659.301,-732.988,-167.484,um,Surface,Ellipsoid Axis B,1,1000224553,224553,
-14.2869,355.922,934.406,um,Surface,Ellipsoid Axis B,1,1000224554,224554,
755.277,-544.465,-364.85,um,Surface,Ellipsoid Axis B,1,1000224555,224555,
-51.3809,-899.073,434.773,um,Surface,Ellipsoid Axis B,1,1000224556,224556,
172.917,-983.617,50.962,um,Surface,Ellipsoid Axis B,1,1000224557,224557,
-107.552,-643.822,757.579,um,Surface,Ellipsoid Axis B,1,1000224558,224558,
804.357,415.703,-424.5,um,Surface,Ellipsoid Axis B,1,1000224559,224559,
912.108,324.941,-249.943,um,Surface,Ellipsoid Axis B,1,1000224560,224560,
-98.5466,-838.419,536.043,um,Surface,Ellipsoid Axis B,1,1000224561,224561,
481.522,-677.105,556.476,um,Surface,Ellipsoid Axis B,1,1000224562,224562,
-498.201,-864.48,-66.8571,um,Surface,Ellipsoid Axis B,1,1000224563,224563,
21.9858,-659.332,751.531,um,Surface,Ellipsoid Axis B,1,1000224564,224564,
654.285,-488.652,-577.174,um,Surface,Ellipsoid Axis B,1,1000224565,224565,
613.554,788.25,-47.0459,um,Surface,Ellipsoid Axis B,1,1000224566,224566,
648.525,-754.663,-99.4951,um,Surface,Ellipsoid Axis B,1,1000224567,224567,
230.845,-968.208,96.3553,um,Surface,Ellipsoid Axis B,1,1000224568,224568,
-297.877,-943.087,147.835,um,Surface,Ellipsoid Axis B,1,1000224569,224569,
-284.168,-925.868,249.033,um,Surface,Ellipsoid Axis B,1,1000224570,224570,
470.456,880.461,-58.8194,um,Surface,Ellipsoid Axis B,1,1000224571,224571,
-814.261,-524.187,-249.414,um,Surface,Ellipsoid Axis B,1,1000224572,224572,
-998.468,4.30931e-13,-55.3247,um,Surface,Ellipsoid Axis B,1,1000224573,224573,
4.2033e-12,-945.956,-324.294,um,Surface,Ellipsoid Axis B,1,1000224574,224574,
853.4,-433.872,-288.9,um,Surface,Ellipsoid Axis B,1,1000224575,224575,
-649.294,-744.561,155.066,um,Surface,Ellipsoid Axis B,2,1000224466,224576,
815.12,-498.292,-295.438,um,Surface,Ellipsoid Axis B,2,1000224467,224577,
-401.796,-710.073,578.236,um,Surface,Ellipsoid Axis B,2,1000224458,224578,
946.116,-243.898,213.02,um,Surface,Ellipsoid Axis B,2,1000224459,224579,
798.475,599.284,57.4174,um,Surface,Ellipsoid Axis B,2,1000224461,224580,
723.684,-562.034,-400.5,um,Surface,Ellipsoid Axis B,2,1000224460,224581,
236.189,894.255,380.163,um,Surface,Ellipsoid Axis B,2,1000224462,224582,
-189.586,47.4999,-980.714,um,Surface,Ellipsoid Axis B,2,1000224463,224583,
324.129,931.477,165.199,um,Surface,Ellipsoid Axis B,2,1000224468,224584,
-918.477,-61.9658,390.589,um,Surface,Ellipsoid Axis B,2,1000224470,224585,
157.933,-913.668,-374.525,um,Surface,Ellipsoid Axis B,2,1000224464,224586,
670.807,730.333,128.964,um,Surface,Ellipsoid Axis B,2,1000224465,224587,
609.842,753.99,-244.115,um,Surface,Ellipsoid Axis B,2,1000224471,224588,
425.972,-630.645,648.718,um,Surface,Ellipsoid Axis B,2,1000224473,224589,
335.806,-939.854,-62.514,um,Surface,Ellipsoid Axis B,2,1000224469,224590,
686.622,726.779,18.5262,um,Surface,Ellipsoid Axis B,2,1000224474,224591,
145.458,-950.474,-274.667,um,Surface,Ellipsoid Axis B,2,1000224475,224592,
559.407,770.6,-305.353,um,Surface,Ellipsoid Axis B,2,1000224472,224593,
664.315,-356.362,657.032,um,Surface,Ellipsoid Axis B,2,1000224477,224594,
