
Ellipsoid Axis C
 ==================== 
Ellipsoid Axis C X,Ellipsoid Axis C Y,Ellipsoid Axis C Z,Unit,Category,Collection,Time,TrackID,ID,
200.498,333.137,921.315,um,Surface,Ellipsoid Axis C,1,1000224458,224458,
-499.207,-710.405,496.102,um,Surface,Ellipsoid Axis C,1,1000224459,224459,
153.816,-75.7127,985.195,um,Surface,Ellipsoid Axis C,1,1000224460,224460,
40.7233,25.0735,998.856,um,Surface,Ellipsoid Axis C,1,1000224461,224461,
-385.916,576.251,-720.419,um,Surface,Ellipsoid Axis C,1,1000224462,224462,
208.714,-114.247,971.281,um,Surface,Ellipsoid Axis C,1,1000224463,224463,
479.575,99.8077,871.806,um,Surface,Ellipsoid Axis C,1,1000224464,224464,
149.348,96.9408,984.021,um,Surface,Ellipsoid Axis C,1,1000224465,224465,
122.845,-499.774,857.4,um,Surface,Ellipsoid Axis C,1,1000224466,224466,
459.336,-412.815,786.508,um,Surface,Ellipsoid Axis C,1,1000224467,224467,
35.8999,134.033,990.326,um,Surface,Ellipsoid Axis C,1,1000224468,224468,
113.477,-192.162,974.78,um,Surface,Ellipsoid Axis C,1,1000224469,224469,
42.7631,-693.544,719.144,um,Surface,Ellipsoid Axis C,1,1000224470,224470,
-355.71,908.217,220.482,um,Surface,Ellipsoid Axis C,1,1000224471,224471,
521.297,342.881,781.462,um,Surface,Ellipsoid Axis C,1,1000224472,224472,
-7.77323,591.501,806.267,um,Surface,Ellipsoid Axis C,1,1000224473,224473,
196.647,-541.368,817.466,um,Surface,Ellipsoid Axis C,1,1000224474,224474,
601.761,291.921,743.415,um,Surface,Ellipsoid Axis C,1,1000224475,224475,
-287.676,171.41,942.264,um,Surface,Ellipsoid Axis C,1,1000224476,224476,
136.893,342.332,929.553,um,Surface,Ellipsoid Axis C,1,1000224477,224477,
189.107,60.7134,980.078,um,Surface,Ellipsoid Axis C,1,1000224478,224478,
-891.571,58.4773,449.09,um,Surface,Ellipsoid Axis C,1,1000224479,224479,
59.7901,311.965,-948.21,um,Surface,Ellipsoid Axis C,1,1000224480,224480,
-152.43,-753.976,638.971,um,Surface,Ellipsoid Axis C,1,1000224481,224481,
8.68849,-518.824,854.837,um,Surface,Ellipsoid Axis C,1,1000224482,224482,
72.8585,-912.548,402.426,um,Surface,Ellipsoid Axis C,1,1000224483,224483,
47.851,698.153,714.348,um,Surface,Ellipsoid Axis C,1,1000224484,224484,
-277.644,32.5821,960.131,um,Surface,Ellipsoid Axis C,1,1000224485,224485,
-47.9805,-416.834,907.715,um,Surface,Ellipsoid Axis C,1,1000224486,224486,
8.9371,-178.27,983.941,um,Surface,Ellipsoid Axis C,1,1000224487,224487,
82.6861,236.076,968.21,um,Surface,Ellipsoid Axis C,1,1000224488,224488,
-399.646,-201.932,-894.151,um,Surface,Ellipsoid Axis C,1,1000224489,224489,
311.863,184.77,931.988,um,Surface,Ellipsoid Axis C,1,1000224490,224490,
-116.857,282.481,952.129,um,Surface,Ellipsoid Axis C,1,1000224491,224491,
319.892,-930.775,-176.992,um,Surface,Ellipsoid Axis C,1,1000224492,224492,
-700.641,-60.3831,710.954,um,Surface,Ellipsoid Axis C,1,1000224493,224493,
-58.5761,-668.384,741.507,um,Surface,Ellipsoid Axis C,1,1000224494,224494,
-56.6888,121.494,990.972,um,Surface,Ellipsoid Axis C,1,1000224495,224495,
-40.5677,-809.094,586.277,um,Surface,Ellipsoid Axis C,1,1000224496,224496,
-82.6473,-285.569,954.788,um,Surface,Ellipsoid Axis C,1,1000224497,224497,
170.965,462.799,869.821,um,Surface,Ellipsoid Axis C,1,1000224498,224498,
693.826,713.281,99.1806,um,Surface,Ellipsoid Axis C,1,1000224499,224499,
