
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,TrackID,ID,
0.171716,,Surface,1,1000224458,224458,
0.507468,,Surface,1,1000224459,224459,
0.197654,,Surface,1,1000224460,224460,
0.472152,,Surface,1,1000224461,224461,
0.406236,,Surface,1,1000224462,224462,
0.37089,,Surface,1,1000224463,224463,
0.265465,,Surface,1,1000224464,224464,
0.328882,,Surface,1,1000224465,224465,
0.436931,,Surface,1,1000224466,224466,
0.194053,,Surface,1,1000224467,224467,
0.209595,,Surface,1,1000224468,224468,
0.262699,,Surface,1,1000224469,224469,
0.183403,,Surface,1,1000224470,224470,
0.261388,,Surface,1,1000224471,224471,
0.289473,,Surface,1,1000224472,224472,
0.453657,,Surface,1,1000224473,224473,
0.212117,,Surface,1,1000224474,224474,
0.265431,,Surface,1,1000224475,224475,
0.126701,,Surface,1,1000224476,224476,
0.490706,,Surface,1,1000224477,224477,
0.17861,,Surface,1,1000224478,224478,
0.178815,,Surface,1,1000224479,224479,
0.520622,,Surface,1,1000224480,224480,
0.274584,,Surface,1,1000224481,224481,
0.248584,,Surface,1,1000224482,224482,
0.285892,,Surface,1,1000224483,224483,
0.363013,,Surface,1,1000224484,224484,
0.321347,,Surface,1,1000224485,224485,
0.37695,,Surface,1,1000224486,224486,
0.231913,,Surface,1,1000224487,224487,
0.348812,,Surface,1,1000224488,224488,
0.580077,,Surface,1,1000224489,224489,
0.195366,,Surface,1,1000224490,224490,
0.18779,,Surface,1,1000224491,224491,
0.398695,,Surface,1,1000224492,224492,
0.487222,,Surface,1,1000224493,224493,
0.360937,,Surface,1,1000224494,224494,
0.45635,,Surface,1,1000224495,224495,
0.484981,,Surface,1,1000224496,224496,
0.234743,,Surface,1,1000224497,224497,
0.412355,,Surface,1,1000224498,224498,
0.356478,,Surface,1,1000224499,224499,
0.502189,,Surface,1,1000224500,224500,
0.148173,,Surface,1,1000224501,224501,
0.220668,,Surface,1,1000224502,224502,
0.137336,,Surface,1,1000224503,224503,
0.31952,,Surface,1,1000224504,224504,
0.277032,,Surface,1,1000224505,224505,
0.21431,,Surface,1,1000224506,224506,
0.524391,,Surface,1,1000224507,224507,
0.222897,,Surface,1,1000224508,224508,
0.276062,,Surface,1,1000224509,224509,
0.21378,,Surface,1,1000224510,224510,
0.281889,,Surface,1,1000224511,224511,
0.252097,,Surface,1,1000224512,224512,
0.254881,,Surface,1,1000224513,224513,
0.267012,,Surface,1,1000224514,224514,
0.254099,,Surface,1,1000224515,224515,
0.361585,,Surface,1,1000224516,224516,
0.274634,,Surface,1,1000224517,224517,
0.183306,,Surface,1,1000224518,224518,
0.378041,,Surface,1,1000224519,224519,
0.306733,,Surface,1,1000224520,224520,
0.355882,,Surface,1,1000224521,224521,
0.274233,,Surface,1,1000224522,224522,
0.287828,,Surface,1,1000224523,224523,
0.488307,,Surface,1,1000224524,224524,
0.263178,,Surface,1,1000224525,224525,
0.582935,,Surface,1,1000224526,224526,
0.40581,,Surface,1,1000224527,224527,
0.320975,,Surface,1,1000224528,224528,
0.158673,,Surface,1,1000224529,224529,
0.366031,,Surface,1,1000224530,224530,
0.328771,,Surface,1,1000224531,224531,
0.495958,,Surface,1,1000224532,224532,
0.322611,,Surface,1,1000224533,224533,
0.169353,,Surface,1,1000224534,224534,
0.26318,,Surface,1,1000224535,224535,
0.354687,,Surface,1,1000224536,224536,
0.261419,,Surface,1,1000224537,224537,
0.443968,,Surface,1,1000224538,224538,
0.300822,,Surface,1,1000224539,224539,
0.530004,,Surface,1,1000224540,224540,
0.246173,,Surface,1,1000224541,224541,
0.187149,,Surface,1,1000224542,224542,
0.302267,,Surface,1,1000224543,224543,
0.484404,,Surface,1,1000224544,224544,
0.282162,,Surface,1,1000224545,224545,
0.477902,,Surface,1,1000224546,224546,
0.305256,,Surface,1,1000224547,224547,
0.562032,,Surface,1,1000224548,224548,
0.310329,,Surface,1,1000224549,224549,
0.336922,,Surface,1,1000224550,224550,
0.351971,,Surface,1,1000224551,224551,
0.388873,,Surface,1,1000224552,224552,
0.382359,,Surface,1,1000224553,224553,
0.343516,,Surface,1,1000224554,224554,
0.263004,,Surface,1,1000224555,224555,
0.457764,,Surface,1,1000224556,224556,
0.31723,,Surface,1,1000224557,224557,
0.423013,,Surface,1,1000224558,224558,
0.287739,,Surface,1,1000224559,224559,
0.16202,,Surface,1,1000224560,224560,
0.46177,,Surface,1,1000224561,224561,
0.283073,,Surface,1,1000224562,224562,
0.270415,,Surface,1,1000224563,224563,
0.541669,,Surface,1,1000224564,224564,
0.325283,,Surface,1,1000224565,224565,
0.335004,,Surface,1,1000224566,224566,
