
Intensity Mean Ch=2 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,TrackID,ID,
44.7931,,Surface,2,Image 1,1,1000224458,224458,
45.4681,,Surface,2,Image 1,1,1000224459,224459,
43.3636,,Surface,2,Image 1,1,1000224460,224460,
51.6226,,Surface,2,Image 1,1,1000224461,224461,
38.4565,,Surface,2,Image 1,1,1000224462,224462,
54.8987,,Surface,2,Image 1,1,1000224463,224463,
42.4,,Surface,2,Image 1,1,1000224464,224464,
61.2821,,Surface,2,Image 1,1,1000224465,224465,
52.8462,,Surface,2,Image 1,1,1000224466,224466,
49.8721,,Surface,2,Image 1,1,1000224467,224467,
49.1226,,Surface,2,Image 1,1,1000224468,224468,
51.5278,,Surface,2,Image 1,1,1000224469,224469,
42.8,,Surface,2,Image 1,1,1000224470,224470,
37.8933,,Surface,2,Image 1,1,1000224471,224471,
46.0875,,Surface,2,Image 1,1,1000224472,224472,
48.72,,Surface,2,Image 1,1,1000224473,224473,
55.4625,,Surface,2,Image 1,1,1000224474,224474,
49.1143,,Surface,2,Image 1,1,1000224475,224475,
44.7344,,Surface,2,Image 1,1,1000224476,224476,
57.4231,,Surface,2,Image 1,1,1000224477,224477,
52.7188,,Surface,2,Image 1,1,1000224478,224478,
51.6561,,Surface,2,Image 1,1,1000224479,224479,
60.1923,,Surface,2,Image 1,1,1000224480,224480,
37.6429,,Surface,2,Image 1,1,1000224481,224481,
48.8064,,Surface,2,Image 1,1,1000224482,224482,
27.6078,,Surface,2,Image 1,1,1000224483,224483,
44.6667,,Surface,2,Image 1,1,1000224484,224484,
50.6333,,Surface,2,Image 1,1,1000224485,224485,
56.84,,Surface,2,Image 1,1,1000224486,224486,
45.6286,,Surface,2,Image 1,1,1000224487,224487,
60.427,,Surface,2,Image 1,1,1000224488,224488,
47.4643,,Surface,2,Image 1,1,1000224489,224489,
46.5467,,Surface,2,Image 1,1,1000224490,224490,
37.1091,,Surface,2,Image 1,1,1000224491,224491,
29.2588,,Surface,2,Image 1,1,1000224492,224492,
37.1,,Surface,2,Image 1,1,1000224493,224493,
44.7451,,Surface,2,Image 1,1,1000224494,224494,
62.9655,,Surface,2,Image 1,1,1000224495,224495,
39.5686,,Surface,2,Image 1,1,1000224496,224496,
49.3714,,Surface,2,Image 1,1,1000224497,224497,
40.1795,,Surface,2,Image 1,1,1000224498,224498,
37.8235,,Surface,2,Image 1,1,1000224499,224499,
33.3441,,Surface,2,Image 1,1,1000224500,224500,
36.8909,,Surface,2,Image 1,1,1000224501,224501,
