
Ellipsoid Axis Length A
 ==================== 
Ellipsoid Axis Length A,Unit,Category,Time,TrackID,ID,
5.22362,um,Surface,1,1000190005,190005,
3.90521,um,Surface,1,1000190006,190006,
4.05144,um,Surface,1,1000190007,190007,
4.78284,um,Surface,1,1000190008,190008,
5.38253,um,Surface,1,1000190009,190009,
1.98026,um,Surface,1,1000190010,190010,
5.09739,um,Surface,1,1000190011,190011,
5.14522,um,Surface,1,1000190012,190012,
5.59421,um,Surface,1,1000190013,190013,
4.31363,um,Surface,1,1000190014,190014,
5.11191,um,Surface,1,1000190015,190015,
5.66692,um,Surface,1,1000190016,190016,
4.50742,um,Surface,1,1000190017,190017,
4.20744,um,Surface,1,1000190018,190018,
5.06037,um,Surface,1,1000190019,190019,
5.42753,um,Surface,1,1000190020,190020,
4.19432,um,Surface,1,1000190021,190021,
5.61587,um,Surface,1,1000190022,190022,
5.86453,um,Surface,1,1000190023,190023,
5.45634,um,Surface,1,1000190024,190024,
4.96478,um,Surface,1,1000190025,190025,
4.32026,um,Surface,1,1000190026,190026,
5.70515,um,Surface,1,1000190027,190027,
5.09318,um,Surface,1,1000190028,190028,
3.85585,um,Surface,1,1000190029,190029,
3.14672,um,Surface,1,1000190030,190030,
4.72155,um,Surface,1,1000190031,190031,
4.95577,um,Surface,1,1000190032,190032,
5.70948,um,Surface,1,1000190033,190033,
4.85663,um,Surface,1,1000190034,190034,
5.29867,um,Surface,1,1000190035,190035,
5.05936,um,Surface,1,1000190036,190036,
5.65969,um,Surface,1,1000190037,190037,
6.05218,um,Surface,1,1000190038,190038,
4.27593,um,Surface,1,1000190039,190039,
5.36247,um,Surface,1,1000190040,190040,
5.39,um,Surface,1,1000190041,190041,
3.85813,um,Surface,1,1000190042,190042,
4.04763,um,Surface,1,1000190043,190043,
5.3543,um,Surface,1,1000190044,190044,
5.37425,um,Surface,1,1000190045,190045,
4.0089,um,Surface,1,1000190046,190046,
4.55592,um,Surface,1,1000190047,190047,
5.29056,um,Surface,1,1000190048,190048,
5.76372,um,Surface,1,1000190049,190049,
5.34608,um,Surface,1,1000190050,190050,
4.53237,um,Surface,1,1000190051,190051,
4.22037,um,Surface,1,1000190052,190052,
5.16265,um,Surface,1,1000190053,190053,
5.06655,um,Surface,1,1000190054,190054,
6.23536,um,Surface,1,1000190055,190055,
5.9309,um,Surface,1,1000190056,190056,
5.05052,um,Surface,1,1000190057,190057,
4.076,um,Surface,1,1000190058,190058,
4.9641,um,Surface,1,1000190059,190059,
4.13477,um,Surface,1,1000190060,190060,
5.52589,um,Surface,1,1000190061,190061,
6.29873,um,Surface,1,1000190062,190062,
1.98032,um,Surface,1,1000190063,190063,
4.81036,um,Surface,1,1000190064,190064,
4.164,um,Surface,1,1000190065,190065,
3.79147,um,Surface,1,1000190066,190066,
4.25466,um,Surface,1,1000190067,190067,
4.21392,um,Surface,1,1000190068,190068,
4.2953,um,Surface,1,1000190069,190069,
4.61622,um,Surface,1,1000190070,190070,
4.50631,um,Surface,1,1000190071,190071,
5.18032,um,Surface,1,1000190072,190072,
4.67954,um,Surface,1,1000190073,190073,
5.88413,um,Surface,1,1000190074,190074,
4.87551,um,Surface,1,1000190075,190075,
4.68518,um,Surface,1,1000190076,190076,
4.87323,um,Surface,1,1000190077,190077,
4.15527,um,Surface,1,1000190078,190078,
3.94147,um,Surface,1,1000190079,190079,
5.63305,um,Surface,1,1000190080,190080,
4.2726,um,Surface,1,1000190081,190081,
5.72425,um,Surface,1,1000190082,190082,
5.66406,um,Surface,1,1000190083,190083,
4.96022,um,Surface,1,1000190084,190084,
4.2992,um,Surface,1,1000190085,190085,
4.84886,um,Surface,1,1000190086,190086,
5.076,um,Surface,1,1000190087,190087,
5.11444,um,Surface,1,1000190088,190088,
4.75103,um,Surface,1,1000190089,190089,
4.31336,um,Surface,1,1000190090,190090,
5.77658,um,Surface,1,1000190091,190091,
5.21282,um,Surface,1,1000190092,190092,
5.02409,um,Surface,1,1000190093,190093,
6.54045,um,Surface,1,1000190094,190094,
4.7781,um,Surface,1,1000190095,190095,
3.71892,um,Surface,1,1000190096,190096,
5.50904,um,Surface,1,1000190097,190097,
4.10298,um,Surface,1,1000190098,190098,
5.07395,um,Surface,1,1000190099,190099,
5.29002,um,Surface,1,1000190100,190100,
4.07711,um,Surface,1,1000190101,190101,
5.58612,um,Surface,1,1000190102,190102,
4.74354,um,Surface,1,1000190103,190103,
4.40969,um,Surface,1,1000190104,190104,
3.97692,um,Surface,1,1000190105,190105,
4.19897,um,Surface,1,1000190106,190106,
5.27319,um,Surface,1,1000190107,190107,
4.89167,um,Surface,1,1000190108,190108,
5.0454,um,Surface,1,1000190109,190109,
5.1194,um,Surface,1,1000190110,190110,
5.47977,um,Surface,1,1000190111,190111,
5.47324,um,Surface,1,1000190112,190112,
4.18795,um,Surface,1,1000190113,190113,
4.31483,um,Surface,1,1000190114,190114,
5.08234,um,Surface,1,1000190115,190115,
3.36866,um,Surface,1,1000190116,190116,
5.35394,um,Surface,1,1000190117,190117,
4.26302,um,Surface,1,1000190118,190118,
5.51105,um,Surface,1,1000190119,190119,
4.87737,um,Surface,1,1000190120,190120,
5.64127,um,Surface,1,1000190121,190121,
6.08138,um,Surface,1,1000190122,190122,
4.81244,um,Surface,1,1000190123,190123,
4.18754,um,Surface,1,1000190124,190124,
3.18842,um,Surface,1,1000190125,190125,
5.47272,um,Surface,1,1000190126,190126,
4.26536,um,Surface,1,1000190127,190127,
4.58174,um,Surface,1,1000190128,190128,
4.24507,um,Surface,1,1000190129,190129,
4.94394,um,Surface,1,1000190130,190130,
4.28716,um,Surface,1,1000190131,190131,
4.28227,um,Surface,1,1000190132,190132,
5.6974,um,Surface,1,1000190133,190133,
4.07207,um,Surface,1,1000190134,190134,
5.46296,um,Surface,1,1000190135,190135,
5.89511,um,Surface,1,1000190136,190136,
4.24235,um,Surface,1,1000190137,190137,
4.25828,um,Surface,1,1000190138,190138,
4.20846,um,Surface,1,1000190139,190139,
3.50322,um,Surface,1,1000190140,190140,
5.64896,um,Surface,2,1000190005,190141,
4.27088,um,Surface,2,1000190006,190142,
4.29499,um,Surface,2,1000190008,190143,
5.675,um,Surface,2,1000190009,190144,
3.33068,um,Surface,2,1000190010,190145,
4.44833,um,Surface,2,1000190011,190146,
5.24744,um,Surface,2,1000190012,190147,
4.69126,um,Surface,2,1000190007,190148,
4.97976,um,Surface,2,1000190013,190149,
4.97206,um,Surface,2,1000190015,190150,
5.73804,um,Surface,2,1000190014,190151,
4.76139,um,Surface,2,1000190016,190152,
4.27472,um,Surface,2,1000190017,190153,
5.98726,um,Surface,2,1000190020,190154,
4.80176,um,Surface,2,1000190022,190155,
5.53531,um,Surface,2,1000190023,190156,
4.3101,um,Surface,2,1000190018,190157,
4.29535,um,Surface,2,1000190019,190158,
5.57758,um,Surface,2,1000190159,190159,
5.31215,um,Surface,2,1000190021,190160,
4.68627,um,Surface,2,1000190031,190161,
4.50628,um,Surface,2,1000190024,190162,
5.19211,um,Surface,2,1000190025,190163,
4.86715,um,Surface,2,1000190026,190164,
5.47905,um,Surface,2,1000190034,190165,
4.84638,um,Surface,2,1000190027,190166,
4.25765,um,Surface,2,1000190030,190167,
5.07616,um,Surface,2,1000190028,190168,
3.10182,um,Surface,2,1000190029,190169,
