
Ellipsoid Axis Length B
 ==================== 
Ellipsoid Axis Length B,Unit,Category,Time,TrackID,ID,
5.79609,um,Surface,1,1000190005,190005,
6.05438,um,Surface,1,1000190006,190006,
5.82213,um,Surface,1,1000190007,190007,
5.60516,um,Surface,1,1000190008,190008,
5.91343,um,Surface,1,1000190009,190009,
2.68983,um,Surface,1,1000190010,190010,
6.06593,um,Surface,1,1000190011,190011,
6.03821,um,Surface,1,1000190012,190012,
5.86499,um,Surface,1,1000190013,190013,
6.09387,um,Surface,1,1000190014,190014,
5.93246,um,Surface,1,1000190015,190015,
6.94249,um,Surface,1,1000190016,190016,
5.84524,um,Surface,1,1000190017,190017,
5.63828,um,Surface,1,1000190018,190018,
6.12551,um,Surface,1,1000190019,190019,
7.46783,um,Surface,1,1000190020,190020,
5.17752,um,Surface,1,1000190021,190021,
5.75545,um,Surface,1,1000190022,190022,
6.29666,um,Surface,1,1000190023,190023,
6.47789,um,Surface,1,1000190024,190024,
5.64185,um,Surface,1,1000190025,190025,
5.91127,um,Surface,1,1000190026,190026,
6.28488,um,Surface,1,1000190027,190027,
5.43186,um,Surface,1,1000190028,190028,
4.93981,um,Surface,1,1000190029,190029,
4.5232,um,Surface,1,1000190030,190030,
5.97536,um,Surface,1,1000190031,190031,
5.55968,um,Surface,1,1000190032,190032,
6.3169,um,Surface,1,1000190033,190033,
5.45282,um,Surface,1,1000190034,190034,
5.66313,um,Surface,1,1000190035,190035,
6.05802,um,Surface,1,1000190036,190036,
6.46584,um,Surface,1,1000190037,190037,
6.3522,um,Surface,1,1000190038,190038,
4.38244,um,Surface,1,1000190039,190039,
5.76098,um,Surface,1,1000190040,190040,
6.03267,um,Surface,1,1000190041,190041,
5.18453,um,Surface,1,1000190042,190042,
5.74618,um,Surface,1,1000190043,190043,
5.77409,um,Surface,1,1000190044,190044,
5.8522,um,Surface,1,1000190045,190045,
4.96739,um,Surface,1,1000190046,190046,
5.8586,um,Surface,1,1000190047,190047,
6.28697,um,Surface,1,1000190048,190048,
6.14856,um,Surface,1,1000190049,190049,
6.22563,um,Surface,1,1000190050,190050,
5.87031,um,Surface,1,1000190051,190051,
4.97695,um,Surface,1,1000190052,190052,
6.14907,um,Surface,1,1000190053,190053,
6.28053,um,Surface,1,1000190054,190054,
6.29941,um,Surface,1,1000190055,190055,
6.48766,um,Surface,1,1000190056,190056,
5.58423,um,Surface,1,1000190057,190057,
6.04667,um,Surface,1,1000190058,190058,
5.27052,um,Surface,1,1000190059,190059,
5.42852,um,Surface,1,1000190060,190060,
5.89909,um,Surface,1,1000190061,190061,
7.01385,um,Surface,1,1000190062,190062,
1.98032,um,Surface,1,1000190063,190063,
5.99331,um,Surface,1,1000190064,190064,
5.47652,um,Surface,1,1000190065,190065,
4.22702,um,Surface,1,1000190066,190066,
5.56108,um,Surface,1,1000190067,190067,
5.84229,um,Surface,1,1000190068,190068,
5.87344,um,Surface,1,1000190069,190069,
5.06995,um,Surface,1,1000190070,190070,
6.28433,um,Surface,1,1000190071,190071,
5.59947,um,Surface,1,1000190072,190072,
5.64735,um,Surface,1,1000190073,190073,
6.64629,um,Surface,1,1000190074,190074,
5.85546,um,Surface,1,1000190075,190075,
6.6465,um,Surface,1,1000190076,190076,
5.72833,um,Surface,1,1000190077,190077,
5.30092,um,Surface,1,1000190078,190078,
5.15665,um,Surface,1,1000190079,190079,
5.89028,um,Surface,1,1000190080,190080,
6.15873,um,Surface,1,1000190081,190081,
6.2378,um,Surface,1,1000190082,190082,
6.39585,um,Surface,1,1000190083,190083,
6.21393,um,Surface,1,1000190084,190084,
5.9504,um,Surface,1,1000190085,190085,
5.87204,um,Surface,1,1000190086,190086,
6.95013,um,Surface,1,1000190087,190087,
6.18602,um,Surface,1,1000190088,190088,
5.49649,um,Surface,1,1000190089,190089,
5.8894,um,Surface,1,1000190090,190090,
7.10754,um,Surface,1,1000190091,190091,
5.58146,um,Surface,1,1000190092,190092,
5.88015,um,Surface,1,1000190093,190093,
6.68235,um,Surface,1,1000190094,190094,
5.69681,um,Surface,1,1000190095,190095,
6.81366,um,Surface,1,1000190096,190096,
6.14497,um,Surface,1,1000190097,190097,
6.23805,um,Surface,1,1000190098,190098,
5.58467,um,Surface,1,1000190099,190099,
5.73344,um,Surface,1,1000190100,190100,
6.03835,um,Surface,1,1000190101,190101,
5.84457,um,Surface,1,1000190102,190102,
5.7755,um,Surface,1,1000190103,190103,
5.70226,um,Surface,1,1000190104,190104,
5.43352,um,Surface,1,1000190105,190105,
6.63653,um,Surface,1,1000190106,190106,
5.99526,um,Surface,1,1000190107,190107,
5.65246,um,Surface,1,1000190108,190108,
6.73912,um,Surface,1,1000190109,190109,
5.34386,um,Surface,1,1000190110,190110,
6.51192,um,Surface,1,1000190111,190111,
5.99245,um,Surface,1,1000190112,190112,
5.58165,um,Surface,1,1000190113,190113,
5.54259,um,Surface,1,1000190114,190114,
5.95017,um,Surface,1,1000190115,190115,
5.1635,um,Surface,1,1000190116,190116,
5.88496,um,Surface,1,1000190117,190117,
5.2383,um,Surface,1,1000190118,190118,
6.00027,um,Surface,1,1000190119,190119,
5.78287,um,Surface,1,1000190120,190120,
6.35063,um,Surface,1,1000190121,190121,
6.64304,um,Surface,1,1000190122,190122,
5.95839,um,Surface,1,1000190123,190123,
4.95684,um,Surface,1,1000190124,190124,
4.09455,um,Surface,1,1000190125,190125,
5.80818,um,Surface,1,1000190126,190126,
5.58615,um,Surface,1,1000190127,190127,
