"basename"	"name"	"organoid_line"	"tcell_line"	"exp_nr"	"well"	"unfiltered"	"filt_exp_duration"	"filt_minLength"	"filt_DeadCellStart"
"DemoDataset1_20190523_CD4blue"	"13T CD4_TEG 1 well1"	"13T"	"CD4_TEG"	1	"well1"	450	250	175	92
"DemoDataset1_20190523_CD8green"	"13T CD8_TEG 1 well1"	"13T"	"CD8_TEG"	1	"well1"	321	222	103	76
"DemoDataset2_20190523_CD4green"	"13T CD4_TEG 2 well2"	"13T"	"CD4_TEG"	2	"well2"	485	300	170	126
"DemoDataset2_20190523_CD8blue"	"13T CD8_TEG 2 well2"	"13T"	"CD8_TEG"	2	"well2"	648	346	214	88
"DemoDataset3_20190626_CD4blue"	"13T CD4_TEG 3 well1"	"13T"	"CD4_TEG"	3	"well1"	668	299	251	162
"DemoDataset3_20190626_CD8green"	"13T CD8_TEG 3 well1"	"13T"	"CD8_TEG"	3	"well1"	383	258	215	196
"DemoDataset4_20190626_CD4green"	"13T CD4_TEG 4 well2"	"13T"	"CD4_TEG"	4	"well2"	466	267	210	179
"DemoDataset4_20190626_CD8blue"	"13T CD8_TEG 4 well2"	"13T"	"CD8_TEG"	4	"well2"	1171	534	384	189
"DemoDataset5_20190627_CD4green"	"13T CD4_TEG 5 well1"	"13T"	"CD4_TEG"	5	"well1"	337	226	200	199
"DemoDataset5_20190627_CD8blue"	"13T CD8_TEG 5 well1"	"13T"	"CD8_TEG"	5	"well1"	1031	533	447	301
"DemoDataset6_20190627_CD4blue"	"13T CD4_TEG 6 well2"	"13T"	"CD4_TEG"	6	"well2"	561	287	236	176
"DemoDataset6_20190627_CD8green"	"13T CD8_TEG 6 well2"	"13T"	"CD8_TEG"	6	"well2"	410	276	232	221
