
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.435614,,Surface,1,54565,
0.260372,,Surface,1,54566,
0.323571,,Surface,1,54567,
0.800172,,Surface,1,54568,
0.224802,,Surface,1,54569,
0.208946,,Surface,1,54570,
0.213065,,Surface,1,54571,
0.26169,,Surface,1,54572,
0.249982,,Surface,1,54573,
0.194914,,Surface,1,54574,
0.181159,,Surface,1,54575,
0.281953,,Surface,1,54576,
0.243454,,Surface,1,54577,
0.262782,,Surface,1,54578,
0.355059,,Surface,1,54579,
0.354719,,Surface,1,54580,
0.368412,,Surface,1,54581,
0.310822,,Surface,1,54582,
0.434888,,Surface,1,54583,
0.23025,,Surface,1,54584,
0.418897,,Surface,1,54585,
0.327631,,Surface,1,54586,
0.447416,,Surface,1,54587,
0.359213,,Surface,1,54588,
0.260106,,Surface,1,54589,
0.556084,,Surface,1,54590,
0.301832,,Surface,1,54591,
0.292473,,Surface,1,54592,
0.37372,,Surface,1,54593,
0.305902,,Surface,1,54594,
0.240963,,Surface,1,54595,
0.28657,,Surface,1,54596,
0.232906,,Surface,1,54597,
0.417678,,Surface,1,54598,
0.381384,,Surface,1,54599,
0.360373,,Surface,1,54600,
0.810075,,Surface,1,54601,
0.238812,,Surface,1,54602,
0.242647,,Surface,1,54603,
0.649395,,Surface,1,54604,
0.432527,,Surface,1,54605,
0.225254,,Surface,1,54606,
0.33638,,Surface,2,54607,
0.286036,,Surface,2,54608,
0.410817,,Surface,2,54609,
0.333247,,Surface,2,54610,
0.251708,,Surface,2,54611,
0.283946,,Surface,2,54612,
0.213708,,Surface,2,54613,
0.310834,,Surface,2,54614,
0.210635,,Surface,2,54615,
0.230184,,Surface,2,54616,
0.25286,,Surface,2,54617,
0.276765,,Surface,2,54618,
0.230353,,Surface,2,54619,
0.294772,,Surface,2,54620,
0.35582,,Surface,2,54621,
0.367492,,Surface,2,54622,
0.265133,,Surface,2,54623,
0.347561,,Surface,2,54624,
0.413109,,Surface,2,54625,
0.317944,,Surface,2,54626,
0.218777,,Surface,2,54627,
0.413049,,Surface,2,54628,
0.305345,,Surface,2,54629,
0.576896,,Surface,2,54630,
0.345462,,Surface,2,54631,
0.342491,,Surface,2,54632,
0.264181,,Surface,2,54633,
0.230762,,Surface,2,54634,
0.283613,,Surface,2,54635,
0.304221,,Surface,2,54636,
0.231388,,Surface,2,54637,
0.400544,,Surface,2,54638,
0.247699,,Surface,2,54639,
0.51436,,Surface,2,54640,
0.757599,,Surface,2,54641,
0.253283,,Surface,2,54642,
0.21862,,Surface,2,54643,
0.442806,,Surface,2,54644,
0.219124,,Surface,2,54645,
0.385532,,Surface,3,54646,
0.274586,,Surface,3,54647,
0.787107,,Surface,3,54648,
0.32768,,Surface,3,54649,
0.402787,,Surface,3,54650,
0.179463,,Surface,3,54651,
0.263938,,Surface,3,54652,
0.232694,,Surface,3,54653,
0.204014,,Surface,3,54654,
0.315178,,Surface,3,54655,
0.220071,,Surface,3,54656,
0.233703,,Surface,3,54657,
0.248236,,Surface,3,54658,
0.211297,,Surface,3,54659,
0.377408,,Surface,3,54660,
0.364398,,Surface,3,54661,
0.358145,,Surface,3,54662,
0.437738,,Surface,3,54663,
0.426404,,Surface,3,54664,
0.394939,,Surface,3,54665,
0.353367,,Surface,3,54666,
0.347511,,Surface,3,54667,
0.299446,,Surface,3,54668,
0.525295,,Surface,3,54669,
0.260528,,Surface,3,54670,
