
Intensity Mean Ch=3 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
100.654,,Surface,3,Image 1,1,54565,
98.3483,,Surface,3,Image 1,1,54566,
113.388,,Surface,3,Image 1,1,54567,
82.7364,,Surface,3,Image 1,1,54568,
107.56,,Surface,3,Image 1,1,54569,
126.928,,Surface,3,Image 1,1,54570,
92.8742,,Surface,3,Image 1,1,54571,
143.296,,Surface,3,Image 1,1,54572,
105.259,,Surface,3,Image 1,1,54573,
115.051,,Surface,3,Image 1,1,54574,
84.6776,,Surface,3,Image 1,1,54575,
141.923,,Surface,3,Image 1,1,54576,
93.8454,,Surface,3,Image 1,1,54577,
121.538,,Surface,3,Image 1,1,54578,
118.221,,Surface,3,Image 1,1,54579,
137.503,,Surface,3,Image 1,1,54580,
109.039,,Surface,3,Image 1,1,54581,
111.89,,Surface,3,Image 1,1,54582,
94.4245,,Surface,3,Image 1,1,54583,
120.884,,Surface,3,Image 1,1,54584,
103.519,,Surface,3,Image 1,1,54585,
103.133,,Surface,3,Image 1,1,54586,
113.737,,Surface,3,Image 1,1,54587,
112.861,,Surface,3,Image 1,1,54588,
131.958,,Surface,3,Image 1,1,54589,
118.013,,Surface,3,Image 1,1,54590,
116.632,,Surface,3,Image 1,1,54591,
99.3455,,Surface,3,Image 1,1,54592,
102.649,,Surface,3,Image 1,1,54593,
105.029,,Surface,3,Image 1,1,54594,
137.614,,Surface,3,Image 1,1,54595,
94.8049,,Surface,3,Image 1,1,54596,
100.084,,Surface,3,Image 1,1,54597,
110.382,,Surface,3,Image 1,1,54598,
124.015,,Surface,3,Image 1,1,54599,
107.702,,Surface,3,Image 1,1,54600,
109.365,,Surface,3,Image 1,1,54601,
127.566,,Surface,3,Image 1,1,54602,
96.4652,,Surface,3,Image 1,1,54603,
0.550388,,Surface,3,Image 1,1,54604,
103.538,,Surface,3,Image 1,1,54605,
119.253,,Surface,3,Image 1,1,54606,
112.482,,Surface,3,Image 1,2,54607,
99.437,,Surface,3,Image 1,2,54608,
100.101,,Surface,3,Image 1,2,54609,
113.212,,Surface,3,Image 1,2,54610,
120.208,,Surface,3,Image 1,2,54611,
105.213,,Surface,3,Image 1,2,54612,
94.373,,Surface,3,Image 1,2,54613,
111.957,,Surface,3,Image 1,2,54614,
83.4576,,Surface,3,Image 1,2,54615,
144.927,,Surface,3,Image 1,2,54616,
94.5611,,Surface,3,Image 1,2,54617,
140.471,,Surface,3,Image 1,2,54618,
119.367,,Surface,3,Image 1,2,54619,
119.839,,Surface,3,Image 1,2,54620,
107.202,,Surface,3,Image 1,2,54621,
136.138,,Surface,3,Image 1,2,54622,
123.533,,Surface,3,Image 1,2,54623,
109.093,,Surface,3,Image 1,2,54624,
106.344,,Surface,3,Image 1,2,54625,
104.049,,Surface,3,Image 1,2,54626,
133.914,,Surface,3,Image 1,2,54627,
115.474,,Surface,3,Image 1,2,54628,
116.949,,Surface,3,Image 1,2,54629,
115.524,,Surface,3,Image 1,2,54630,
100.13,,Surface,3,Image 1,2,54631,
119.861,,Surface,3,Image 1,2,54632,
108.592,,Surface,3,Image 1,2,54633,
107.664,,Surface,3,Image 1,2,54634,
136.186,,Surface,3,Image 1,2,54635,
96.1663,,Surface,3,Image 1,2,54636,
100.754,,Surface,3,Image 1,2,54637,
111.757,,Surface,3,Image 1,2,54638,
127.626,,Surface,3,Image 1,2,54639,
110.792,,Surface,3,Image 1,2,54640,
103.778,,Surface,3,Image 1,2,54641,
131.323,,Surface,3,Image 1,2,54642,
96.745,,Surface,3,Image 1,2,54643,
103.425,,Surface,3,Image 1,2,54644,
119.414,,Surface,3,Image 1,2,54645,
100.104,,Surface,3,Image 1,3,54646,
100.113,,Surface,3,Image 1,3,54647,
79.6115,,Surface,3,Image 1,3,54648,
112.609,,Surface,3,Image 1,3,54649,
115.181,,Surface,3,Image 1,3,54650,
128.848,,Surface,3,Image 1,3,54651,
106.398,,Surface,3,Image 1,3,54652,
93.8855,,Surface,3,Image 1,3,54653,
84.3562,,Surface,3,Image 1,3,54654,
143.452,,Surface,3,Image 1,3,54655,
95.2197,,Surface,3,Image 1,3,54656,
113.17,,Surface,3,Image 1,3,54657,
138.756,,Surface,3,Image 1,3,54658,
120.911,,Surface,3,Image 1,3,54659,
121.11,,Surface,3,Image 1,3,54660,
136.711,,Surface,3,Image 1,3,54661,
110.007,,Surface,3,Image 1,3,54662,
133.371,,Surface,3,Image 1,3,54663,
83.9143,,Surface,3,Image 1,3,54664,
107.502,,Surface,3,Image 1,3,54665,
108.471,,Surface,3,Image 1,3,54666,
103.842,,Surface,3,Image 1,3,54667,
113.6,,Surface,3,Image 1,3,54668,
115.359,,Surface,3,Image 1,3,54669,
130.38,,Surface,3,Image 1,3,54670,
112.344,,Surface,3,Image 1,3,54671,
100.939,,Surface,3,Image 1,3,54672,
112.451,,Surface,3,Image 1,3,54673,
133.904,,Surface,3,Image 1,3,54674,
97.2379,,Surface,3,Image 1,3,54675,
105.07,,Surface,3,Image 1,3,54676,
104.179,,Surface,3,Image 1,3,54677,
98.696,,Surface,3,Image 1,3,54678,
114.957,,Surface,3,Image 1,3,54679,
123.185,,Surface,3,Image 1,3,54680,
108.604,,Surface,3,Image 1,3,54681,
112.211,,Surface,3,Image 1,3,54682,
0.806202,,Surface,3,Image 1,3,54683,
132.934,,Surface,3,Image 1,3,54684,
96.099,,Surface,3,Image 1,3,54685,
103.412,,Surface,3,Image 1,3,54686,
121.311,,Surface,3,Image 1,3,54687,
97.4107,,Surface,3,Image 1,4,54688,
98.962,,Surface,3,Image 1,4,54689,
113.286,,Surface,3,Image 1,4,54690,
116.074,,Surface,3,Image 1,4,54691,
126.231,,Surface,3,Image 1,4,54692,
105.586,,Surface,3,Image 1,4,54693,
94.7326,,Surface,3,Image 1,4,54694,
83.7539,,Surface,3,Image 1,4,54695,
147.186,,Surface,3,Image 1,4,54696,
110.234,,Surface,3,Image 1,4,54697,
138.575,,Surface,3,Image 1,4,54698,
94.9336,,Surface,3,Image 1,4,54699,
123.527,,Surface,3,Image 1,4,54700,
117.709,,Surface,3,Image 1,4,54701,
111.466,,Surface,3,Image 1,4,54702,
135.588,,Surface,3,Image 1,4,54703,
110.6,,Surface,3,Image 1,4,54704,
125.033,,Surface,3,Image 1,4,54705,
105.592,,Surface,3,Image 1,4,54706,
105.461,,Surface,3,Image 1,4,54707,
116.144,,Surface,3,Image 1,4,54708,
132.454,,Surface,3,Image 1,4,54709,
116.114,,Surface,3,Image 1,4,54710,
118.437,,Surface,3,Image 1,4,54711,
113.332,,Surface,3,Image 1,4,54712,
137.475,,Surface,3,Image 1,4,54713,
103.046,,Surface,3,Image 1,4,54714,
111.037,,Surface,3,Image 1,4,54715,
106.651,,Surface,3,Image 1,4,54716,
99.729,,Surface,3,Image 1,4,54717,
98.6473,,Surface,3,Image 1,4,54718,
111.739,,Surface,3,Image 1,4,54719,
114.625,,Surface,3,Image 1,4,54720,
108.432,,Surface,3,Image 1,4,54721,
113.651,,Surface,3,Image 1,4,54722,
1.1129,,Surface,3,Image 1,4,54723,
130.641,,Surface,3,Image 1,4,54724,
120.278,,Surface,3,Image 1,4,54725,
98.8004,,Surface,3,Image 1,4,54726,
106.706,,Surface,3,Image 1,4,54727,
97.9295,,Surface,3,Image 1,5,54728,
102.968,,Surface,3,Image 1,5,54729,
110.586,,Surface,3,Image 1,5,54730,
112.333,,Surface,3,Image 1,5,54731,
124.592,,Surface,3,Image 1,5,54732,
97.4385,,Surface,3,Image 1,5,54733,
146.007,,Surface,3,Image 1,5,54734,
105.891,,Surface,3,Image 1,5,54735,
110.956,,Surface,3,Image 1,5,54736,
84.0732,,Surface,3,Image 1,5,54737,
137.552,,Surface,3,Image 1,5,54738,
94.6499,,Surface,3,Image 1,5,54739,
123.442,,Surface,3,Image 1,5,54740,
115.291,,Surface,3,Image 1,5,54741,
135.269,,Surface,3,Image 1,5,54742,
116.115,,Surface,3,Image 1,5,54743,
110.149,,Surface,3,Image 1,5,54744,
107.526,,Surface,3,Image 1,5,54745,
94.1029,,Surface,3,Image 1,5,54746,
102.651,,Surface,3,Image 1,5,54747,
105.842,,Surface,3,Image 1,5,54748,
123.334,,Surface,3,Image 1,5,54749,
131.799,,Surface,3,Image 1,5,54750,
116.168,,Surface,3,Image 1,5,54751,
116.441,,Surface,3,Image 1,5,54752,
114.109,,Surface,3,Image 1,5,54753,
105.076,,Surface,3,Image 1,5,54754,
140.373,,Surface,3,Image 1,5,54755,
109.725,,Surface,3,Image 1,5,54756,
115.419,,Surface,3,Image 1,5,54757,
98.2852,,Surface,3,Image 1,5,54758,
99.046,,Surface,3,Image 1,5,54759,
115.62,,Surface,3,Image 1,5,54760,
123.661,,Surface,3,Image 1,5,54761,
110.162,,Surface,3,Image 1,5,54762,
130.231,,Surface,3,Image 1,5,54763,
114.736,,Surface,3,Image 1,5,54764,
98.5555,,Surface,3,Image 1,5,54765,
107,,Surface,3,Image 1,5,54766,
118.853,,Surface,3,Image 1,5,54767,
107.173,,Surface,3,Image 1,6,54768,
96.7094,,Surface,3,Image 1,6,54769,
122.996,,Surface,3,Image 1,6,54770,
121.008,,Surface,3,Image 1,6,54771,
110.758,,Surface,3,Image 1,6,54772,
98.033,,Surface,3,Image 1,6,54773,
102.114,,Surface,3,Image 1,6,54774,
147.367,,Surface,3,Image 1,6,54775,
109.977,,Surface,3,Image 1,6,54776,
84.2075,,Surface,3,Image 1,6,54777,
140.729,,Surface,3,Image 1,6,54778,
97.5956,,Surface,3,Image 1,6,54779,
124.837,,Surface,3,Image 1,6,54780,
118.51,,Surface,3,Image 1,6,54781,
111.258,,Surface,3,Image 1,6,54782,
135.976,,Surface,3,Image 1,6,54783,
110.271,,Surface,3,Image 1,6,54784,
121.642,,Surface,3,Image 1,6,54785,
81.3196,,Surface,3,Image 1,6,54786,
104.994,,Surface,3,Image 1,6,54787,
107.902,,Surface,3,Image 1,6,54788,
114.553,,Surface,3,Image 1,6,54789,
117.213,,Surface,3,Image 1,6,54790,
133.367,,Surface,3,Image 1,6,54791,
113.389,,Surface,3,Image 1,6,54792,
114.512,,Surface,3,Image 1,6,54793,
101.431,,Surface,3,Image 1,6,54794,
117.591,,Surface,3,Image 1,6,54795,
101.447,,Surface,3,Image 1,6,54796,
137.623,,Surface,3,Image 1,6,54797,
98.2803,,Surface,3,Image 1,6,54798,
109.574,,Surface,3,Image 1,6,54799,
99.0067,,Surface,3,Image 1,6,54800,
118.287,,Surface,3,Image 1,6,54801,
109.115,,Surface,3,Image 1,6,54802,
109.578,,Surface,3,Image 1,6,54803,
129.603,,Surface,3,Image 1,6,54804,
96.3241,,Surface,3,Image 1,6,54805,
0.708333,,Surface,3,Image 1,6,54806,
117.843,,Surface,3,Image 1,6,54807,
106.769,,Surface,3,Image 1,6,54808,
99.6435,,Surface,3,Image 1,7,54809,
102.941,,Surface,3,Image 1,7,54810,
111.295,,Surface,3,Image 1,7,54811,
118.977,,Surface,3,Image 1,7,54812,
123.165,,Surface,3,Image 1,7,54813,
95.1842,,Surface,3,Image 1,7,54814,
148.499,,Surface,3,Image 1,7,54815,
109.912,,Surface,3,Image 1,7,54816,
111.101,,Surface,3,Image 1,7,54817,
84.7646,,Surface,3,Image 1,7,54818,
141.962,,Surface,3,Image 1,7,54819,
97.4146,,Surface,3,Image 1,7,54820,
122.114,,Surface,3,Image 1,7,54821,
120.434,,Surface,3,Image 1,7,54822,
136.034,,Surface,3,Image 1,7,54823,
109.664,,Surface,3,Image 1,7,54824,
113.981,,Surface,3,Image 1,7,54825,
119.932,,Surface,3,Image 1,7,54826,
83.6314,,Surface,3,Image 1,7,54827,
107.863,,Surface,3,Image 1,7,54828,
115.717,,Surface,3,Image 1,7,54829,
107.91,,Surface,3,Image 1,7,54830,
116.672,,Surface,3,Image 1,7,54831,
134.409,,Surface,3,Image 1,7,54832,
117.639,,Surface,3,Image 1,7,54833,
105.514,,Surface,3,Image 1,7,54834,
117.86,,Surface,3,Image 1,7,54835,
118.77,,Surface,3,Image 1,7,54836,
135.301,,Surface,3,Image 1,7,54837,
98.6355,,Surface,3,Image 1,7,54838,
102.506,,Surface,3,Image 1,7,54839,
111.951,,Surface,3,Image 1,7,54840,
99.8501,,Surface,3,Image 1,7,54841,
108.428,,Surface,3,Image 1,7,54842,
112.329,,Surface,3,Image 1,7,54843,
131.094,,Surface,3,Image 1,7,54844,
114.622,,Surface,3,Image 1,7,54845,
0.406504,,Surface,3,Image 1,7,54846,
120.83,,Surface,3,Image 1,7,54847,
98.3919,,Surface,3,Image 1,7,54848,
110.626,,Surface,3,Image 1,7,54849,
113.568,,Surface,3,Image 1,8,54850,
84.4432,,Surface,3,Image 1,8,54851,
149.576,,Surface,3,Image 1,8,54852,
111.841,,Surface,3,Image 1,8,54853,
96.2498,,Surface,3,Image 1,8,54854,
127.651,,Surface,3,Image 1,8,54855,
127.32,,Surface,3,Image 1,8,54856,
114.122,,Surface,3,Image 1,8,54857,
100.248,,Surface,3,Image 1,8,54858,
100.692,,Surface,3,Image 1,8,54859,
137.347,,Surface,3,Image 1,8,54860,
99.763,,Surface,3,Image 1,8,54861,
120.869,,Surface,3,Image 1,8,54862,
121.349,,Surface,3,Image 1,8,54863,
135.398,,Surface,3,Image 1,8,54864,
117.267,,Surface,3,Image 1,8,54865,
109.631,,Surface,3,Image 1,8,54866,
87.0787,,Surface,3,Image 1,8,54867,
115.738,,Surface,3,Image 1,8,54868,
110.391,,Surface,3,Image 1,8,54869,
108.435,,Surface,3,Image 1,8,54870,
114.862,,Surface,3,Image 1,8,54871,
116.963,,Surface,3,Image 1,8,54872,
130.215,,Surface,3,Image 1,8,54873,
115.988,,Surface,3,Image 1,8,54874,
116.356,,Surface,3,Image 1,8,54875,
101.771,,Surface,3,Image 1,8,54876,
112.384,,Surface,3,Image 1,8,54877,
132.722,,Surface,3,Image 1,8,54878,
99.4838,,Surface,3,Image 1,8,54879,
100.079,,Surface,3,Image 1,8,54880,
101.963,,Surface,3,Image 1,8,54881,
114.378,,Surface,3,Image 1,8,54882,
116.206,,Surface,3,Image 1,8,54883,
111.331,,Surface,3,Image 1,8,54884,
109.969,,Surface,3,Image 1,8,54885,
131.016,,Surface,3,Image 1,8,54886,
0.666667,,Surface,3,Image 1,8,54887,
97.8969,,Surface,3,Image 1,8,54888,
108.944,,Surface,3,Image 1,8,54889,
124.34,,Surface,3,Image 1,8,54890,
100.259,,Surface,3,Image 1,9,54891,
101.021,,Surface,3,Image 1,9,54892,
112.998,,Surface,3,Image 1,9,54893,
125.528,,Surface,3,Image 1,9,54894,
127.528,,Surface,3,Image 1,9,54895,
95.307,,Surface,3,Image 1,9,54896,
155.013,,Surface,3,Image 1,9,54897,
111.572,,Surface,3,Image 1,9,54898,
113.88,,Surface,3,Image 1,9,54899,
85.6738,,Surface,3,Image 1,9,54900,
138.93,,Surface,3,Image 1,9,54901,
98.8092,,Surface,3,Image 1,9,54902,
121.065,,Surface,3,Image 1,9,54903,
117.159,,Surface,3,Image 1,9,54904,
107.789,,Surface,3,Image 1,9,54905,
141.073,,Surface,3,Image 1,9,54906,
118.341,,Surface,3,Image 1,9,54907,
113.464,,Surface,3,Image 1,9,54908,
81.6441,,Surface,3,Image 1,9,54909,
106.498,,Surface,3,Image 1,9,54910,
107.267,,Surface,3,Image 1,9,54911,
130.395,,Surface,3,Image 1,9,54912,
110.926,,Surface,3,Image 1,9,54913,
115.759,,Surface,3,Image 1,9,54914,
113.548,,Surface,3,Image 1,9,54915,
107.449,,Surface,3,Image 1,9,54916,
115.555,,Surface,3,Image 1,9,54917,
133.349,,Surface,3,Image 1,9,54918,
113.042,,Surface,3,Image 1,9,54919,
100.662,,Surface,3,Image 1,9,54920,
100.981,,Surface,3,Image 1,9,54921,
100.672,,Surface,3,Image 1,9,54922,
117.382,,Surface,3,Image 1,9,54923,
126.646,,Surface,3,Image 1,9,54924,
108.84,,Surface,3,Image 1,9,54925,
126.85,,Surface,3,Image 1,9,54926,
131.22,,Surface,3,Image 1,9,54927,
0.879032,,Surface,3,Image 1,9,54928,
97.6486,,Surface,3,Image 1,9,54929,
107.147,,Surface,3,Image 1,9,54930,
116.107,,Surface,3,Image 1,9,54931,
95.7613,,Surface,3,Image 1,10,54932,
101.406,,Surface,3,Image 1,10,54933,
112.561,,Surface,3,Image 1,10,54934,
126.144,,Surface,3,Image 1,10,54935,
128.974,,Surface,3,Image 1,10,54936,
113.256,,Surface,3,Image 1,10,54937,
94.9452,,Surface,3,Image 1,10,54938,
85.0662,,Surface,3,Image 1,10,54939,
149.704,,Surface,3,Image 1,10,54940,
98.9464,,Surface,3,Image 1,10,54941,
110.928,,Surface,3,Image 1,10,54942,
136.272,,Surface,3,Image 1,10,54943,
128.819,,Surface,3,Image 1,10,54944,
120.63,,Surface,3,Image 1,10,54945,
143.871,,Surface,3,Image 1,10,54946,
110.047,,Surface,3,Image 1,10,54947,
109.579,,Surface,3,Image 1,10,54948,
81.6923,,Surface,3,Image 1,10,54949,
110.465,,Surface,3,Image 1,10,54950,
109.562,,Surface,3,Image 1,10,54951,
91.0604,,Surface,3,Image 1,10,54952,
130.567,,Surface,3,Image 1,10,54953,
118.828,,Surface,3,Image 1,10,54954,
116.536,,Surface,3,Image 1,10,54955,
132.272,,Surface,3,Image 1,10,54956,
103.682,,Surface,3,Image 1,10,54957,
112.891,,Surface,3,Image 1,10,54958,
135.026,,Surface,3,Image 1,10,54959,
122.298,,Surface,3,Image 1,10,54960,
98.5149,,Surface,3,Image 1,10,54961,
101.144,,Surface,3,Image 1,10,54962,
115.395,,Surface,3,Image 1,10,54963,
97.5744,,Surface,3,Image 1,10,54964,
117.845,,Surface,3,Image 1,10,54965,
114.188,,Surface,3,Image 1,10,54966,
127.878,,Surface,3,Image 1,10,54967,
128.818,,Surface,3,Image 1,10,54968,
98.6761,,Surface,3,Image 1,10,54969,
105.819,,Surface,3,Image 1,10,54970,
117.234,,Surface,3,Image 1,10,54971,
99.6702,,Surface,3,Image 1,11,54972,
97.6478,,Surface,3,Image 1,11,54973,
113.103,,Surface,3,Image 1,11,54974,
129.887,,Surface,3,Image 1,11,54975,
130.551,,Surface,3,Image 1,11,54976,
108.538,,Surface,3,Image 1,11,54977,
94.9876,,Surface,3,Image 1,11,54978,
84.9882,,Surface,3,Image 1,11,54979,
153.562,,Surface,3,Image 1,11,54980,
98.4463,,Surface,3,Image 1,11,54981,
109.495,,Surface,3,Image 1,11,54982,
136.815,,Surface,3,Image 1,11,54983,
124.098,,Surface,3,Image 1,11,54984,
119.209,,Surface,3,Image 1,11,54985,
139.752,,Surface,3,Image 1,11,54986,
106.771,,Surface,3,Image 1,11,54987,
104.633,,Surface,3,Image 1,11,54988,
110.506,,Surface,3,Image 1,11,54989,
79.6419,,Surface,3,Image 1,11,54990,
110.567,,Surface,3,Image 1,11,54991,
109.445,,Surface,3,Image 1,11,54992,
113.324,,Surface,3,Image 1,11,54993,
130.847,,Surface,3,Image 1,11,54994,
119.276,,Surface,3,Image 1,11,54995,
104.326,,Surface,3,Image 1,11,54996,
113.462,,Surface,3,Image 1,11,54997,
115.93,,Surface,3,Image 1,11,54998,
98.293,,Surface,3,Image 1,11,54999,
113.439,,Surface,3,Image 1,11,55000,
116.427,,Surface,3,Image 1,11,55001,
99.111,,Surface,3,Image 1,11,55002,
123.644,,Surface,3,Image 1,11,55003,
113.804,,Surface,3,Image 1,11,55004,
127.245,,Surface,3,Image 1,11,55005,
121.69,,Surface,3,Image 1,11,55006,
100.101,,Surface,3,Image 1,11,55007,
0.566667,,Surface,3,Image 1,11,55008,
105.537,,Surface,3,Image 1,11,55009,
118.851,,Surface,3,Image 1,11,55010,
94.9787,,Surface,3,Image 1,12,55011,
100.554,,Surface,3,Image 1,12,55012,
111.057,,Surface,3,Image 1,12,55013,
128.605,,Surface,3,Image 1,12,55014,
126.81,,Surface,3,Image 1,12,55015,
106.43,,Surface,3,Image 1,12,55016,
93.8483,,Surface,3,Image 1,12,55017,
85.5801,,Surface,3,Image 1,12,55018,
153.789,,Surface,3,Image 1,12,55019,
98.0144,,Surface,3,Image 1,12,55020,
108.135,,Surface,3,Image 1,12,55021,
136.953,,Surface,3,Image 1,12,55022,
123.096,,Surface,3,Image 1,12,55023,
121.236,,Surface,3,Image 1,12,55024,
136.988,,Surface,3,Image 1,12,55025,
110.488,,Surface,3,Image 1,12,55026,
80.3734,,Surface,3,Image 1,12,55027,
110.809,,Surface,3,Image 1,12,55028,
107.872,,Surface,3,Image 1,12,55029,
109.485,,Surface,3,Image 1,12,55030,
110.953,,Surface,3,Image 1,12,55031,
118.729,,Surface,3,Image 1,12,55032,
131.04,,Surface,3,Image 1,12,55033,
114.345,,Surface,3,Image 1,12,55034,
111.707,,Surface,3,Image 1,12,55035,
108.552,,Surface,3,Image 1,12,55036,
113.621,,Surface,3,Image 1,12,55037,
97.5741,,Surface,3,Image 1,12,55038,
109.443,,Surface,3,Image 1,12,55039,
100.825,,Surface,3,Image 1,12,55040,
120.299,,Surface,3,Image 1,12,55041,
110.453,,Surface,3,Image 1,12,55042,
106.82,,Surface,3,Image 1,12,55043,
107.221,,Surface,3,Image 1,12,55044,
130.319,,Surface,3,Image 1,12,55045,
101.779,,Surface,3,Image 1,12,55046,
106.41,,Surface,3,Image 1,12,55047,
120.564,,Surface,3,Image 1,12,55048,
138.142,,Surface,3,Image 1,13,55049,
98.0163,,Surface,3,Image 1,13,55050,
111.8,,Surface,3,Image 1,13,55051,
