
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
31,,Surface,3,Image 1,1,54565,
33,,Surface,3,Image 1,1,54566,
23,,Surface,3,Image 1,1,54567,
38,,Surface,3,Image 1,1,54568,
34,,Surface,3,Image 1,1,54569,
32,,Surface,3,Image 1,1,54570,
27,,Surface,3,Image 1,1,54571,
35,,Surface,3,Image 1,1,54572,
32,,Surface,3,Image 1,1,54573,
28,,Surface,3,Image 1,1,54574,
28,,Surface,3,Image 1,1,54575,
36,,Surface,3,Image 1,1,54576,
21,,Surface,3,Image 1,1,54577,
29,,Surface,3,Image 1,1,54578,
36,,Surface,3,Image 1,1,54579,
28,,Surface,3,Image 1,1,54580,
32,,Surface,3,Image 1,1,54581,
34,,Surface,3,Image 1,1,54582,
42,,Surface,3,Image 1,1,54583,
32,,Surface,3,Image 1,1,54584,
0,,Surface,3,Image 1,1,54585,
25,,Surface,3,Image 1,1,54586,
5,,Surface,3,Image 1,1,54587,
31,,Surface,3,Image 1,1,54588,
31,,Surface,3,Image 1,1,54589,
28,,Surface,3,Image 1,1,54590,
26,,Surface,3,Image 1,1,54591,
37,,Surface,3,Image 1,1,54592,
0,,Surface,3,Image 1,1,54593,
0,,Surface,3,Image 1,1,54594,
34,,Surface,3,Image 1,1,54595,
27,,Surface,3,Image 1,1,54596,
26,,Surface,3,Image 1,1,54597,
36,,Surface,3,Image 1,1,54598,
29,,Surface,3,Image 1,1,54599,
34,,Surface,3,Image 1,1,54600,
38,,Surface,3,Image 1,1,54601,
31,,Surface,3,Image 1,1,54602,
0,,Surface,3,Image 1,1,54603,
0,,Surface,3,Image 1,1,54604,
0,,Surface,3,Image 1,1,54605,
31,,Surface,3,Image 1,1,54606,
30,,Surface,3,Image 1,2,54607,
32,,Surface,3,Image 1,2,54608,
34,,Surface,3,Image 1,2,54609,
35,,Surface,3,Image 1,2,54610,
28,,Surface,3,Image 1,2,54611,
27,,Surface,3,Image 1,2,54612,
31,,Surface,3,Image 1,2,54613,
28,,Surface,3,Image 1,2,54614,
29,,Surface,3,Image 1,2,54615,
30,,Surface,3,Image 1,2,54616,
28,,Surface,3,Image 1,2,54617,
31,,Surface,3,Image 1,2,54618,
29,,Surface,3,Image 1,2,54619,
34,,Surface,3,Image 1,2,54620,
33,,Surface,3,Image 1,2,54621,
33,,Surface,3,Image 1,2,54622,
35,,Surface,3,Image 1,2,54623,
31,,Surface,3,Image 1,2,54624,
0,,Surface,3,Image 1,2,54625,
31,,Surface,3,Image 1,2,54626,
27,,Surface,3,Image 1,2,54627,
30,,Surface,3,Image 1,2,54628,
28,,Surface,3,Image 1,2,54629,
32,,Surface,3,Image 1,2,54630,
0,,Surface,3,Image 1,2,54631,
25,,Surface,3,Image 1,2,54632,
0,,Surface,3,Image 1,2,54633,
36,,Surface,3,Image 1,2,54634,
32,,Surface,3,Image 1,2,54635,
