
Intensity Sum Ch=3 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
88978,,Surface,3,Image 1,1,54565,
216858,,Surface,3,Image 1,1,54566,
337669,,Surface,3,Image 1,1,54567,
10673,,Surface,3,Image 1,1,54568,
27643,,Surface,3,Image 1,1,54569,
99004,,Surface,3,Image 1,1,54570,
214075,,Surface,3,Image 1,1,54571,
87984,,Surface,3,Image 1,1,54572,
184519,,Surface,3,Image 1,1,54573,
208012,,Surface,3,Image 1,1,54574,
249545,,Surface,3,Image 1,1,54575,
126595,,Surface,3,Image 1,1,54576,
221569,,Surface,3,Image 1,1,54577,
123604,,Surface,3,Image 1,1,54578,
58756,,Surface,3,Image 1,1,54579,
79339,,Surface,3,Image 1,1,54580,
178715,,Surface,3,Image 1,1,54581,
205095,,Surface,3,Image 1,1,54582,
13125,,Surface,3,Image 1,1,54583,
18737,,Surface,3,Image 1,1,54584,
119978,,Surface,3,Image 1,1,54585,
120150,,Surface,3,Image 1,1,54586,
142854,,Surface,3,Image 1,1,54587,
28441,,Surface,3,Image 1,1,54588,
202555,,Surface,3,Image 1,1,54589,
171945,,Surface,3,Image 1,1,54590,
219151,,Surface,3,Image 1,1,54591,
70734,,Surface,3,Image 1,1,54592,
78629,,Surface,3,Image 1,1,54593,
156598,,Surface,3,Image 1,1,54594,
86697,,Surface,3,Image 1,1,54595,
151593,,Surface,3,Image 1,1,54596,
448478,,Surface,3,Image 1,1,54597,
129037,,Surface,3,Image 1,1,54598,
25547,,Surface,3,Image 1,1,54599,
97470,,Surface,3,Image 1,1,54600,
18264,,Surface,3,Image 1,1,54601,
108941,,Surface,3,Image 1,1,54602,
202577,,Surface,3,Image 1,1,54603,
71,,Surface,3,Image 1,1,54604,
235135,,Surface,3,Image 1,1,54605,
160514,,Surface,3,Image 1,1,54606,
336884,,Surface,3,Image 1,2,54607,
217767,,Surface,3,Image 1,2,54608,
82383,,Surface,3,Image 1,2,54609,
29888,,Surface,3,Image 1,2,54610,
90156,,Surface,3,Image 1,2,54611,
180125,,Surface,3,Image 1,2,54612,
216303,,Surface,3,Image 1,2,54613,
185849,,Surface,3,Image 1,2,54614,
253127,,Surface,3,Image 1,2,54615,
89710,,Surface,3,Image 1,2,54616,
232242,,Surface,3,Image 1,2,54617,
136819,,Surface,3,Image 1,2,54618,
117218,,Surface,3,Image 1,2,54619,
55725,,Surface,3,Image 1,2,54620,
185888,,Surface,3,Image 1,2,54621,
75829,,Surface,3,Image 1,2,54622,
16677,,Surface,3,Image 1,2,54623,
193968,,Surface,3,Image 1,2,54624,
127826,,Surface,3,Image 1,2,54625,
118720,,Surface,3,Image 1,2,54626,
205157,,Surface,3,Image 1,2,54627,
148615,,Surface,3,Image 1,2,54628,
31927,,Surface,3,Image 1,2,54629,
170051,,Surface,3,Image 1,2,54630,
75298,,Surface,3,Image 1,2,54631,
223421,,Surface,3,Image 1,2,54632,
164083,,Surface,3,Image 1,2,54633,
74396,,Surface,3,Image 1,2,54634,
84027,,Surface,3,Image 1,2,54635,
146269,,Surface,3,Image 1,2,54636,
450469,,Surface,3,Image 1,2,54637,
134108,,Surface,3,Image 1,2,54638,
25270,,Surface,3,Image 1,2,54639,
94506,,Surface,3,Image 1,2,54640,
19614,,Surface,3,Image 1,2,54641,
108604,,Surface,3,Image 1,2,54642,
195038,,Surface,3,Image 1,2,54643,
226191,,Surface,3,Image 1,2,54644,
162164,,Surface,3,Image 1,2,54645,
83086,,Surface,3,Image 1,3,54646,
217245,,Surface,3,Image 1,3,54647,
11066,,Surface,3,Image 1,3,54648,
339629,,Surface,3,Image 1,3,54649,
29832,,Surface,3,Image 1,3,54650,
100115,,Surface,3,Image 1,3,54651,
179387,,Surface,3,Image 1,3,54652,
217345,,Surface,3,Image 1,3,54653,
247501,,Surface,3,Image 1,3,54654,
86358,,Surface,3,Image 1,3,54655,
223195,,Surface,3,Image 1,3,54656,
203479,,Surface,3,Image 1,3,54657,
128904,,Surface,3,Image 1,3,54658,
124538,,Surface,3,Image 1,3,54659,
64067,,Surface,3,Image 1,3,54660,
78609,,Surface,3,Image 1,3,54661,
197243,,Surface,3,Image 1,3,54662,
19072,,Surface,3,Image 1,3,54663,
11748,,Surface,3,Image 1,3,54664,
124917,,Surface,3,Image 1,3,54665,
196550,,Surface,3,Image 1,3,54666,
119107,,Surface,3,Image 1,3,54667,
30104,,Surface,3,Image 1,3,54668,
172000,,Surface,3,Image 1,3,54669,
198829,,Surface,3,Image 1,3,54670,
143913,,Surface,3,Image 1,3,54671,
74190,,Surface,3,Image 1,3,54672,
204099,,Surface,3,Image 1,3,54673,
83690,,Surface,3,Image 1,3,54674,
416859,,Surface,3,Image 1,3,54675,
77857,,Surface,3,Image 1,3,54676,
149393,,Surface,3,Image 1,3,54677,
156828,,Surface,3,Image 1,3,54678,
142777,,Surface,3,Image 1,3,54679,
24021,,Surface,3,Image 1,3,54680,
99481,,Surface,3,Image 1,3,54681,
25023,,Surface,3,Image 1,3,54682,
104,,Surface,3,Image 1,3,54683,
110734,,Surface,3,Image 1,3,54684,
195177,,Surface,3,Image 1,3,54685,
243224,,Surface,3,Image 1,3,54686,
165347,,Surface,3,Image 1,3,54687,
213232,,Surface,3,Image 1,4,54688,
85899,,Surface,3,Image 1,4,54689,
342577,,Surface,3,Image 1,4,54690,
31572,,Surface,3,Image 1,4,54691,
98334,,Surface,3,Image 1,4,54692,
183297,,Surface,3,Image 1,4,54693,
225274,,Surface,3,Image 1,4,54694,
259637,,Surface,3,Image 1,4,54695,
91991,,Surface,3,Image 1,4,54696,
191807,,Surface,3,Image 1,4,54697,
135388,,Surface,3,Image 1,4,54698,
225942,,Surface,3,Image 1,4,54699,
132050,,Surface,3,Image 1,4,54700,
59796,,Surface,3,Image 1,4,54701,
199524,,Surface,3,Image 1,4,54702,
76065,,Surface,3,Image 1,4,54703,
199080,,Surface,3,Image 1,4,54704,
18755,,Surface,3,Image 1,4,54705,
133468,,Surface,3,Image 1,4,54706,
124233,,Surface,3,Image 1,4,54707,
32172,,Surface,3,Image 1,4,54708,
204774,,Surface,3,Image 1,4,54709,
153967,,Surface,3,Image 1,4,54710,
171142,,Surface,3,Image 1,4,54711,
212951,,Surface,3,Image 1,4,54712,
85372,,Surface,3,Image 1,4,54713,
76872,,Surface,3,Image 1,4,54714,
88941,,Surface,3,Image 1,4,54715,
166056,,Surface,3,Image 1,4,54716,
156375,,Surface,3,Image 1,4,54717,
404750,,Surface,3,Image 1,4,54718,
132299,,Surface,3,Image 1,4,54719,
23842,,Surface,3,Image 1,4,54720,
102360,,Surface,3,Image 1,4,54721,
26367,,Surface,3,Image 1,4,54722,
138,,Surface,3,Image 1,4,54723,
110522,,Surface,3,Image 1,4,54724,
162736,,Surface,3,Image 1,4,54725,
199478,,Surface,3,Image 1,4,54726,
239022,,Surface,3,Image 1,4,54727,
213976,,Surface,3,Image 1,5,54728,
84125,,Surface,3,Image 1,5,54729,
329877,,Surface,3,Image 1,5,54730,
25949,,Surface,3,Image 1,5,54731,
92198,,Surface,3,Image 1,5,54732,
224011,,Surface,3,Image 1,5,54733,
89356,,Surface,3,Image 1,5,54734,
179168,,Surface,3,Image 1,5,54735,
182300,,Surface,3,Image 1,5,54736,
262056,,Surface,3,Image 1,5,54737,
137277,,Surface,3,Image 1,5,54738,
223563,,Surface,3,Image 1,5,54739,
127762,,Surface,3,Image 1,5,54740,
58222,,Surface,3,Image 1,5,54741,
71828,,Surface,3,Image 1,5,54742,
14166,,Surface,3,Image 1,5,54743,
195295,,Surface,3,Image 1,5,54744,
200429,,Surface,3,Image 1,5,54745,
16468,,Surface,3,Image 1,5,54746,
132112,,Surface,3,Image 1,5,54747,
119919,,Surface,3,Image 1,5,54748,
39467,,Surface,3,Image 1,5,54749,
203893,,Surface,3,Image 1,5,54750,
157407,,Surface,3,Image 1,5,54751,
217628,,Surface,3,Image 1,5,54752,
171392,,Surface,3,Image 1,5,54753,
81224,,Surface,3,Image 1,5,54754,
92646,,Surface,3,Image 1,5,54755,
176767,,Surface,3,Image 1,5,54756,
85872,,Surface,3,Image 1,5,54757,
150966,,Surface,3,Image 1,5,54758,
415993,,Surface,3,Image 1,5,54759,
136547,,Surface,3,Image 1,5,54760,
21146,,Surface,3,Image 1,5,54761,
97383,,Surface,3,Image 1,5,54762,
110436,,Surface,3,Image 1,5,54763,
24324,,Surface,3,Image 1,5,54764,
199772,,Surface,3,Image 1,5,54765,
226197,,Surface,3,Image 1,5,54766,
163780,,Surface,3,Image 1,5,54767,
183373,,Surface,3,Image 1,6,54768,
222625,,Surface,3,Image 1,6,54769,
93969,,Surface,3,Image 1,6,54770,
30736,,Surface,3,Image 1,6,54771,
335376,,Surface,3,Image 1,6,54772,
214006,,Surface,3,Image 1,6,54773,
87818,,Surface,3,Image 1,6,54774,
92841,,Surface,3,Image 1,6,54775,
188060,,Surface,3,Image 1,6,54776,
246728,,Surface,3,Image 1,6,54777,
137914,,Surface,3,Image 1,6,54778,
236767,,Surface,3,Image 1,6,54779,
134949,,Surface,3,Image 1,6,54780,
63640,,Surface,3,Image 1,6,54781,
195480,,Surface,3,Image 1,6,54782,
75195,,Surface,3,Image 1,6,54783,
205656,,Surface,3,Image 1,6,54784,
16665,,Surface,3,Image 1,6,54785,
15776,,Surface,3,Image 1,6,54786,
136702,,Surface,3,Image 1,6,54787,
129590,,Surface,3,Image 1,6,54788,
153386,,Surface,3,Image 1,6,54789,
34109,,Surface,3,Image 1,6,54790,
204985,,Surface,3,Image 1,6,54791,
166568,,Surface,3,Image 1,6,54792,
219978,,Surface,3,Image 1,6,54793,
76073,,Surface,3,Image 1,6,54794,
81373,,Surface,3,Image 1,6,54795,
155113,,Surface,3,Image 1,6,54796,
85051,,Surface,3,Image 1,6,54797,
403539,,Surface,3,Image 1,6,54798,
125900,,Surface,3,Image 1,6,54799,
147520,,Surface,3,Image 1,6,54800,
23894,,Surface,3,Image 1,6,54801,
94821,,Surface,3,Image 1,6,54802,
21806,,Surface,3,Image 1,6,54803,
106404,,Surface,3,Image 1,6,54804,
198524,,Surface,3,Image 1,6,54805,
85,,Surface,3,Image 1,6,54806,
161327,,Surface,3,Image 1,6,54807,
245035,,Surface,3,Image 1,6,54808,
210746,,Surface,3,Image 1,7,54809,
85029,,Surface,3,Image 1,7,54810,
331658,,Surface,3,Image 1,7,54811,
31529,,Surface,3,Image 1,7,54812,
96192,,Surface,3,Image 1,7,54813,
213879,,Surface,3,Image 1,7,54814,
94594,,Surface,3,Image 1,7,54815,
193115,,Surface,3,Image 1,7,54816,
194205,,Surface,3,Image 1,7,54817,
256752,,Surface,3,Image 1,7,54818,
136567,,Surface,3,Image 1,7,54819,
242465,,Surface,3,Image 1,7,54820,
134447,,Surface,3,Image 1,7,54821,
67684,,Surface,3,Image 1,7,54822,
76315,,Surface,3,Image 1,7,54823,
188951,,Surface,3,Image 1,7,54824,
217703,,Surface,3,Image 1,7,54825,
15951,,Surface,3,Image 1,7,54826,
22915,,Surface,3,Image 1,7,54827,
136554,,Surface,3,Image 1,7,54828,
29392,,Surface,3,Image 1,7,54829,
128952,,Surface,3,Image 1,7,54830,
157741,,Surface,3,Image 1,7,54831,
207931,,Surface,3,Image 1,7,54832,
174458,,Surface,3,Image 1,7,54833,
75759,,Surface,3,Image 1,7,54834,
225113,,Surface,3,Image 1,7,54835,
75538,,Surface,3,Image 1,7,54836,
87269,,Surface,3,Image 1,7,54837,
410817,,Surface,3,Image 1,7,54838,
158884,,Surface,3,Image 1,7,54839,
131206,,Surface,3,Image 1,7,54840,
145881,,Surface,3,Image 1,7,54841,
21035,,Surface,3,Image 1,7,54842,
101096,,Surface,3,Image 1,7,54843,
111430,,Surface,3,Image 1,7,54844,
25790,,Surface,3,Image 1,7,54845,
50,,Surface,3,Image 1,7,54846,
168678,,Surface,3,Image 1,7,54847,
198358,,Surface,3,Image 1,7,54848,
255656,,Surface,3,Image 1,7,54849,
203513,,Surface,3,Image 1,8,54850,
248263,,Surface,3,Image 1,8,54851,
94981,,Surface,3,Image 1,8,54852,
199859,,Surface,3,Image 1,8,54853,
216177,,Surface,3,Image 1,8,54854,
98164,,Surface,3,Image 1,8,54855,
34249,,Surface,3,Image 1,8,54856,
340881,,Surface,3,Image 1,8,54857,
213327,,Surface,3,Image 1,8,54858,
87199,,Surface,3,Image 1,8,54859,
135012,,Surface,3,Image 1,8,54860,
249208,,Surface,3,Image 1,8,54861,
132593,,Surface,3,Image 1,8,54862,
66742,,Surface,3,Image 1,8,54863,
77854,,Surface,3,Image 1,8,54864,
15831,,Surface,3,Image 1,8,54865,
184838,,Surface,3,Image 1,8,54866,
23250,,Surface,3,Image 1,8,54867,
221986,,Surface,3,Image 1,8,54868,
138761,,Surface,3,Image 1,8,54869,
132725,,Surface,3,Image 1,8,54870,
29060,,Surface,3,Image 1,8,54871,
149011,,Surface,3,Image 1,8,54872,
200662,,Surface,3,Image 1,8,54873,
172938,,Surface,3,Image 1,8,54874,
226777,,Surface,3,Image 1,8,54875,
78364,,Surface,3,Image 1,8,54876,
75297,,Surface,3,Image 1,8,54877,
85473,,Surface,3,Image 1,8,54878,
147435,,Surface,3,Image 1,8,54879,
426836,,Surface,3,Image 1,8,54880,
156309,,Surface,3,Image 1,8,54881,
137025,,Surface,3,Image 1,8,54882,
24287,,Surface,3,Image 1,8,54883,
97637,,Surface,3,Image 1,8,54884,
24633,,Surface,3,Image 1,8,54885,
114246,,Surface,3,Image 1,8,54886,
80,,Surface,3,Image 1,8,54887,
201276,,Surface,3,Image 1,8,54888,
251008,,Surface,3,Image 1,8,54889,
170594,,Surface,3,Image 1,8,54890,
211746,,Surface,3,Image 1,9,54891,
90111,,Surface,3,Image 1,9,54892,
335831,,Surface,3,Image 1,9,54893,
33767,,Surface,3,Image 1,9,54894,
94243,,Surface,3,Image 1,9,54895,
229404,,Surface,3,Image 1,9,54896,
97813,,Surface,3,Image 1,9,54897,
196256,,Surface,3,Image 1,9,54898,
205211,,Surface,3,Image 1,9,54899,
252652,,Surface,3,Image 1,9,54900,
133373,,Surface,3,Image 1,9,54901,
250580,,Surface,3,Image 1,9,54902,
