
Overall
 ==================== 
Variable,Value,Unit,Time,ID,
Number of Disconnected Components per Time Point,42,,1,,
Number of Disconnected Components per Time Point,39,,2,,
Number of Disconnected Components per Time Point,42,,3,,
Number of Disconnected Components per Time Point,40,,4,,
Number of Disconnected Components per Time Point,40,,5,,
Number of Disconnected Components per Time Point,41,,6,,
Number of Disconnected Components per Time Point,41,,7,,
Number of Disconnected Components per Time Point,41,,8,,
Number of Disconnected Components per Time Point,41,,9,,
Number of Disconnected Components per Time Point,40,,10,,
Number of Disconnected Components per Time Point,39,,11,,
Number of Disconnected Components per Time Point,38,,12,,
Number of Disconnected Components per Time Point,37,,13,,
Number of Disconnected Components per Time Point,38,,14,,
Number of Disconnected Components per Time Point,37,,15,,
Number of Disconnected Components per Time Point,40,,16,,
Number of Disconnected Components per Time Point,39,,17,,
Number of Disconnected Components per Time Point,39,,18,,
Number of Disconnected Components per Time Point,39,,19,,
Number of Disconnected Components per Time Point,38,,20,,
Number of Disconnected Components per Time Point,38,,21,,
Number of Disconnected Components per Time Point,39,,22,,
Number of Disconnected Components per Time Point,38,,23,,
Number of Disconnected Components per Time Point,37,,24,,
Number of Disconnected Components per Time Point,39,,25,,
Number of Disconnected Components per Time Point,39,,26,,
Number of Disconnected Components per Time Point,40,,27,,
Number of Disconnected Components per Time Point,39,,28,,
Number of Disconnected Components per Time Point,38,,29,,
Number of Disconnected Components per Time Point,37,,30,,
Number of Disconnected Components per Time Point,37,,31,,
Number of Disconnected Components per Time Point,38,,32,,
Number of Disconnected Components per Time Point,36,,33,,
Number of Disconnected Components per Time Point,37,,34,,
Number of Disconnected Components per Time Point,37,,35,,
Number of Disconnected Components per Time Point,38,,36,,
Number of Disconnected Components per Time Point,36,,37,,
Number of Disconnected Components per Time Point,37,,38,,
Number of Disconnected Components per Time Point,38,,39,,
Number of Disconnected Components per Time Point,38,,40,,
Number of Disconnected Components per Time Point,37,,41,,
Number of Disconnected Components per Time Point,39,,42,,
Number of Disconnected Components per Time Point,38,,43,,
Number of Disconnected Components per Time Point,36,,44,,
Number of Disconnected Components per Time Point,38,,45,,
Number of Disconnected Components per Time Point,39,,46,,
Number of Disconnected Components per Time Point,37,,47,,
Number of Disconnected Components per Time Point,37,,48,,
Number of Disconnected Components per Time Point,36,,49,,
Number of Disconnected Components per Time Point,38,,50,,
Number of Disconnected Components per Time Point,36,,51,,
Number of Disconnected Components per Time Point,38,,52,,
Number of Disconnected Components per Time Point,38,,53,,
Number of Disconnected Components per Time Point,38,,54,,
Number of Disconnected Components per Time Point,38,,55,,
Number of Disconnected Components per Time Point,39,,56,,
Number of Disconnected Components per Time Point,38,,57,,
Number of Disconnected Components per Time Point,36,,58,,
Number of Disconnected Components per Time Point,38,,59,,
Number of Disconnected Components per Time Point,38,,60,,
Number of Disconnected Components per Time Point,37,,61,,
Number of Disconnected Components per Time Point,37,,62,,
Number of Disconnected Components per Time Point,37,,63,,
Number of Disconnected Components per Time Point,37,,64,,
Number of Disconnected Components per Time Point,38,,65,,
Number of Disconnected Components per Time Point,38,,66,,
Number of Disconnected Components per Time Point,38,,67,,
Number of Disconnected Components per Time Point,39,,68,,
Number of Disconnected Components per Time Point,39,,69,,
Number of Disconnected Components per Time Point,38,,70,,
Number of Disconnected Components per Time Point,37,,71,,
Number of Disconnected Components per Time Point,37,,72,,
Number of Disconnected Components per Time Point,37,,73,,
Number of Disconnected Components per Time Point,37,,74,,
Number of Disconnected Components per Time Point,37,,75,,
Number of Disconnected Components per Time Point,38,,76,,
Number of Disconnected Components per Time Point,38,,77,,
Number of Disconnected Components per Time Point,37,,78,,
Number of Disconnected Components per Time Point,39,,79,,
Number of Disconnected Components per Time Point,37,,80,,
Number of Disconnected Components per Time Point,39,,81,,
Number of Disconnected Components per Time Point,37,,82,,
Number of Disconnected Components per Time Point,38,,83,,
Number of Disconnected Components per Time Point,37,,84,,
Number of Disconnected Components per Time Point,37,,85,,
Number of Disconnected Components per Time Point,37,,86,,
Number of Disconnected Components per Time Point,36,,87,,
Number of Disconnected Components per Time Point,38,,88,,
Number of Disconnected Components per Time Point,38,,89,,
Number of Disconnected Components per Time Point,37,,90,,
Number of Disconnected Components per Time Point,37,,91,,
Number of Disconnected Components per Time Point,39,,92,,
Number of Disconnected Components per Time Point,37,,93,,
Number of Disconnected Components per Time Point,37,,94,,
Number of Disconnected Components per Time Point,37,,95,,
Number of Disconnected Components per Time Point,36,,96,,
Number of Disconnected Components per Time Point,37,,97,,
Number of Disconnected Components per Time Point,36,,98,,
Number of Disconnected Components per Time Point,37,,99,,
Number of Disconnected Components per Time Point,37,,100,,
Number of Disconnected Components per Time Point,37,,101,,
Number of Disconnected Components per Time Point,37,,102,,
Number of Disconnected Components per Time Point,38,,103,,
Number of Disconnected Components per Time Point,38,,104,,
Number of Disconnected Components per Time Point,37,,105,,
Number of Disconnected Components per Time Point,37,,106,,
Number of Disconnected Components per Time Point,37,,107,,
Number of Disconnected Components per Time Point,37,,108,,
Number of Disconnected Components per Time Point,37,,109,,
Number of Disconnected Components per Time Point,38,,110,,
Number of Disconnected Components per Time Point,38,,111,,
Number of Disconnected Components per Time Point,37,,112,,
Number of Disconnected Components per Time Point,36,,113,,
Number of Disconnected Components per Time Point,37,,114,,
Number of Disconnected Components per Time Point,37,,115,,
Number of Disconnected Components per Time Point,36,,116,,
Number of Disconnected Components per Time Point,37,,117,,
Number of Disconnected Components per Time Point,36,,118,,
Number of Disconnected Components per Time Point,36,,119,,
Number of Disconnected Components per Time Point,35,,120,,
Number of Disconnected Components per Time Point,36,,121,,
Number of Disconnected Components per Time Point,37,,122,,
Number of Disconnected Components per Time Point,37,,123,,
Number of Disconnected Components per Time Point,38,,124,,
Number of Disconnected Components per Time Point,39,,125,,
Number of Disconnected Components per Time Point,37,,126,,
Number of Disconnected Components per Time Point,38,,127,,
Number of Disconnected Components per Time Point,37,,128,,
Number of Disconnected Components per Time Point,38,,129,,
Number of Disconnected Components per Time Point,40,,130,,
Number of Disconnected Components per Time Point,38,,131,,
Number of Disconnected Components per Time Point,37,,132,,
Number of Disconnected Components per Time Point,38,,133,,
Number of Disconnected Components per Time Point,40,,134,,
Number of Disconnected Components per Time Point,40,,135,,
Number of Disconnected Components per Time Point,39,,136,,
Number of Disconnected Components per Time Point,40,,137,,
Number of Disconnected Components per Time Point,40,,138,,
Number of Disconnected Components per Time Point,39,,139,,
Number of Disconnected Components per Time Point,39,,140,,
Number of Disconnected Components per Time Point,40,,141,,
Number of Disconnected Components per Time Point,41,,142,,
Number of Disconnected Components per Time Point,38,,143,,
Number of Disconnected Components per Time Point,39,,144,,
Number of Disconnected Components per Time Point,39,,145,,
Number of Disconnected Components per Time Point,37,,146,,
Number of Disconnected Components per Time Point,37,,147,,
Number of Disconnected Components per Time Point,39,,148,,
Number of Disconnected Components per Time Point,39,,149,,
Number of Disconnected Components per Time Point,38,,150,,
Number of Disconnected Components per Time Point,39,,151,,
Number of Disconnected Components per Time Point,40,,152,,
Number of Disconnected Components per Time Point,40,,153,,
Number of Disconnected Components per Time Point,39,,154,,
Number of Disconnected Components per Time Point,41,,155,,
Number of Disconnected Components per Time Point,40,,156,,
Number of Disconnected Components per Time Point,41,,157,,
Number of Disconnected Components per Time Point,41,,158,,
Number of Disconnected Components per Time Point,40,,159,,
Number of Disconnected Components per Time Point,39,,160,,
Number of Disconnected Components per Time Point,40,,161,,
Number of Disconnected Components per Time Point,38,,162,,
