
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
700.552,666.854,22.4567,um,Surface,Position,1,54565,
594.771,680.989,22.3963,um,Surface,Position,1,54566,
518.06,617.645,23.9326,um,Surface,Position,1,54567,
468.691,582.297,28.2461,um,Surface,Position,1,54568,
502.996,549.696,18.0473,um,Surface,Position,1,54569,
606.403,416.685,19.329,um,Surface,Position,1,54570,
680.49,277.263,27.0135,um,Surface,Position,1,54571,
677.564,223.931,20.5793,um,Surface,Position,1,54572,
591.44,355.036,24.8278,um,Surface,Position,1,54573,
543.65,369.287,24.4598,um,Surface,Position,1,54574,
394.226,539.888,28.9219,um,Surface,Position,1,54575,
491.986,380.383,20.7446,um,Surface,Position,1,54576,
285.41,613.516,24.1425,um,Surface,Position,1,54577,
337.776,505.805,19.9271,um,Surface,Position,1,54578,
682.56,98.5798,21.3017,um,Surface,Position,1,54579,
180.755,582.951,19.0651,um,Surface,Position,1,54580,
268.548,511.258,24.5326,um,Surface,Position,1,54581,
640.063,110.162,26.8726,um,Surface,Position,1,54582,
480.514,166.764,47.2248,um,Surface,Position,1,54583,
426.616,303.041,16.2552,um,Surface,Position,1,54584,
364.876,368.816,23.5,um,Surface,Position,1,54585,
69.212,648.961,20.4331,um,Surface,Position,1,54586,
487.008,217.363,23.1193,um,Surface,Position,1,54587,
199.433,496.621,17.1067,um,Surface,Position,1,54588,
143.821,553.137,23.0796,um,Surface,Position,1,54589,
296.03,393.687,24.935,um,Surface,Position,1,54590,
572.192,90.9137,24.106,um,Surface,Position,1,54591,
46.7586,596.961,20.7069,um,Surface,Position,1,54592,
467.763,144.682,22.1465,um,Surface,Position,1,54593,
414.941,208.986,22.6621,um,Surface,Position,1,54594,
382.812,235.827,20.5787,um,Surface,Position,1,54595,
256.142,327.229,23.9362,um,Surface,Position,1,54596,
178.679,437.623,27.6884,um,Surface,Position,1,54597,
487.859,79.5753,25.1405,um,Surface,Position,1,54598,
471.183,14.5482,18.3903,um,Surface,Position,1,54599,
209.72,247.458,23.6378,um,Surface,Position,1,54600,
347.236,16.7684,19.1183,um,Surface,Position,1,54601,
256.365,56.7708,23.0588,um,Surface,Position,1,54602,
75.8628,226.371,26.5718,um,Surface,Position,1,54603,
161.237,105.931,18.6105,um,Surface,Position,1,54604,
175.975,16.2406,26.3663,um,Surface,Position,1,54605,
23.5051,228.045,24.808,um,Surface,Position,1,54606,
518.522,617.12,23.9453,um,Surface,Position,2,54607,
595.648,679.381,22.436,um,Surface,Position,2,54608,
700.839,666.989,23.1314,um,Surface,Position,2,54609,
504.158,548.613,18.225,um,Surface,Position,2,54610,
607.184,416.113,19.1693,um,Surface,Position,2,54611,
591.899,353.974,24.8175,um,Surface,Position,2,54612,
681.633,276.8,26.8948,um,Surface,Position,2,54613,
543.844,366.716,24.6453,um,Surface,Position,2,54614,
395.082,538.624,28.9019,um,Surface,Position,2,54615,
678.641,223.442,20.5259,um,Surface,Position,2,54616,
285.779,612.93,24.5704,um,Surface,Position,2,54617,
493.087,379.964,20.5668,um,Surface,Position,2,54618,
337.447,505.87,19.8997,um,Surface,Position,2,54619,
682.939,97.9207,20.9674,um,Surface,Position,2,54620,
268.911,510.957,24.7424,um,Surface,Position,2,54621,
181.744,582.628,18.9261,um,Surface,Position,2,54622,
427.55,302.698,16.4389,um,Surface,Position,2,54623,
640.422,108.559,26.7823,um,Surface,Position,2,54624,
365.281,369.56,23.186,um,Surface,Position,2,54625,
69.755,647.87,20.5255,um,Surface,Position,2,54626,
144.767,552.831,23.0002,um,Surface,Position,2,54627,
487.723,216.365,23.0645,um,Surface,Position,2,54628,
199.695,495.952,17.2273,um,Surface,Position,2,54629,
297.483,393.563,24.7605,um,Surface,Position,2,54630,
48.9257,596.162,21.0682,um,Surface,Position,2,54631,
573.622,90.5705,24.3021,um,Surface,Position,2,54632,
415.788,208.093,22.5646,um,Surface,Position,2,54633,
471.002,143.901,22.7156,um,Surface,Position,2,54634,
383.847,235.023,20.5568,um,Surface,Position,2,54635,
256.592,326.458,24.0225,um,Surface,Position,2,54636,
179.735,437.819,27.9764,um,Surface,Position,2,54637,
488.043,78.4834,24.7839,um,Surface,Position,2,54638,
472.007,13.2753,18.6556,um,Surface,Position,2,54639,
211.952,244.827,23.8873,um,Surface,Position,2,54640,
348.277,16.1848,18.0278,um,Surface,Position,2,54641,
257.909,56.3818,23.0674,um,Surface,Position,2,54642,
76.6674,225.455,26.681,um,Surface,Position,2,54643,
176.334,16.3039,26.2936,um,Surface,Position,2,54644,
24.7738,226.434,24.7703,um,Surface,Position,2,54645,
701.008,667.09,23.1106,um,Surface,Position,3,54646,
595.06,679.671,22.5196,um,Surface,Position,3,54647,
469.607,582.94,28.968,um,Surface,Position,3,54648,
518.308,617.919,24.1329,um,Surface,Position,3,54649,
503.229,550.211,17.9164,um,Surface,Position,3,54650,
606.79,416.655,19.3689,um,Surface,Position,3,54651,
591.622,355.459,24.6365,um,Surface,Position,3,54652,
681.058,276.889,27.2132,um,Surface,Position,3,54653,
395.006,539.46,29.3472,um,Surface,Position,3,54654,
677.7,223.976,20.4286,um,Surface,Position,3,54655,
285.843,614.915,24.4905,um,Surface,Position,3,54656,
543.722,368.72,24.7127,um,Surface,Position,3,54657,
492.695,380.842,20.7703,um,Surface,Position,3,54658,
337.89,506.749,19.4134,um,Surface,Position,3,54659,
683.499,98.8175,21.8035,um,Surface,Position,3,54660,
180.503,582.97,19.0281,um,Surface,Position,3,54661,
268.998,511.231,24.9163,um,Surface,Position,3,54662,
427.289,303.451,16.4115,um,Surface,Position,3,54663,
484.635,165.585,47.3236,um,Surface,Position,3,54664,
365.57,368.636,23.0508,um,Surface,Position,3,54665,
640.736,109.625,26.8322,um,Surface,Position,3,54666,
69.5445,648.731,20.491,um,Surface,Position,3,54667,
200.056,496.046,17.0002,um,Surface,Position,3,54668,
296.606,393.807,24.5995,um,Surface,Position,3,54669,
144.107,552.989,22.8371,um,Surface,Position,3,54670,
486.664,218.044,23.3537,um,Surface,Position,3,54671,
48.2186,597.167,21.1671,um,Surface,Position,3,54672,
573.335,91.7636,23.9615,um,Surface,Position,3,54673,
383.576,235.869,20.7935,um,Surface,Position,3,54674,
179.464,438.771,27.6895,um,Surface,Position,3,54675,
468.574,143.303,21.496,um,Surface,Position,3,54676,
414.785,209.198,22.7126,um,Surface,Position,3,54677,
255.884,327.81,23.8902,um,Surface,Position,3,54678,
487.597,80.5727,24.7589,um,Surface,Position,3,54679,
471.975,14.2698,18.7987,um,Surface,Position,3,54680,
210.87,247.462,23.9322,um,Surface,Position,3,54681,
348.854,18.5463,18.1056,um,Surface,Position,3,54682,
161.539,105.684,18.7213,um,Surface,Position,3,54683,
258.301,56.6987,23.3304,um,Surface,Position,3,54684,
76.6619,226.018,26.586,um,Surface,Position,3,54685,
