
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.60014,,Surface,1,54565,
0.596159,,Surface,1,54566,
0.808323,,Surface,1,54567,
0.700902,,Surface,1,54568,
0.865128,,Surface,1,54569,
0.789641,,Surface,1,54570,
0.493978,,Surface,1,54571,
0.89715,,Surface,1,54572,
0.595638,,Surface,1,54573,
0.696258,,Surface,1,54574,
0.381705,,Surface,1,54575,
0.831296,,Surface,1,54576,
0.598686,,Surface,1,54577,
0.683929,,Surface,1,54578,
0.718306,,Surface,1,54579,
0.890716,,Surface,1,54580,
0.58386,,Surface,1,54581,
0.617552,,Surface,1,54582,
0.697598,,Surface,1,54583,
0.916676,,Surface,1,54584,
0.597598,,Surface,1,54585,
0.650008,,Surface,1,54586,
0.721436,,Surface,1,54587,
0.840574,,Surface,1,54588,
0.866972,,Surface,1,54589,
0.643468,,Surface,1,54590,
0.68324,,Surface,1,54591,
0.768105,,Surface,1,54592,
0.66212,,Surface,1,54593,
0.657753,,Surface,1,54594,
0.866638,,Surface,1,54595,
0.578347,,Surface,1,54596,
0.554591,,Surface,1,54597,
0.68357,,Surface,1,54598,
0.903278,,Surface,1,54599,
0.759676,,Surface,1,54600,
0.753915,,Surface,1,54601,
0.827771,,Surface,1,54602,
0.529754,,Surface,1,54603,
0.915175,,Surface,1,54604,
0.638306,,Surface,1,54605,
0.729729,,Surface,1,54606,
0.817402,,Surface,2,54607,
0.568159,,Surface,2,54608,
0.590641,,Surface,2,54609,
0.865925,,Surface,2,54610,
0.797255,,Surface,2,54611,
0.587849,,Surface,2,54612,
0.510297,,Surface,2,54613,
0.694675,,Surface,2,54614,
0.390496,,Surface,2,54615,
0.890354,,Surface,2,54616,
0.613934,,Surface,2,54617,
0.861297,,Surface,2,54618,
0.698852,,Surface,2,54619,
0.701664,,Surface,2,54620,
0.590339,,Surface,2,54621,
0.893017,,Surface,2,54622,
0.913862,,Surface,2,54623,
0.586123,,Surface,2,54624,
0.658612,,Surface,2,54625,
0.681093,,Surface,2,54626,
0.865911,,Surface,2,54627,
0.720175,,Surface,2,54628,
0.806645,,Surface,2,54629,
0.638485,,Surface,2,54630,
0.742435,,Surface,2,54631,
0.694773,,Surface,2,54632,
0.674176,,Surface,2,54633,
0.670195,,Surface,2,54634,
0.87791,,Surface,2,54635,
0.548397,,Surface,2,54636,
0.547226,,Surface,2,54637,
0.673548,,Surface,2,54638,
0.876347,,Surface,2,54639,
0.69693,,Surface,2,54640,
0.782995,,Surface,2,54641,
0.828537,,Surface,2,54642,
0.495836,,Surface,2,54643,
0.632279,,Surface,2,54644,
0.718509,,Surface,2,54645,
0.607115,,Surface,3,54646,
0.5616,,Surface,3,54647,
0.661971,,Surface,3,54648,
0.816421,,Surface,3,54649,
0.8366,,Surface,3,54650,
0.816595,,Surface,3,54651,
0.586473,,Surface,3,54652,
0.506189,,Surface,3,54653,
0.383345,,Surface,3,54654,
0.893838,,Surface,3,54655,
0.582287,,Surface,3,54656,
0.678158,,Surface,3,54657,
0.820813,,Surface,3,54658,
0.684756,,Surface,3,54659,
0.732933,,Surface,3,54660,
0.87536,,Surface,3,54661,
0.611021,,Surface,3,54662,
0.923761,,Surface,3,54663,
0.668091,,Surface,3,54664,
0.64739,,Surface,3,54665,
0.619284,,Surface,3,54666,
0.691465,,Surface,3,54667,
0.828841,,Surface,3,54668,
0.648396,,Surface,3,54669,
0.87229,,Surface,3,54670,
0.737518,,Surface,3,54671,
0.748097,,Surface,3,54672,
0.65449,,Surface,3,54673,
0.873407,,Surface,3,54674,
0.509354,,Surface,3,54675,
0.625746,,Surface,3,54676,
0.658522,,Surface,3,54677,
0.596842,,Surface,3,54678,
0.685337,,Surface,3,54679,
0.906044,,Surface,3,54680,
0.790777,,Surface,3,54681,
0.755226,,Surface,3,54682,
0.921675,,Surface,3,54683,
0.843842,,Surface,3,54684,
0.509189,,Surface,3,54685,
0.643781,,Surface,3,54686,
0.70273,,Surface,3,54687,
0.552502,,Surface,4,54688,
0.602633,,Surface,4,54689,
0.801935,,Surface,4,54690,
0.873621,,Surface,4,54691,
0.807295,,Surface,4,54692,
0.590973,,Surface,4,54693,
0.505278,,Surface,4,54694,
0.406796,,Surface,4,54695,
0.896534,,Surface,4,54696,
0.670381,,Surface,4,54697,
0.859357,,Surface,4,54698,
0.61073,,Surface,4,54699,
0.72335,,Surface,4,54700,
0.683758,,Surface,4,54701,
0.623107,,Surface,4,54702,
0.873161,,Surface,4,54703,
0.578996,,Surface,4,54704,
0.920034,,Surface,4,54705,
0.624878,,Surface,4,54706,
0.700094,,Surface,4,54707,
0.834755,,Surface,4,54708,
0.869466,,Surface,4,54709,
0.741356,,Surface,4,54710,
0.643563,,Surface,4,54711,
0.697248,,Surface,4,54712,
0.888903,,Surface,4,54713,
0.765791,,Surface,4,54714,
0.631091,,Surface,4,54715,
0.651386,,Surface,4,54716,
0.579768,,Surface,4,54717,
0.497621,,Surface,4,54718,
0.665647,,Surface,4,54719,
0.88345,,Surface,4,54720,
0.795436,,Surface,4,54721,
0.804124,,Surface,4,54722,
0.915332,,Surface,4,54723,
0.844635,,Surface,4,54724,
0.69026,,Surface,4,54725,
0.487914,,Surface,4,54726,
0.6398,,Surface,4,54727,
0.551682,,Surface,5,54728,
0.62525,,Surface,5,54729,
0.803232,,Surface,5,54730,
0.845227,,Surface,5,54731,
0.801011,,Surface,5,54732,
0.497842,,Surface,5,54733,
0.885148,,Surface,5,54734,
0.584241,,Surface,5,54735,
0.649663,,Surface,5,54736,
0.416208,,Surface,5,54737,
0.837125,,Surface,5,54738,
0.601995,,Surface,5,54739,
0.676001,,Surface,5,54740,
0.705483,,Surface,5,54741,
0.886985,,Surface,5,54742,
0.913348,,Surface,5,54743,
0.64425,,Surface,5,54744,
0.588739,,Surface,5,54745,
0.680517,,Surface,5,54746,
0.609078,,Surface,5,54747,
0.704474,,Surface,5,54748,
0.850523,,Surface,5,54749,
0.870169,,Surface,5,54750,
0.724439,,Surface,5,54751,
0.674832,,Surface,5,54752,
0.642851,,Surface,5,54753,
0.746734,,Surface,5,54754,
0.903536,,Surface,5,54755,
0.683085,,Surface,5,54756,
0.642403,,Surface,5,54757,
0.560298,,Surface,5,54758,
0.507651,,Surface,5,54759,
0.667472,,Surface,5,54760,
0.891477,,Surface,5,54761,
0.721074,,Surface,5,54762,
0.821701,,Surface,5,54763,
0.770993,,Surface,5,54764,
0.510868,,Surface,5,54765,
0.611924,,Surface,5,54766,
0.719017,,Surface,5,54767,
0.615614,,Surface,6,54768,
0.49468,,Surface,6,54769,
0.818237,,Surface,6,54770,
0.87357,,Surface,6,54771,
0.801708,,Surface,6,54772,
0.566735,,Surface,6,54773,
0.628216,,Surface,6,54774,
0.894722,,Surface,6,54775,
0.698332,,Surface,6,54776,
0.408549,,Surface,6,54777,
0.841971,,Surface,6,54778,
0.618744,,Surface,6,54779,
0.686263,,Surface,6,54780,
0.708354,,Surface,6,54781,
0.627835,,Surface,6,54782,
0.873868,,Surface,6,54783,
0.585125,,Surface,6,54784,
0.910298,,Surface,6,54785,
0.663596,,Surface,6,54786,
0.608165,,Surface,6,54787,
0.71536,,Surface,6,54788,
0.70688,,Surface,6,54789,
0.833064,,Surface,6,54790,
0.851762,,Surface,6,54791,
0.630962,,Surface,6,54792,
0.673963,,Surface,6,54793,
0.747643,,Surface,6,54794,
0.686578,,Surface,6,54795,
0.629986,,Surface,6,54796,
0.882345,,Surface,6,54797,
0.502715,,Surface,6,54798,
0.654635,,Surface,6,54799,
0.555409,,Surface,6,54800,
0.909363,,Surface,6,54801,
0.747013,,Surface,6,54802,
0.739821,,Surface,6,54803,
0.795503,,Surface,6,54804,
0.525187,,Surface,6,54805,
0.909564,,Surface,6,54806,
0.720625,,Surface,6,54807,
0.62312,,Surface,6,54808,
0.556955,,Surface,7,54809,
0.616989,,Surface,7,54810,
0.789993,,Surface,7,54811,
0.839137,,Surface,7,54812,
0.82368,,Surface,7,54813,
0.490304,,Surface,7,54814,
0.893279,,Surface,7,54815,
0.602135,,Surface,7,54816,
0.689682,,Surface,7,54817,
0.400279,,Surface,7,54818,
0.831372,,Surface,7,54819,
0.651925,,Surface,7,54820,
0.7007,,Surface,7,54821,
0.744712,,Surface,7,54822,
0.891915,,Surface,7,54823,
0.617072,,Surface,7,54824,
0.621687,,Surface,7,54825,
0.922006,,Surface,7,54826,
0.618279,,Surface,7,54827,
0.635755,,Surface,7,54828,
0.836617,,Surface,7,54829,
0.719788,,Surface,7,54830,
0.7094,,Surface,7,54831,
0.859777,,Surface,7,54832,
0.638629,,Surface,7,54833,
0.814029,,Surface,7,54834,
0.66899,,Surface,7,54835,
0.667995,,Surface,7,54836,
0.865641,,Surface,7,54837,
0.510877,,Surface,7,54838,
0.627397,,Surface,7,54839,
0.672911,,Surface,7,54840,
0.542687,,Surface,7,54841,
0.910856,,Surface,7,54842,
0.729598,,Surface,7,54843,
0.790499,,Surface,7,54844,
0.725619,,Surface,7,54845,
0.918012,,Surface,7,54846,
0.725015,,Surface,7,54847,
0.51286,,Surface,7,54848,
0.631994,,Surface,7,54849,
0.702498,,Surface,8,54850,
0.390737,,Surface,8,54851,
0.89288,,Surface,8,54852,
0.644413,,Surface,8,54853,
0.468276,,Surface,8,54854,
0.81707,,Surface,8,54855,
0.864248,,Surface,8,54856,
0.792606,,Surface,8,54857,
0.556764,,Surface,8,54858,
0.598374,,Surface,8,54859,
0.861151,,Surface,8,54860,
0.67462,,Surface,8,54861,
0.715041,,Surface,8,54862,
0.721632,,Surface,8,54863,
0.891777,,Surface,8,54864,
0.916273,,Surface,8,54865,
0.62099,,Surface,8,54866,
0.664448,,Surface,8,54867,
0.628609,,Surface,8,54868,
0.616657,,Surface,8,54869,
0.73297,,Surface,8,54870,
0.842709,,Surface,8,54871,
0.699866,,Surface,8,54872,
0.862425,,Surface,8,54873,
0.628046,,Surface,8,54874,
0.682532,,Surface,8,54875,
0.757753,,Surface,8,54876,
0.65367,,Surface,8,54877,
0.876242,,Surface,8,54878,
0.639937,,Surface,8,54879,
0.526989,,Surface,8,54880,
0.565528,,Surface,8,54881,
0.681029,,Surface,8,54882,
0.884599,,Surface,8,54883,
0.730423,,Surface,8,54884,
0.770912,,Surface,8,54885,
0.83165,,Surface,8,54886,
0.915838,,Surface,8,54887,
0.51526,,Surface,8,54888,
0.617829,,Surface,8,54889,
0.712554,,Surface,8,54890,
0.551372,,Surface,9,54891,
0.596687,,Surface,9,54892,
0.805577,,Surface,9,54893,
0.859323,,Surface,9,54894,
0.802834,,Surface,9,54895,
0.472145,,Surface,9,54896,
0.889693,,Surface,9,54897,
0.622658,,Surface,9,54898,
0.686726,,Surface,9,54899,
0.396504,,Surface,9,54900,
0.853793,,Surface,9,54901,
0.653269,,Surface,9,54902,
0.687545,,Surface,9,54903,
0.716386,,Surface,9,54904,
0.614379,,Surface,9,54905,
0.901881,,Surface,9,54906,
0.904968,,Surface,9,54907,
0.612893,,Surface,9,54908,
0.624225,,Surface,9,54909,
0.600399,,Surface,9,54910,
0.713134,,Surface,9,54911,
0.863549,,Surface,9,54912,
0.843445,,Surface,9,54913,
0.644865,,Surface,9,54914,
0.726905,,Surface,9,54915,
0.79655,,Surface,9,54916,
0.651786,,Surface,9,54917,
0.832585,,Surface,9,54918,
0.662966,,Surface,9,54919,
0.659471,,Surface,9,54920,
0.56891,,Surface,9,54921,
0.528399,,Surface,9,54922,
0.691717,,Surface,9,54923,
0.907354,,Surface,9,54924,
0.744783,,Surface,9,54925,
0.722573,,Surface,9,54926,
0.824621,,Surface,9,54927,
0.916027,,Surface,9,54928,
0.505853,,Surface,9,54929,
0.623027,,Surface,9,54930,
0.699294,,Surface,9,54931,
0.563842,,Surface,10,54932,
0.608114,,Surface,10,54933,
0.783237,,Surface,10,54934,
0.835594,,Surface,10,54935,
0.802743,,Surface,10,54936,
0.655473,,Surface,10,54937,
0.473328,,Surface,10,54938,
0.404578,,Surface,10,54939,
0.889501,,Surface,10,54940,
0.661534,,Surface,10,54941,
0.658709,,Surface,10,54942,
0.822,,Surface,10,54943,
0.724255,,Surface,10,54944,
0.726809,,Surface,10,54945,
0.8915,,Surface,10,54946,
0.61447,,Surface,10,54947,
0.597973,,Surface,10,54948,
0.618901,,Surface,10,54949,
0.613624,,Surface,10,54950,
0.705288,,Surface,10,54951,
0.726006,,Surface,10,54952,
0.870117,,Surface,10,54953,
0.857183,,Surface,10,54954,
0.720304,,Surface,10,54955,
0.853139,,Surface,10,54956,
0.772702,,Surface,10,54957,
0.656559,,Surface,10,54958,
0.856061,,Surface,10,54959,
0.687908,,Surface,10,54960,
0.511099,,Surface,10,54961,
0.65347,,Surface,10,54962,
0.680197,,Surface,10,54963,
0.538821,,Surface,10,54964,
0.918963,,Surface,10,54965,
0.737535,,Surface,10,54966,
0.827851,,Surface,10,54967,
0.758392,,Surface,10,54968,
0.515936,,Surface,10,54969,
0.607415,,Surface,10,54970,
0.654726,,Surface,10,54971,
0.6033,,Surface,11,54972,
0.54744,,Surface,11,54973,
0.818587,,Surface,11,54974,
0.840467,,Surface,11,54975,
0.800493,,Surface,11,54976,
0.619727,,Surface,11,54977,
0.459187,,Surface,11,54978,
0.389004,,Surface,11,54979,
0.897693,,Surface,11,54980,
0.644809,,Surface,11,54981,
0.645082,,Surface,11,54982,
0.833707,,Surface,11,54983,
0.700995,,Surface,11,54984,
0.702633,,Surface,11,54985,
0.884286,,Surface,11,54986,
0.602633,,Surface,11,54987,
0.597906,,Surface,11,54988,
0.580895,,Surface,11,54989,
0.737753,,Surface,11,54990,
0.824632,,Surface,11,54991,
0.701492,,Surface,11,54992,
0.717088,,Surface,11,54993,
0.870112,,Surface,11,54994,
0.646041,,Surface,11,54995,
0.765331,,Surface,11,54996,
0.629114,,Surface,11,54997,
0.655985,,Surface,11,54998,
0.502304,,Surface,11,54999,
0.581589,,Surface,11,55000,
0.669527,,Surface,11,55001,
0.541104,,Surface,11,55002,
0.904487,,Surface,11,55003,
0.690522,,Surface,11,55004,
0.840877,,Surface,11,55005,
0.752334,,Surface,11,55006,
0.518838,,Surface,11,55007,
0.915827,,Surface,11,55008,
0.598795,,Surface,11,55009,
0.701658,,Surface,11,55010,
0.579266,,Surface,12,55011,
0.584724,,Surface,12,55012,
0.826977,,Surface,12,55013,
0.853253,,Surface,12,55014,
