
Area
 ==================== 
Area,Unit,Category,Time,ID,
10605.8,um^2,Surface,1,75172,
7382.13,um^2,Surface,1,75173,
4105.4,um^2,Surface,1,75174,
1617.72,um^2,Surface,1,75175,
6887.4,um^2,Surface,1,75176,
1593.36,um^2,Surface,1,75177,
2147.55,um^2,Surface,1,75178,
1733.9,um^2,Surface,1,75179,
9895.73,um^2,Surface,1,75180,
5714.05,um^2,Surface,1,75181,
1157.41,um^2,Surface,1,75182,
6712.11,um^2,Surface,1,75183,
8859.29,um^2,Surface,1,75184,
8856.47,um^2,Surface,1,75185,
7629.37,um^2,Surface,1,75186,
11608.2,um^2,Surface,1,75187,
6273.39,um^2,Surface,1,75188,
5026.14,um^2,Surface,1,75189,
9336.68,um^2,Surface,1,75190,
10005.2,um^2,Surface,1,75191,
2046.52,um^2,Surface,1,75192,
4916.26,um^2,Surface,1,75193,
3052.19,um^2,Surface,1,75194,
1237.75,um^2,Surface,1,75195,
4372.27,um^2,Surface,1,75196,
2194.58,um^2,Surface,1,75197,
3952.05,um^2,Surface,1,75198,
18599.1,um^2,Surface,1,75199,
10935.2,um^2,Surface,1,75200,
6082.19,um^2,Surface,1,75201,
8735.88,um^2,Surface,1,75202,
7654.3,um^2,Surface,1,75203,
11847.1,um^2,Surface,1,75204,
22881.4,um^2,Surface,1,75205,
1743.73,um^2,Surface,2,75206,
1691.36,um^2,Surface,2,75207,
1263.75,um^2,Surface,2,75208,
6945.41,um^2,Surface,2,75209,
10456.9,um^2,Surface,2,75210,
7556.47,um^2,Surface,2,75211,
4285.04,um^2,Surface,2,75212,
1635.97,um^2,Surface,2,75213,
9698.64,um^2,Surface,2,75214,
6003.41,um^2,Surface,2,75215,
1172.53,um^2,Surface,2,75216,
6511.9,um^2,Surface,2,75217,
8974.47,um^2,Surface,2,75218,
8584.99,um^2,Surface,2,75219,
7754.36,um^2,Surface,2,75220,
12152.1,um^2,Surface,2,75221,
6313.17,um^2,Surface,2,75222,
5095.48,um^2,Surface,2,75223,
9587.5,um^2,Surface,2,75224,
9844.11,um^2,Surface,2,75225,
2068.75,um^2,Surface,2,75226,
2657.59,um^2,Surface,2,75227,
4640.8,um^2,Surface,2,75228,
2117.07,um^2,Surface,2,75229,
1267.67,um^2,Surface,2,75230,
4492.17,um^2,Surface,2,75231,
3844.33,um^2,Surface,2,75232,
18339.5,um^2,Surface,2,75233,
11145.6,um^2,Surface,2,75234,
5998.48,um^2,Surface,2,75235,
8649.62,um^2,Surface,2,75236,
7927.25,um^2,Surface,2,75237,
11486.3,um^2,Surface,2,75238,
22138.2,um^2,Surface,2,75239,
1803.69,um^2,Surface,3,75240,
1754.85,um^2,Surface,3,75241,
1171.67,um^2,Surface,3,75242,
6799.54,um^2,Surface,3,75243,
10537.6,um^2,Surface,3,75244,
7565.87,um^2,Surface,3,75245,
4300.63,um^2,Surface,3,75246,
1736.62,um^2,Surface,3,75247,
9831.34,um^2,Surface,3,75248,
5941.78,um^2,Surface,3,75249,
6728.11,um^2,Surface,3,75250,
1086.29,um^2,Surface,3,75251,
8620.79,um^2,Surface,3,75252,
8808.9,um^2,Surface,3,75253,
7554.68,um^2,Surface,3,75254,
12408.3,um^2,Surface,3,75255,
6023.03,um^2,Surface,3,75256,
5134.38,um^2,Surface,3,75257,
9217.51,um^2,Surface,3,75258,
2062.83,um^2,Surface,3,75259,
3028.97,um^2,Surface,3,75260,
9997.27,um^2,Surface,3,75261,
4831.46,um^2,Surface,3,75262,
1313.53,um^2,Surface,3,75263,
2289.9,um^2,Surface,3,75264,
4683.48,um^2,Surface,3,75265,
3805.26,um^2,Surface,3,75266,
19274.9,um^2,Surface,3,75267,
11223,um^2,Surface,3,75268,
5986.21,um^2,Surface,3,75269,
11293.8,um^2,Surface,3,75270,
8537.92,um^2,Surface,3,75271,
8011.64,um^2,Surface,3,75272,
22568.5,um^2,Surface,3,75273,
10293.7,um^2,Surface,4,75274,
7513.21,um^2,Surface,4,75275,
4354.98,um^2,Surface,4,75276,
1776.93,um^2,Surface,4,75277,
1179.24,um^2,Surface,4,75278,
770.273,um^2,Surface,4,75279,
1176.44,um^2,Surface,4,75280,
6889.26,um^2,Surface,4,75281,
1701.31,um^2,Surface,4,75282,
1734.46,um^2,Surface,4,75283,
10056.9,um^2,Surface,4,75284,
5754.38,um^2,Surface,4,75285,
1146.08,um^2,Surface,4,75286,
8565.82,um^2,Surface,4,75287,
6558.83,um^2,Surface,4,75288,
8653.92,um^2,Surface,4,75289,
7385.84,um^2,Surface,4,75290,
12011.4,um^2,Surface,4,75291,
5952.3,um^2,Surface,4,75292,
4907.19,um^2,Surface,4,75293,
9315.96,um^2,Surface,4,75294,
10245.9,um^2,Surface,4,75295,
2100.4,um^2,Surface,4,75296,
5031.5,um^2,Surface,4,75297,
3066.94,um^2,Surface,4,75298,
1258.44,um^2,Surface,4,75299,
4549.69,um^2,Surface,4,75300,
2252.08,um^2,Surface,4,75301,
3879.1,um^2,Surface,4,75302,
19748.3,um^2,Surface,4,75303,
11392.9,um^2,Surface,4,75304,
6157.73,um^2,Surface,4,75305,
8645.84,um^2,Surface,4,75306,
11667.7,um^2,Surface,4,75307,
7557.2,um^2,Surface,4,75308,
22332.4,um^2,Surface,4,75309,
1696.44,um^2,Surface,5,75310,
1656.39,um^2,Surface,5,75311,
6846.68,um^2,Surface,5,75312,
2159.23,um^2,Surface,5,75313,
771.345,um^2,Surface,5,75314,
9830.4,um^2,Surface,5,75315,
7376.05,um^2,Surface,5,75316,
4160.18,um^2,Surface,5,75317,
1668.46,um^2,Surface,5,75318,
10172.2,um^2,Surface,5,75319,
5611.71,um^2,Surface,5,75320,
6587.32,um^2,Surface,5,75321,
1241.95,um^2,Surface,5,75322,
8462.53,um^2,Surface,5,75323,
8738.35,um^2,Surface,5,75324,
7550.37,um^2,Surface,5,75325,
12020.7,um^2,Surface,5,75326,
5950.14,um^2,Surface,5,75327,
4785.01,um^2,Surface,5,75328,
9222.68,um^2,Surface,5,75329,
10147.3,um^2,Surface,5,75330,
2040.13,um^2,Surface,5,75331,
2680.78,um^2,Surface,5,75332,
4958.5,um^2,Surface,5,75333,
1255.31,um^2,Surface,5,75334,
4438.17,um^2,Surface,5,75335,
2432.65,um^2,Surface,5,75336,
4019.86,um^2,Surface,5,75337,
18965.2,um^2,Surface,5,75338,
11511.7,um^2,Surface,5,75339,
6081.39,um^2,Surface,5,75340,
8691.95,um^2,Surface,5,75341,
7477.34,um^2,Surface,5,75342,
12291.9,um^2,Surface,5,75343,
