
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.534479,,Surface,1,75172,
0.494057,,Surface,1,75173,
0.424435,,Surface,1,75174,
0.56624,,Surface,1,75175,
0.485608,,Surface,1,75176,
0.559318,,Surface,1,75177,
0.254367,,Surface,1,75178,
0.446201,,Surface,1,75179,
0.438969,,Surface,1,75180,
0.462378,,Surface,1,75181,
0.539803,,Surface,1,75182,
0.575835,,Surface,1,75183,
0.386941,,Surface,1,75184,
0.285877,,Surface,1,75185,
0.602569,,Surface,1,75186,
0.478005,,Surface,1,75187,
0.531458,,Surface,1,75188,
0.570338,,Surface,1,75189,
0.383318,,Surface,1,75190,
0.119594,,Surface,1,75191,
0.376063,,Surface,1,75192,
0.311255,,Surface,1,75193,
0.518986,,Surface,1,75194,
0.516985,,Surface,1,75195,
0.60227,,Surface,1,75196,
0.445898,,Surface,1,75197,
0.364979,,Surface,1,75198,
0.45784,,Surface,1,75199,
0.378343,,Surface,1,75200,
0.418582,,Surface,1,75201,
0.35437,,Surface,1,75202,
0.537359,,Surface,1,75203,
0.421787,,Surface,1,75204,
0.593117,,Surface,1,75205,
0.510422,,Surface,2,75206,
0.555324,,Surface,2,75207,
0.300263,,Surface,2,75208,
0.477408,,Surface,2,75209,
0.533206,,Surface,2,75210,
0.487048,,Surface,2,75211,
0.459334,,Surface,2,75212,
0.533972,,Surface,2,75213,
0.44223,,Surface,2,75214,
0.51997,,Surface,2,75215,
0.521473,,Surface,2,75216,
0.584445,,Surface,2,75217,
0.279261,,Surface,2,75218,
0.374693,,Surface,2,75219,
0.615547,,Surface,2,75220,
0.497918,,Surface,2,75221,
0.505259,,Surface,2,75222,
0.52122,,Surface,2,75223,
0.371571,,Surface,2,75224,
0.12393,,Surface,2,75225,
0.308838,,Surface,2,75226,
0.432739,,Surface,2,75227,
0.342984,,Surface,2,75228,
0.472422,,Surface,2,75229,
0.470602,,Surface,2,75230,
0.619596,,Surface,2,75231,
0.394964,,Surface,2,75232,
0.440077,,Surface,2,75233,
0.385576,,Surface,2,75234,
0.406222,,Surface,2,75235,
0.345304,,Surface,2,75236,
0.537228,,Surface,2,75237,
0.434915,,Surface,2,75238,
0.596058,,Surface,2,75239,
0.36627,,Surface,3,75240,
0.473699,,Surface,3,75241,
0.307243,,Surface,3,75242,
0.485643,,Surface,3,75243,
0.549648,,Surface,3,75244,
0.483495,,Surface,3,75245,
0.42977,,Surface,3,75246,
0.507374,,Surface,3,75247,
0.43189,,Surface,3,75248,
0.515164,,Surface,3,75249,
0.612801,,Surface,3,75250,
0.488743,,Surface,3,75251,
0.353135,,Surface,3,75252,
0.279258,,Surface,3,75253,
0.616974,,Surface,3,75254,
0.49781,,Surface,3,75255,
0.492684,,Surface,3,75256,
0.548639,,Surface,3,75257,
0.362826,,Surface,3,75258,
0.349731,,Surface,3,75259,
0.522255,,Surface,3,75260,
0.121036,,Surface,3,75261,
0.358397,,Surface,3,75262,
0.485665,,Surface,3,75263,
0.504398,,Surface,3,75264,
0.615029,,Surface,3,75265,
0.411027,,Surface,3,75266,
0.488447,,Surface,3,75267,
0.375919,,Surface,3,75268,
0.436637,,Surface,3,75269,
0.434896,,Surface,3,75270,
0.312391,,Surface,3,75271,
0.575914,,Surface,3,75272,
0.609126,,Surface,3,75273,
0.526884,,Surface,4,75274,
0.474979,,Surface,4,75275,
0.444159,,Surface,4,75276,
0.523347,,Surface,4,75277,
0.525945,,Surface,4,75278,
0.274771,,Surface,4,75279,
0.379333,,Surface,4,75280,
0.467182,,Surface,4,75281,
0.398999,,Surface,4,75282,
0.575146,,Surface,4,75283,
0.431726,,Surface,4,75284,
0.506646,,Surface,4,75285,
0.525362,,Surface,4,75286,
0.364272,,Surface,4,75287,
0.608471,,Surface,4,75288,
0.296181,,Surface,4,75289,
0.590918,,Surface,4,75290,
0.481252,,Surface,4,75291,
0.505066,,Surface,4,75292,
0.508926,,Surface,4,75293,
0.344313,,Surface,4,75294,
0.125618,,Surface,4,75295,
0.357901,,Surface,4,75296,
0.350729,,Surface,4,75297,
0.482498,,Surface,4,75298,
0.504729,,Surface,4,75299,
0.555764,,Surface,4,75300,
0.44499,,Surface,4,75301,
0.443407,,Surface,4,75302,
0.461613,,Surface,4,75303,
0.384305,,Surface,4,75304,
0.439769,,Surface,4,75305,
0.329888,,Surface,4,75306,
0.420759,,Surface,4,75307,
0.604544,,Surface,4,75308,
0.614675,,Surface,4,75309,
0.411909,,Surface,5,75310,
0.558353,,Surface,5,75311,
0.450333,,Surface,5,75312,
0.343781,,Surface,5,75313,
0.299035,,Surface,5,75314,
0.503995,,Surface,5,75315,
0.490751,,Surface,5,75316,
0.394363,,Surface,5,75317,
0.497193,,Surface,5,75318,
0.452123,,Surface,5,75319,
0.482903,,Surface,5,75320,
0.602022,,Surface,5,75321,
0.467702,,Surface,5,75322,
0.353791,,Surface,5,75323,
0.297949,,Surface,5,75324,
0.628202,,Surface,5,75325,
0.475967,,Surface,5,75326,
0.518276,,Surface,5,75327,
0.538381,,Surface,5,75328,
0.337874,,Surface,5,75329,
0.127047,,Surface,5,75330,
0.503047,,Surface,5,75331,
0.423001,,Surface,5,75332,
0.327283,,Surface,5,75333,
0.470774,,Surface,5,75334,
0.507941,,Surface,5,75335,
0.435935,,Surface,5,75336,
0.439028,,Surface,5,75337,
0.440316,,Surface,5,75338,
0.38662,,Surface,5,75339,
0.4428,,Surface,5,75340,
0.32967,,Surface,5,75341,
0.570287,,Surface,5,75342,
0.399696,,Surface,5,75343,
0.628545,,Surface,5,75344,
0.580985,,Surface,6,75345,
0.458104,,Surface,6,75346,
0.43956,,Surface,6,75347,
0.310934,,Surface,6,75348,
0.495168,,Surface,6,75349,
0.491409,,Surface,6,75350,
0.405951,,Surface,6,75351,
0.534994,,Surface,6,75352,
0.467786,,Surface,6,75353,
0.245167,,Surface,6,75354,
0.471794,,Surface,6,75355,
0.414413,,Surface,6,75356,
0.502796,,Surface,6,75357,
0.597322,,Surface,6,75358,
0.202963,,Surface,6,75359,
0.606549,,Surface,6,75360,
0.517865,,Surface,6,75361,
0.504069,,Surface,6,75362,
0.522841,,Surface,6,75363,
0.363964,,Surface,6,75364,
0.44876,,Surface,6,75365,
0.124445,,Surface,6,75366,
0.519533,,Surface,6,75367,
0.332453,,Surface,6,75368,
0.544287,,Surface,6,75369,
0.447928,,Surface,6,75370,
0.569707,,Surface,6,75371,
0.435573,,Surface,6,75372,
0.473516,,Surface,6,75373,
0.451144,,Surface,6,75374,
0.396583,,Surface,6,75375,
0.334997,,Surface,6,75376,
0.423182,,Surface,6,75377,
0.610089,,Surface,6,75378,
0.612003,,Surface,6,75379,
0.507823,,Surface,7,75380,
0.509963,,Surface,7,75381,
0.367559,,Surface,7,75382,
0.574919,,Surface,7,75383,
0.468007,,Surface,7,75384,
0.385927,,Surface,7,75385,
0.557981,,Surface,7,75386,
0.346212,,Surface,7,75387,
0.47793,,Surface,7,75388,
0.431519,,Surface,7,75389,
0.49115,,Surface,7,75390,
0.37323,,Surface,7,75391,
0.595269,,Surface,7,75392,
0.301962,,Surface,7,75393,
0.644705,,Surface,7,75394,
0.520303,,Surface,7,75395,
0.552804,,Surface,7,75396,
0.525053,,Surface,7,75397,
0.366562,,Surface,7,75398,
0.497437,,Surface,7,75399,
0.496222,,Surface,7,75400,
0.133638,,Surface,7,75401,
0.342297,,Surface,7,75402,
0.493491,,Surface,7,75403,
0.575681,,Surface,7,75404,
0.426585,,Surface,7,75405,
0.422811,,Surface,7,75406,
0.478062,,Surface,7,75407,
0.472451,,Surface,7,75408,
0.388173,,Surface,7,75409,
0.362517,,Surface,7,75410,
0.50287,,Surface,7,75411,
0.385243,,Surface,7,75412,
0.616935,,Surface,7,75413,
0.50949,,Surface,8,75414,
0.508158,,Surface,8,75415,
0.373915,,Surface,8,75416,
0.533424,,Surface,8,75417,
0.374408,,Surface,8,75418,
0.536994,,Surface,8,75419,
0.460145,,Surface,8,75420,
0.348775,,Surface,8,75421,
0.476375,,Surface,8,75422,
0.442044,,Surface,8,75423,
0.389636,,Surface,8,75424,
0.579815,,Surface,8,75425,
0.467962,,Surface,8,75426,
0.303807,,Surface,8,75427,
0.635405,,Surface,8,75428,
0.456954,,Surface,8,75429,
0.524016,,Surface,8,75430,
0.515825,,Surface,8,75431,
0.372172,,Surface,8,75432,
0.122187,,Surface,8,75433,
0.555955,,Surface,8,75434,
0.52308,,Surface,8,75435,
0.344599,,Surface,8,75436,
0.502988,,Surface,8,75437,
0.432275,,Surface,8,75438,
0.575154,,Surface,8,75439,
0.405961,,Surface,8,75440,
0.472899,,Surface,8,75441,
0.384821,,Surface,8,75442,
0.399849,,Surface,8,75443,
0.313797,,Surface,8,75444,
0.405287,,Surface,8,75445,
0.566338,,Surface,8,75446,
0.614493,,Surface,8,75447,
0.532497,,Surface,9,75448,
0.500697,,Surface,9,75449,
0.412347,,Surface,9,75450,
0.556082,,Surface,9,75451,
0.206792,,Surface,9,75452,
0.449213,,Surface,9,75453,
0.355634,,Surface,9,75454,
0.534661,,Surface,9,75455,
0.475374,,Surface,9,75456,
0.469906,,Surface,9,75457,
0.565585,,Surface,9,75458,
0.473851,,Surface,9,75459,
0.604483,,Surface,9,75460,
0.313741,,Surface,9,75461,
0.645912,,Surface,9,75462,
0.461212,,Surface,9,75463,
0.53423,,Surface,9,75464,
0.547641,,Surface,9,75465,
0.346515,,Surface,9,75466,
0.568128,,Surface,9,75467,
0.516765,,Surface,9,75468,
0.122047,,Surface,9,75469,
0.347428,,Surface,9,75470,
0.406481,,Surface,9,75471,
0.363103,,Surface,9,75472,
0.555105,,Surface,9,75473,
0.37504,,Surface,9,75474,
0.466581,,Surface,9,75475,
0.392069,,Surface,9,75476,
0.41225,,Surface,9,75477,
0.335295,,Surface,9,75478,
0.401062,,Surface,9,75479,
0.569402,,Surface,9,75480,
0.622144,,Surface,9,75481,
0.611986,,Surface,10,75482,
0.256328,,Surface,10,75483,
0.453276,,Surface,10,75484,
0.530174,,Surface,10,75485,
0.501159,,Surface,10,75486,
0.450729,,Surface,10,75487,
0.503406,,Surface,10,75488,
0.359547,,Surface,10,75489,
0.466403,,Surface,10,75490,
0.475145,,Surface,10,75491,
0.591896,,Surface,10,75492,
0.540925,,Surface,10,75493,
0.466636,,Surface,10,75494,
0.288525,,Surface,10,75495,
0.648203,,Surface,10,75496,
0.425987,,Surface,10,75497,
0.553174,,Surface,10,75498,
0.534348,,Surface,10,75499,
0.337525,,Surface,10,75500,
0.568708,,Surface,10,75501,
0.531122,,Surface,10,75502,
0.124738,,Surface,10,75503,
0.335303,,Surface,10,75504,
0.542894,,Surface,10,75505,
0.542682,,Surface,10,75506,
0.424064,,Surface,10,75507,
0.407261,,Surface,10,75508,
0.465763,,Surface,10,75509,
0.433258,,Surface,10,75510,
0.390094,,Surface,10,75511,
0.355484,,Surface,10,75512,
0.381147,,Surface,10,75513,
0.562518,,Surface,10,75514,
0.612281,,Surface,10,75515,
0.5072,,Surface,11,75516,
0.524136,,Surface,11,75517,
0.45241,,Surface,11,75518,
0.3711,,Surface,11,75519,
0.477781,,Surface,11,75520,
0.566881,,Surface,11,75521,
0.518939,,Surface,11,75522,
0.317186,,Surface,11,75523,
0.480486,,Surface,11,75524,
0.45302,,Surface,11,75525,
0.503431,,Surface,11,75526,
0.469745,,Surface,11,75527,
0.621011,,Surface,11,75528,
0.285517,,Surface,11,75529,
0.646099,,Surface,11,75530,
0.416248,,Surface,11,75531,
0.548316,,Surface,11,75532,
0.557021,,Surface,11,75533,
0.323031,,Surface,11,75534,
0.61084,,Surface,11,75535,
0.120644,,Surface,11,75536,
0.497829,,Surface,11,75537,
0.330972,,Surface,11,75538,
0.595131,,Surface,11,75539,
0.570368,,Surface,11,75540,
0.462101,,Surface,11,75541,
0.400286,,Surface,11,75542,
0.470951,,Surface,11,75543,
0.388408,,Surface,11,75544,
0.399298,,Surface,11,75545,
0.35664,,Surface,11,75546,
0.382261,,Surface,11,75547,
0.391197,,Surface,11,75548,
0.562567,,Surface,11,75549,
0.618556,,Surface,11,75550,
0.491776,,Surface,12,75551,
0.532699,,Surface,12,75552,
0.483928,,Surface,12,75553,
0.367097,,Surface,12,75554,
0.542636,,Surface,12,75555,
0.408567,,Surface,12,75556,
0.449944,,Surface,12,75557,
0.339315,,Surface,12,75558,
0.463109,,Surface,12,75559,
0.488688,,Surface,12,75560,
0.479413,,Surface,12,75561,
0.58585,,Surface,12,75562,
0.452703,,Surface,12,75563,
0.294135,,Surface,12,75564,
0.639082,,Surface,12,75565,
0.424213,,Surface,12,75566,
0.494923,,Surface,12,75567,
0.549384,,Surface,12,75568,
0.307474,,Surface,12,75569,
0.136306,,Surface,12,75570,
0.579214,,Surface,12,75571,
0.482118,,Surface,12,75572,
0.313863,,Surface,12,75573,
0.53569,,Surface,12,75574,
0.535786,,Surface,12,75575,
0.353987,,Surface,12,75576,
0.37323,,Surface,12,75577,
0.459438,,Surface,12,75578,
0.393246,,Surface,12,75579,
