
Time
 ==================== 
Time,Unit,Category,Time,ID,
0,s,Surface,1,75172,
0,s,Surface,1,75173,
0,s,Surface,1,75174,
0,s,Surface,1,75175,
0,s,Surface,1,75176,
0,s,Surface,1,75177,
0,s,Surface,1,75178,
0,s,Surface,1,75179,
0,s,Surface,1,75180,
0,s,Surface,1,75181,
0,s,Surface,1,75182,
0,s,Surface,1,75183,
0,s,Surface,1,75184,
0,s,Surface,1,75185,
0,s,Surface,1,75186,
0,s,Surface,1,75187,
0,s,Surface,1,75188,
0,s,Surface,1,75189,
0,s,Surface,1,75190,
0,s,Surface,1,75191,
0,s,Surface,1,75192,
0,s,Surface,1,75193,
0,s,Surface,1,75194,
0,s,Surface,1,75195,
0,s,Surface,1,75196,
0,s,Surface,1,75197,
0,s,Surface,1,75198,
0,s,Surface,1,75199,
0,s,Surface,1,75200,
0,s,Surface,1,75201,
0,s,Surface,1,75202,
0,s,Surface,1,75203,
0,s,Surface,1,75204,
0,s,Surface,1,75205,
118.354,s,Surface,2,75206,
118.354,s,Surface,2,75207,
118.354,s,Surface,2,75208,
118.354,s,Surface,2,75209,
118.354,s,Surface,2,75210,
118.354,s,Surface,2,75211,
118.354,s,Surface,2,75212,
118.354,s,Surface,2,75213,
118.354,s,Surface,2,75214,
118.354,s,Surface,2,75215,
118.354,s,Surface,2,75216,
118.354,s,Surface,2,75217,
118.354,s,Surface,2,75218,
118.354,s,Surface,2,75219,
118.354,s,Surface,2,75220,
118.354,s,Surface,2,75221,
118.354,s,Surface,2,75222,
118.354,s,Surface,2,75223,
118.354,s,Surface,2,75224,
118.354,s,Surface,2,75225,
118.354,s,Surface,2,75226,
118.354,s,Surface,2,75227,
118.354,s,Surface,2,75228,
118.354,s,Surface,2,75229,
118.354,s,Surface,2,75230,
118.354,s,Surface,2,75231,
118.354,s,Surface,2,75232,
118.354,s,Surface,2,75233,
118.354,s,Surface,2,75234,
118.354,s,Surface,2,75235,
118.354,s,Surface,2,75236,
118.354,s,Surface,2,75237,
118.354,s,Surface,2,75238,
118.354,s,Surface,2,75239,
238.075,s,Surface,3,75240,
238.075,s,Surface,3,75241,
238.075,s,Surface,3,75242,
238.075,s,Surface,3,75243,
238.075,s,Surface,3,75244,
238.075,s,Surface,3,75245,
238.075,s,Surface,3,75246,
238.075,s,Surface,3,75247,
238.075,s,Surface,3,75248,
238.075,s,Surface,3,75249,
238.075,s,Surface,3,75250,
238.075,s,Surface,3,75251,
238.075,s,Surface,3,75252,
238.075,s,Surface,3,75253,
238.075,s,Surface,3,75254,
238.075,s,Surface,3,75255,
238.075,s,Surface,3,75256,
238.075,s,Surface,3,75257,
238.075,s,Surface,3,75258,
238.075,s,Surface,3,75259,
238.075,s,Surface,3,75260,
238.075,s,Surface,3,75261,
238.075,s,Surface,3,75262,
238.075,s,Surface,3,75263,
238.075,s,Surface,3,75264,
238.075,s,Surface,3,75265,
238.075,s,Surface,3,75266,
238.075,s,Surface,3,75267,
238.075,s,Surface,3,75268,
238.075,s,Surface,3,75269,
238.075,s,Surface,3,75270,
238.075,s,Surface,3,75271,
238.075,s,Surface,3,75272,
238.075,s,Surface,3,75273,
357.778,s,Surface,4,75274,
357.778,s,Surface,4,75275,
357.778,s,Surface,4,75276,
357.778,s,Surface,4,75277,
357.778,s,Surface,4,75278,
357.778,s,Surface,4,75279,
357.778,s,Surface,4,75280,
357.778,s,Surface,4,75281,
357.778,s,Surface,4,75282,
357.778,s,Surface,4,75283,
357.778,s,Surface,4,75284,
357.778,s,Surface,4,75285,
357.778,s,Surface,4,75286,
357.778,s,Surface,4,75287,
357.778,s,Surface,4,75288,
357.778,s,Surface,4,75289,
357.778,s,Surface,4,75290,
357.778,s,Surface,4,75291,
357.778,s,Surface,4,75292,
357.778,s,Surface,4,75293,
357.778,s,Surface,4,75294,
357.778,s,Surface,4,75295,
357.778,s,Surface,4,75296,
357.778,s,Surface,4,75297,
357.778,s,Surface,4,75298,
357.778,s,Surface,4,75299,
357.778,s,Surface,4,75300,
357.778,s,Surface,4,75301,
357.778,s,Surface,4,75302,
357.778,s,Surface,4,75303,
357.778,s,Surface,4,75304,
357.778,s,Surface,4,75305,
357.778,s,Surface,4,75306,
357.778,s,Surface,4,75307,
357.778,s,Surface,4,75308,
357.778,s,Surface,4,75309,
477.513,s,Surface,5,75310,
477.513,s,Surface,5,75311,
477.513,s,Surface,5,75312,
477.513,s,Surface,5,75313,
477.513,s,Surface,5,75314,
477.513,s,Surface,5,75315,
477.513,s,Surface,5,75316,
477.513,s,Surface,5,75317,
477.513,s,Surface,5,75318,
477.513,s,Surface,5,75319,
477.513,s,Surface,5,75320,
477.513,s,Surface,5,75321,
477.513,s,Surface,5,75322,
477.513,s,Surface,5,75323,
477.513,s,Surface,5,75324,
477.513,s,Surface,5,75325,
477.513,s,Surface,5,75326,
477.513,s,Surface,5,75327,
477.513,s,Surface,5,75328,
477.513,s,Surface,5,75329,
477.513,s,Surface,5,75330,
477.513,s,Surface,5,75331,
477.513,s,Surface,5,75332,
477.513,s,Surface,5,75333,
477.513,s,Surface,5,75334,
477.513,s,Surface,5,75335,
477.513,s,Surface,5,75336,
477.513,s,Surface,5,75337,
477.513,s,Surface,5,75338,
477.513,s,Surface,5,75339,
477.513,s,Surface,5,75340,
477.513,s,Surface,5,75341,
477.513,s,Surface,5,75342,
477.513,s,Surface,5,75343,
477.513,s,Surface,5,75344,
597.234,s,Surface,6,75345,
597.234,s,Surface,6,75346,
597.234,s,Surface,6,75347,
597.234,s,Surface,6,75348,
597.234,s,Surface,6,75349,
597.234,s,Surface,6,75350,
597.234,s,Surface,6,75351,
597.234,s,Surface,6,75352,
597.234,s,Surface,6,75353,
597.234,s,Surface,6,75354,
597.234,s,Surface,6,75355,
597.234,s,Surface,6,75356,
597.234,s,Surface,6,75357,
597.234,s,Surface,6,75358,
597.234,s,Surface,6,75359,
597.234,s,Surface,6,75360,
597.234,s,Surface,6,75361,
597.234,s,Surface,6,75362,
597.234,s,Surface,6,75363,
597.234,s,Surface,6,75364,
597.234,s,Surface,6,75365,
597.234,s,Surface,6,75366,
597.234,s,Surface,6,75367,
597.234,s,Surface,6,75368,
597.234,s,Surface,6,75369,
597.234,s,Surface,6,75370,
597.234,s,Surface,6,75371,
597.234,s,Surface,6,75372,
597.234,s,Surface,6,75373,
597.234,s,Surface,6,75374,
597.234,s,Surface,6,75375,
597.234,s,Surface,6,75376,
597.234,s,Surface,6,75377,
597.234,s,Surface,6,75378,
597.234,s,Surface,6,75379,
716.955,s,Surface,7,75380,
716.955,s,Surface,7,75381,
716.955,s,Surface,7,75382,
716.955,s,Surface,7,75383,
716.955,s,Surface,7,75384,
716.955,s,Surface,7,75385,
716.955,s,Surface,7,75386,
716.955,s,Surface,7,75387,
716.955,s,Surface,7,75388,
716.955,s,Surface,7,75389,
716.955,s,Surface,7,75390,
716.955,s,Surface,7,75391,
716.955,s,Surface,7,75392,
716.955,s,Surface,7,75393,
716.955,s,Surface,7,75394,
716.955,s,Surface,7,75395,
716.955,s,Surface,7,75396,
716.955,s,Surface,7,75397,
716.955,s,Surface,7,75398,
716.955,s,Surface,7,75399,
716.955,s,Surface,7,75400,
716.955,s,Surface,7,75401,
716.955,s,Surface,7,75402,
716.955,s,Surface,7,75403,
716.955,s,Surface,7,75404,
716.955,s,Surface,7,75405,
716.955,s,Surface,7,75406,
716.955,s,Surface,7,75407,
716.955,s,Surface,7,75408,
716.955,s,Surface,7,75409,
716.955,s,Surface,7,75410,
716.955,s,Surface,7,75411,
716.955,s,Surface,7,75412,
716.955,s,Surface,7,75413,
836.657,s,Surface,8,75414,
836.657,s,Surface,8,75415,
836.657,s,Surface,8,75416,
836.657,s,Surface,8,75417,
836.657,s,Surface,8,75418,
836.657,s,Surface,8,75419,
836.657,s,Surface,8,75420,
836.657,s,Surface,8,75421,
836.657,s,Surface,8,75422,
836.657,s,Surface,8,75423,
836.657,s,Surface,8,75424,
836.657,s,Surface,8,75425,
836.657,s,Surface,8,75426,
836.657,s,Surface,8,75427,
836.657,s,Surface,8,75428,
836.657,s,Surface,8,75429,
836.657,s,Surface,8,75430,
836.657,s,Surface,8,75431,
836.657,s,Surface,8,75432,
836.657,s,Surface,8,75433,
836.657,s,Surface,8,75434,
836.657,s,Surface,8,75435,
836.657,s,Surface,8,75436,
836.657,s,Surface,8,75437,
836.657,s,Surface,8,75438,
836.657,s,Surface,8,75439,
836.657,s,Surface,8,75440,
836.657,s,Surface,8,75441,
836.657,s,Surface,8,75442,
836.657,s,Surface,8,75443,
836.657,s,Surface,8,75444,
836.657,s,Surface,8,75445,
836.657,s,Surface,8,75446,
836.657,s,Surface,8,75447,
956.393,s,Surface,9,75448,
956.393,s,Surface,9,75449,
956.393,s,Surface,9,75450,
956.393,s,Surface,9,75451,
956.393,s,Surface,9,75452,
956.393,s,Surface,9,75453,
956.393,s,Surface,9,75454,
956.393,s,Surface,9,75455,
956.393,s,Surface,9,75456,
956.393,s,Surface,9,75457,
956.393,s,Surface,9,75458,
956.393,s,Surface,9,75459,
956.393,s,Surface,9,75460,
956.393,s,Surface,9,75461,
956.393,s,Surface,9,75462,
956.393,s,Surface,9,75463,
956.393,s,Surface,9,75464,
956.393,s,Surface,9,75465,
956.393,s,Surface,9,75466,
956.393,s,Surface,9,75467,
956.393,s,Surface,9,75468,
956.393,s,Surface,9,75469,
956.393,s,Surface,9,75470,
956.393,s,Surface,9,75471,
956.393,s,Surface,9,75472,
956.393,s,Surface,9,75473,
956.393,s,Surface,9,75474,
956.393,s,Surface,9,75475,
956.393,s,Surface,9,75476,
956.393,s,Surface,9,75477,
956.393,s,Surface,9,75478,
956.393,s,Surface,9,75479,
956.393,s,Surface,9,75480,
956.393,s,Surface,9,75481,
1076.1,s,Surface,10,75482,
1076.1,s,Surface,10,75483,
1076.1,s,Surface,10,75484,
1076.1,s,Surface,10,75485,
1076.1,s,Surface,10,75486,
1076.1,s,Surface,10,75487,
1076.1,s,Surface,10,75488,
1076.1,s,Surface,10,75489,
