
Time Index
 ==================== 
Time Index,Unit,Category,Time,ID,
1,,Surface,1,75172,
1,,Surface,1,75173,
1,,Surface,1,75174,
1,,Surface,1,75175,
1,,Surface,1,75176,
1,,Surface,1,75177,
1,,Surface,1,75178,
1,,Surface,1,75179,
1,,Surface,1,75180,
1,,Surface,1,75181,
1,,Surface,1,75182,
1,,Surface,1,75183,
1,,Surface,1,75184,
1,,Surface,1,75185,
1,,Surface,1,75186,
1,,Surface,1,75187,
1,,Surface,1,75188,
1,,Surface,1,75189,
1,,Surface,1,75190,
1,,Surface,1,75191,
1,,Surface,1,75192,
1,,Surface,1,75193,
1,,Surface,1,75194,
1,,Surface,1,75195,
1,,Surface,1,75196,
1,,Surface,1,75197,
1,,Surface,1,75198,
1,,Surface,1,75199,
1,,Surface,1,75200,
1,,Surface,1,75201,
1,,Surface,1,75202,
1,,Surface,1,75203,
1,,Surface,1,75204,
1,,Surface,1,75205,
2,,Surface,2,75206,
2,,Surface,2,75207,
2,,Surface,2,75208,
2,,Surface,2,75209,
2,,Surface,2,75210,
2,,Surface,2,75211,
2,,Surface,2,75212,
2,,Surface,2,75213,
2,,Surface,2,75214,
2,,Surface,2,75215,
2,,Surface,2,75216,
2,,Surface,2,75217,
2,,Surface,2,75218,
2,,Surface,2,75219,
2,,Surface,2,75220,
2,,Surface,2,75221,
2,,Surface,2,75222,
2,,Surface,2,75223,
2,,Surface,2,75224,
2,,Surface,2,75225,
2,,Surface,2,75226,
2,,Surface,2,75227,
2,,Surface,2,75228,
2,,Surface,2,75229,
2,,Surface,2,75230,
2,,Surface,2,75231,
2,,Surface,2,75232,
2,,Surface,2,75233,
2,,Surface,2,75234,
2,,Surface,2,75235,
2,,Surface,2,75236,
2,,Surface,2,75237,
2,,Surface,2,75238,
2,,Surface,2,75239,
3,,Surface,3,75240,
3,,Surface,3,75241,
3,,Surface,3,75242,
3,,Surface,3,75243,
3,,Surface,3,75244,
3,,Surface,3,75245,
3,,Surface,3,75246,
3,,Surface,3,75247,
3,,Surface,3,75248,
3,,Surface,3,75249,
3,,Surface,3,75250,
3,,Surface,3,75251,
3,,Surface,3,75252,
3,,Surface,3,75253,
3,,Surface,3,75254,
3,,Surface,3,75255,
3,,Surface,3,75256,
3,,Surface,3,75257,
3,,Surface,3,75258,
3,,Surface,3,75259,
3,,Surface,3,75260,
3,,Surface,3,75261,
3,,Surface,3,75262,
3,,Surface,3,75263,
3,,Surface,3,75264,
3,,Surface,3,75265,
3,,Surface,3,75266,
3,,Surface,3,75267,
3,,Surface,3,75268,
3,,Surface,3,75269,
3,,Surface,3,75270,
3,,Surface,3,75271,
3,,Surface,3,75272,
3,,Surface,3,75273,
4,,Surface,4,75274,
4,,Surface,4,75275,
4,,Surface,4,75276,
4,,Surface,4,75277,
4,,Surface,4,75278,
4,,Surface,4,75279,
4,,Surface,4,75280,
4,,Surface,4,75281,
4,,Surface,4,75282,
4,,Surface,4,75283,
4,,Surface,4,75284,
4,,Surface,4,75285,
4,,Surface,4,75286,
4,,Surface,4,75287,
4,,Surface,4,75288,
4,,Surface,4,75289,
4,,Surface,4,75290,
4,,Surface,4,75291,
4,,Surface,4,75292,
4,,Surface,4,75293,
4,,Surface,4,75294,
4,,Surface,4,75295,
4,,Surface,4,75296,
4,,Surface,4,75297,
4,,Surface,4,75298,
4,,Surface,4,75299,
4,,Surface,4,75300,
4,,Surface,4,75301,
4,,Surface,4,75302,
4,,Surface,4,75303,
4,,Surface,4,75304,
4,,Surface,4,75305,
4,,Surface,4,75306,
4,,Surface,4,75307,
4,,Surface,4,75308,
4,,Surface,4,75309,
5,,Surface,5,75310,
5,,Surface,5,75311,
5,,Surface,5,75312,
5,,Surface,5,75313,
5,,Surface,5,75314,
5,,Surface,5,75315,
5,,Surface,5,75316,
5,,Surface,5,75317,
5,,Surface,5,75318,
5,,Surface,5,75319,
5,,Surface,5,75320,
5,,Surface,5,75321,
5,,Surface,5,75322,
5,,Surface,5,75323,
5,,Surface,5,75324,
5,,Surface,5,75325,
5,,Surface,5,75326,
5,,Surface,5,75327,
5,,Surface,5,75328,
5,,Surface,5,75329,
5,,Surface,5,75330,
5,,Surface,5,75331,
5,,Surface,5,75332,
5,,Surface,5,75333,
5,,Surface,5,75334,
5,,Surface,5,75335,
5,,Surface,5,75336,
5,,Surface,5,75337,
5,,Surface,5,75338,
5,,Surface,5,75339,
5,,Surface,5,75340,
5,,Surface,5,75341,
5,,Surface,5,75342,
5,,Surface,5,75343,
5,,Surface,5,75344,
6,,Surface,6,75345,
6,,Surface,6,75346,
6,,Surface,6,75347,
6,,Surface,6,75348,
6,,Surface,6,75349,
6,,Surface,6,75350,
6,,Surface,6,75351,
6,,Surface,6,75352,
6,,Surface,6,75353,
6,,Surface,6,75354,
6,,Surface,6,75355,
6,,Surface,6,75356,
6,,Surface,6,75357,
6,,Surface,6,75358,
6,,Surface,6,75359,
6,,Surface,6,75360,
6,,Surface,6,75361,
6,,Surface,6,75362,
6,,Surface,6,75363,
6,,Surface,6,75364,
6,,Surface,6,75365,
6,,Surface,6,75366,
6,,Surface,6,75367,
6,,Surface,6,75368,
6,,Surface,6,75369,
6,,Surface,6,75370,
6,,Surface,6,75371,
6,,Surface,6,75372,
6,,Surface,6,75373,
6,,Surface,6,75374,
6,,Surface,6,75375,
6,,Surface,6,75376,
6,,Surface,6,75377,
6,,Surface,6,75378,
6,,Surface,6,75379,
7,,Surface,7,75380,
7,,Surface,7,75381,
7,,Surface,7,75382,
7,,Surface,7,75383,
7,,Surface,7,75384,
7,,Surface,7,75385,
7,,Surface,7,75386,
7,,Surface,7,75387,
7,,Surface,7,75388,
7,,Surface,7,75389,
7,,Surface,7,75390,
7,,Surface,7,75391,
7,,Surface,7,75392,
7,,Surface,7,75393,
7,,Surface,7,75394,
7,,Surface,7,75395,
7,,Surface,7,75396,
7,,Surface,7,75397,
7,,Surface,7,75398,
7,,Surface,7,75399,
7,,Surface,7,75400,
7,,Surface,7,75401,
7,,Surface,7,75402,
7,,Surface,7,75403,
7,,Surface,7,75404,
7,,Surface,7,75405,
7,,Surface,7,75406,
7,,Surface,7,75407,
7,,Surface,7,75408,
7,,Surface,7,75409,
7,,Surface,7,75410,
7,,Surface,7,75411,
7,,Surface,7,75412,
7,,Surface,7,75413,
8,,Surface,8,75414,
8,,Surface,8,75415,
8,,Surface,8,75416,
8,,Surface,8,75417,
8,,Surface,8,75418,
8,,Surface,8,75419,
8,,Surface,8,75420,
8,,Surface,8,75421,
8,,Surface,8,75422,
8,,Surface,8,75423,
8,,Surface,8,75424,
8,,Surface,8,75425,
8,,Surface,8,75426,
8,,Surface,8,75427,
8,,Surface,8,75428,
8,,Surface,8,75429,
8,,Surface,8,75430,
8,,Surface,8,75431,
8,,Surface,8,75432,
8,,Surface,8,75433,
8,,Surface,8,75434,
8,,Surface,8,75435,
8,,Surface,8,75436,
8,,Surface,8,75437,
8,,Surface,8,75438,
8,,Surface,8,75439,
8,,Surface,8,75440,
8,,Surface,8,75441,
8,,Surface,8,75442,
8,,Surface,8,75443,
8,,Surface,8,75444,
8,,Surface,8,75445,
8,,Surface,8,75446,
8,,Surface,8,75447,
9,,Surface,9,75448,
9,,Surface,9,75449,
9,,Surface,9,75450,
9,,Surface,9,75451,
9,,Surface,9,75452,
9,,Surface,9,75453,
9,,Surface,9,75454,
9,,Surface,9,75455,
9,,Surface,9,75456,
9,,Surface,9,75457,
9,,Surface,9,75458,
9,,Surface,9,75459,
9,,Surface,9,75460,
9,,Surface,9,75461,
9,,Surface,9,75462,
9,,Surface,9,75463,
9,,Surface,9,75464,
9,,Surface,9,75465,
9,,Surface,9,75466,
9,,Surface,9,75467,
9,,Surface,9,75468,
9,,Surface,9,75469,
9,,Surface,9,75470,
9,,Surface,9,75471,
9,,Surface,9,75472,
9,,Surface,9,75473,
9,,Surface,9,75474,
9,,Surface,9,75475,
9,,Surface,9,75476,
9,,Surface,9,75477,
9,,Surface,9,75478,
9,,Surface,9,75479,
9,,Surface,9,75480,
9,,Surface,9,75481,
10,,Surface,10,75482,
10,,Surface,10,75483,
10,,Surface,10,75484,
10,,Surface,10,75485,
10,,Surface,10,75486,
10,,Surface,10,75487,
10,,Surface,10,75488,
10,,Surface,10,75489,
10,,Surface,10,75490,
10,,Surface,10,75491,
10,,Surface,10,75492,
10,,Surface,10,75493,
10,,Surface,10,75494,
10,,Surface,10,75495,
10,,Surface,10,75496,
10,,Surface,10,75497,
10,,Surface,10,75498,
10,,Surface,10,75499,
10,,Surface,10,75500,
10,,Surface,10,75501,
10,,Surface,10,75502,
10,,Surface,10,75503,
10,,Surface,10,75504,
