
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,TrackID,ID,
0.456659,,Surface,1,1000052648,52648,
0.622366,,Surface,1,1000052649,52649,
0.41408,,Surface,1,1000052650,52650,
0.673184,,Surface,1,1000052651,52651,
0.55136,,Surface,1,1000052652,52652,
0.386679,,Surface,1,1000052653,52653,
0.457301,,Surface,1,1000052654,52654,
0.553626,,Surface,1,1000052655,52655,
0.552935,,Surface,1,1000052656,52656,
0.293806,,Surface,1,1000052657,52657,
0.405629,,Surface,1,1000052658,52658,
0.458597,,Surface,1,1000052659,52659,
0.347925,,Surface,1,1000052660,52660,
0.586463,,Surface,1,1000052661,52661,
0.409098,,Surface,1,1000052662,52662,
0.546249,,Surface,1,1000052663,52663,
0.504166,,Surface,1,1000052664,52664,
0.466719,,Surface,1,1000052665,52665,
0.269045,,Surface,1,1000052666,52666,
0.466012,,Surface,1,1000052667,52667,
0.389429,,Surface,1,1000052668,52668,
0.477501,,Surface,1,1000052669,52669,
0.556528,,Surface,1,1000052670,52670,
0.66973,,Surface,1,1000052671,52671,
0.491233,,Surface,1,1000052672,52672,
0.427054,,Surface,1,1000052673,52673,
0.472196,,Surface,1,1000052674,52674,
0.620168,,Surface,1,1000052675,52675,
0.584397,,Surface,1,1000052676,52676,
0.242478,,Surface,1,1000052677,52677,
0.598218,,Surface,1,1000052678,52678,
0.522878,,Surface,1,1000052679,52679,
0.472118,,Surface,1,1000052680,52680,
0.824036,,Surface,1,1000052681,52681,
0.613672,,Surface,1,1000052682,52682,
0.463266,,Surface,1,1000052683,52683,
0.375361,,Surface,1,1000052684,52684,
0.538282,,Surface,1,1000052685,52685,
0.369884,,Surface,1,1000052686,52686,
0.457816,,Surface,1,1000052687,52687,
0.739319,,Surface,1,1000052688,52688,
0.300854,,Surface,1,1000052689,52689,
0.341317,,Surface,1,1000052690,52690,
0.423959,,Surface,1,1000052691,52691,
0.603176,,Surface,1,1000052692,52692,
0.581653,,Surface,1,1000052693,52693,
0.666338,,Surface,1,1000052694,52694,
0.220561,,Surface,1,1000052695,52695,
0.591379,,Surface,1,1000052696,52696,
0.264296,,Surface,1,1000052697,52697,
0.300327,,Surface,1,1000052698,52698,
0.40947,,Surface,1,1000052699,52699,
0.775511,,Surface,1,1000052700,52700,
0.526471,,Surface,1,1000052701,52701,
0.411775,,Surface,1,1000052702,52702,
0.49276,,Surface,1,1000052703,52703,
0.413342,,Surface,1,1000052704,52704,
0.706743,,Surface,1,1000052705,52705,
0.559469,,Surface,1,1000052706,52706,
0.453896,,Surface,1,1000052707,52707,
0.162537,,Surface,1,1000052708,52708,
0.342532,,Surface,1,1000052709,52709,
0.476435,,Surface,1,1000052710,52710,
0.372434,,Surface,1,1000052711,52711,
0.657013,,Surface,1,1000052712,52712,
0.35689,,Surface,1,1000052713,52713,
0.578224,,Surface,1,1000052714,52714,
0.303802,,Surface,1,1000052715,52715,
0.188355,,Surface,1,1000052716,52716,
0.340815,,Surface,1,1000052717,52717,
0.627648,,Surface,1,1000052718,52718,
0.45292,,Surface,1,1000052719,52719,
0.546418,,Surface,1,1000052720,52720,
0.531531,,Surface,1,1000052721,52721,
0.149427,,Surface,1,1000052722,52722,
0.634322,,Surface,1,1000052723,52723,
0.454821,,Surface,1,1000052724,52724,
0.429727,,Surface,1,1000052725,52725,
0.546789,,Surface,1,1000052726,52726,
0.435535,,Surface,1,1000052727,52727,
0.547638,,Surface,1,1000052728,52728,
0.428442,,Surface,1,1000052729,52729,
0.557936,,Surface,1,1000052730,52730,
0.120607,,Surface,1,1000052731,52731,
0.340224,,Surface,1,1000052732,52732,
0.310102,,Surface,1,1000052733,52733,
0.48131,,Surface,1,1000052734,52734,
0.440351,,Surface,1,1000052735,52735,
0.337902,,Surface,1,1000052736,52736,
0.516202,,Surface,2,1000052671,52737,
0.736836,,Surface,2,1000052650,52738,
0.469281,,Surface,2,1000052649,52739,
0.67038,,Surface,2,1000052651,52740,
0.72178,,Surface,2,1000052655,52741,
0.550648,,Surface,2,1000052652,52742,
0.380984,,Surface,2,1000052653,52743,
0.699174,,Surface,2,1000052654,52744,
0.290565,,Surface,2,1000052656,52745,
0.436485,,Surface,2,1000052657,52746,
0.432963,,Surface,2,1000052658,52747,
0.554254,,Surface,2,1000052659,52748,
0.475287,,Surface,2,1000052660,52749,
0.400702,,Surface,2,1000052661,52750,
0.390897,,Surface,2,1000052663,52751,
0.544819,,Surface,2,1000052662,52752,
0.537454,,Surface,2,1000052665,52753,
0.391059,,Surface,2,1000052664,52754,
0.157963,,Surface,2,1000052666,52755,
0.330694,,Surface,2,1000052667,52756,
0.494608,,Surface,2,1000052670,52757,
0.35453,,Surface,2,1000052669,52758,
0.40601,,Surface,2,1000052673,52759,
