
Intensity Mean Ch=3 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,TrackID,ID,
48.9804,,Surface,3,Image 1,1,1000052648,52648,
43.8958,,Surface,3,Image 1,1,1000052649,52649,
44.4058,,Surface,3,Image 1,1,1000052650,52650,
51.4111,,Surface,3,Image 1,1,1000052651,52651,
58.9268,,Surface,3,Image 1,1,1000052652,52652,
37.1389,,Surface,3,Image 1,1,1000052653,52653,
41.6167,,Surface,3,Image 1,1,1000052654,52654,
48.3778,,Surface,3,Image 1,1,1000052655,52655,
36.6364,,Surface,3,Image 1,1,1000052656,52656,
46.8095,,Surface,3,Image 1,1,1000052657,52657,
68.9362,,Surface,3,Image 1,1,1000052658,52658,
44.6707,,Surface,3,Image 1,1,1000052659,52659,
19.0556,,Surface,3,Image 1,1,1000052660,52660,
60.9677,,Surface,3,Image 1,1,1000052661,52661,
57.1184,,Surface,3,Image 1,1,1000052662,52662,
51.6304,,Surface,3,Image 1,1,1000052663,52663,
44.0125,,Surface,3,Image 1,1,1000052664,52664,
50.2195,,Surface,3,Image 1,1,1000052665,52665,
58.1311,,Surface,3,Image 1,1,1000052666,52666,
45.0536,,Surface,3,Image 1,1,1000052667,52667,
51.7273,,Surface,3,Image 1,1,1000052668,52668,
56.8219,,Surface,3,Image 1,1,1000052669,52669,
39.5849,,Surface,3,Image 1,1,1000052670,52670,
60.9897,,Surface,3,Image 1,1,1000052671,52671,
46.7164,,Surface,3,Image 1,1,1000052672,52672,
54.8246,,Surface,3,Image 1,1,1000052673,52673,
37.6667,,Surface,3,Image 1,1,1000052674,52674,
50.9836,,Surface,3,Image 1,1,1000052675,52675,
43.5352,,Surface,3,Image 1,1,1000052676,52676,
28.8378,,Surface,3,Image 1,1,1000052677,52677,
33.4444,,Surface,3,Image 1,1,1000052678,52678,
37.9286,,Surface,3,Image 1,1,1000052679,52679,
51.3188,,Surface,3,Image 1,1,1000052680,52680,
40.9677,,Surface,3,Image 1,1,1000052681,52681,
23.0323,,Surface,3,Image 1,1,1000052682,52682,
45.5455,,Surface,3,Image 1,1,1000052683,52683,
54.7042,,Surface,3,Image 1,1,1000052684,52684,
