
Intensity Mean Ch=8 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,TrackID,ID,
62.697,,Surface,8,Image 1,1,1000067170,67170,
43.6857,,Surface,8,Image 1,1,1000067171,67171,
48.8852,,Surface,8,Image 1,1,1000067172,67172,
51.5699,,Surface,8,Image 1,1,1000067173,67173,
31.2941,,Surface,8,Image 1,1,1000067174,67174,
50.3146,,Surface,8,Image 1,1,1000067175,67175,
48.4578,,Surface,8,Image 1,1,1000067176,67176,
59.1579,,Surface,8,Image 1,1,1000067177,67177,
52.3158,,Surface,8,Image 1,1,1000067178,67178,
26.5,,Surface,8,Image 1,1,1000067179,67179,
34.7647,,Surface,8,Image 1,1,1000067180,67180,
24.5,,Surface,8,Image 1,1,1000067181,67181,
47.0741,,Surface,8,Image 1,1,1000067182,67182,
43.9725,,Surface,8,Image 1,1,1000067183,67183,
44.9036,,Surface,8,Image 1,1,1000067184,67184,
26,,Surface,8,Image 1,1,1000067185,67185,
22.25,,Surface,8,Image 1,1,1000067186,67186,
49.7328,,Surface,8,Image 1,1,1000067187,67187,
28.9524,,Surface,8,Image 1,1,1000067188,67188,
32.0455,,Surface,8,Image 1,1,1000067189,67189,
40.0583,,Surface,8,Image 1,1,1000067190,67190,
43.4528,,Surface,8,Image 1,1,1000067191,67191,
34.45,,Surface,8,Image 1,1,1000067192,67192,
46.4655,,Surface,8,Image 1,1,1000067193,67193,
26.3333,,Surface,8,Image 1,1,1000067194,67194,
57.9412,,Surface,8,Image 1,1,1000067195,67195,
22.6042,,Surface,8,Image 1,1,1000067196,67196,
34.0625,,Surface,8,Image 1,1,1000067197,67197,
48.9882,,Surface,8,Image 1,1,1000067198,67198,
37.8667,,Surface,8,Image 1,1,1000067199,67199,
41.2346,,Surface,8,Image 1,1,1000067200,67200,
39.1667,,Surface,8,Image 1,1,1000067201,67201,
27.8,,Surface,8,Image 1,1,1000067202,67202,
25.3,,Surface,8,Image 1,1,1000067203,67203,
40.8667,,Surface,8,Image 1,1,1000067204,67204,
28.6923,,Surface,8,Image 1,1,1000067205,67205,
31.4906,,Surface,8,Image 1,1,1000067206,67206,
28.5333,,Surface,8,Image 1,1,1000067207,67207,
53.2,,Surface,8,Image 1,1,1000067208,67208,
33.0612,,Surface,8,Image 1,1,1000067209,67209,
37.3,,Surface,8,Image 1,1,1000067210,67210,
57.4643,,Surface,8,Image 1,1,1000067211,67211,
44.9459,,Surface,8,Image 1,1,1000067212,67212,
51,,Surface,8,Image 1,1,1000067213,67213,
30.2812,,Surface,8,Image 1,1,1000067214,67214,
62.2842,,Surface,8,Image 1,1,1000067215,67215,
23.7,,Surface,8,Image 1,1,1000067216,67216,
47.9828,,Surface,8,Image 1,1,1000067217,67217,
55.125,,Surface,8,Image 1,1,1000067218,67218,
36.0588,,Surface,8,Image 1,1,1000067219,67219,
70.8478,,Surface,8,Image 1,1,1000067220,67220,
43.3023,,Surface,8,Image 1,1,1000067221,67221,
44.9318,,Surface,8,Image 1,1,1000067222,67222,
54.4419,,Surface,8,Image 1,1,1000067223,67223,
48.1477,,Surface,8,Image 1,1,1000067224,67224,
21.3784,,Surface,8,Image 1,1,1000067225,67225,
34.6,,Surface,8,Image 1,1,1000067226,67226,
60.6429,,Surface,8,Image 1,1,1000067227,67227,
46.5294,,Surface,8,Image 1,1,1000067228,67228,
58.481,,Surface,8,Image 1,1,1000067229,67229,
52.2247,,Surface,8,Image 1,1,1000067230,67230,
23.2692,,Surface,8,Image 1,1,1000067231,67231,
74.8906,,Surface,8,Image 1,1,1000067232,67232,
44.1277,,Surface,8,Image 1,1,1000067233,67233,
51.6184,,Surface,8,Image 1,1,1000067234,67234,
42.9825,,Surface,8,Image 1,1,1000067235,67235,
59.7609,,Surface,8,Image 1,1,1000067236,67236,
60.2647,,Surface,8,Image 1,1,1000067237,67237,
37.566,,Surface,8,Image 1,1,1000067238,67238,
60.0741,,Surface,8,Image 1,1,1000067239,67239,
47.2174,,Surface,8,Image 1,1,1000067240,67240,
22.7,,Surface,8,Image 1,1,1000067241,67241,
35.2414,,Surface,8,Image 1,1,1000067242,67242,
27.3659,,Surface,8,Image 1,1,1000067243,67243,
39.2338,,Surface,8,Image 1,1,1000067244,67244,
62.8987,,Surface,8,Image 1,1,1000067245,67245,
33.75,,Surface,8,Image 1,1,1000067246,67246,
48.88,,Surface,8,Image 1,1,1000067247,67247,
