
Intensity Min Ch=9 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,TrackID,ID,
18,,Surface,9,Image 1,1,1000067170,67170,
14,,Surface,9,Image 1,1,1000067171,67171,
5,,Surface,9,Image 1,1,1000067172,67172,
82,,Surface,9,Image 1,1,1000067173,67173,
33,,Surface,9,Image 1,1,1000067174,67174,
13,,Surface,9,Image 1,1,1000067175,67175,
53,,Surface,9,Image 1,1,1000067176,67176,
26,,Surface,9,Image 1,1,1000067177,67177,
48,,Surface,9,Image 1,1,1000067178,67178,
62,,Surface,9,Image 1,1,1000067179,67179,
77,,Surface,9,Image 1,1,1000067180,67180,
85,,Surface,9,Image 1,1,1000067181,67181,
83,,Surface,9,Image 1,1,1000067182,67182,
11,,Surface,9,Image 1,1,1000067183,67183,
85,,Surface,9,Image 1,1,1000067184,67184,
55,,Surface,9,Image 1,1,1000067185,67185,
110,,Surface,9,Image 1,1,1000067186,67186,
7,,Surface,9,Image 1,1,1000067187,67187,
47,,Surface,9,Image 1,1,1000067188,67188,
25,,Surface,9,Image 1,1,1000067189,67189,
1,,Surface,9,Image 1,1,1000067190,67190,
7,,Surface,9,Image 1,1,1000067191,67191,
25,,Surface,9,Image 1,1,1000067192,67192,
12,,Surface,9,Image 1,1,1000067193,67193,
46,,Surface,9,Image 1,1,1000067194,67194,
26,,Surface,9,Image 1,1,1000067195,67195,
11,,Surface,9,Image 1,1,1000067196,67196,
41,,Surface,9,Image 1,1,1000067197,67197,
3,,Surface,9,Image 1,1,1000067198,67198,
0,,Surface,9,Image 1,1,1000067199,67199,
1,,Surface,9,Image 1,1,1000067200,67200,
12,,Surface,9,Image 1,1,1000067201,67201,
18,,Surface,9,Image 1,1,1000067202,67202,
35,,Surface,9,Image 1,1,1000067203,67203,
14,,Surface,9,Image 1,1,1000067204,67204,
53,,Surface,9,Image 1,1,1000067205,67205,
24,,Surface,9,Image 1,1,1000067206,67206,
38,,Surface,9,Image 1,1,1000067207,67207,
64,,Surface,9,Image 1,1,1000067208,67208,
6,,Surface,9,Image 1,1,1000067209,67209,
56,,Surface,9,Image 1,1,1000067210,67210,
47,,Surface,9,Image 1,1,1000067211,67211,
28,,Surface,9,Image 1,1,1000067212,67212,
32,,Surface,9,Image 1,1,1000067213,67213,
19,,Surface,9,Image 1,1,1000067214,67214,
69,,Surface,9,Image 1,1,1000067215,67215,
17,,Surface,9,Image 1,1,1000067216,67216,
0,,Surface,9,Image 1,1,1000067217,67217,
1,,Surface,9,Image 1,1,1000067218,67218,
25,,Surface,9,Image 1,1,1000067219,67219,
37,,Surface,9,Image 1,1,1000067220,67220,
7,,Surface,9,Image 1,1,1000067221,67221,
3,,Surface,9,Image 1,1,1000067222,67222,
16,,Surface,9,Image 1,1,1000067223,67223,
33,,Surface,9,Image 1,1,1000067224,67224,
3,,Surface,9,Image 1,1,1000067225,67225,
0,,Surface,9,Image 1,1,1000067226,67226,
28,,Surface,9,Image 1,1,1000067227,67227,
8,,Surface,9,Image 1,1,1000067228,67228,
27,,Surface,9,Image 1,1,1000067229,67229,
60,,Surface,9,Image 1,1,1000067230,67230,
1,,Surface,9,Image 1,1,1000067231,67231,
17,,Surface,9,Image 1,1,1000067232,67232,
25,,Surface,9,Image 1,1,1000067233,67233,
10,,Surface,9,Image 1,1,1000067234,67234,
17,,Surface,9,Image 1,1,1000067235,67235,
34,,Surface,9,Image 1,1,1000067236,67236,
11,,Surface,9,Image 1,1,1000067237,67237,
18,,Surface,9,Image 1,1,1000067238,67238,
17,,Surface,9,Image 1,1,1000067239,67239,
33,,Surface,9,Image 1,1,1000067240,67240,
3,,Surface,9,Image 1,1,1000067241,67241,
9,,Surface,9,Image 1,1,1000067242,67242,
40,,Surface,9,Image 1,1,1000067243,67243,
5,,Surface,9,Image 1,1,1000067244,67244,
3,,Surface,9,Image 1,1,1000067245,67245,
8,,Surface,9,Image 1,1,1000067246,67246,
3,,Surface,9,Image 1,1,1000067247,67247,
47,,Surface,9,Image 1,1,1000067248,67248,
17,,Surface,9,Image 1,1,1000067249,67249,
32,,Surface,9,Image 1,1,1000067250,67250,
46,,Surface,9,Image 1,1,1000067251,67251,
55,,Surface,9,Image 1,1,1000067252,67252,
78,,Surface,9,Image 1,1,1000067253,67253,
33,,Surface,9,Image 1,1,1000067254,67254,
38,,Surface,9,Image 1,1,1000067255,67255,
61,,Surface,9,Image 1,1,1000067256,67256,
55,,Surface,9,Image 1,1,1000067257,67257,
14,,Surface,9,Image 1,1,1000067258,67258,
102,,Surface,9,Image 1,1,1000067259,67259,
3,,Surface,9,Image 1,1,1000067260,67260,
74,,Surface,9,Image 1,1,1000067261,67261,
16,,Surface,9,Image 1,1,1000067262,67262,
60,,Surface,9,Image 1,1,1000067263,67263,
47,,Surface,9,Image 1,1,1000067264,67264,
69,,Surface,9,Image 1,1,1000067265,67265,
40,,Surface,9,Image 1,1,1000067266,67266,
35,,Surface,9,Image 1,1,1000067267,67267,
35,,Surface,9,Image 1,1,1000067268,67268,
21,,Surface,9,Image 1,1,1000067269,67269,
47,,Surface,9,Image 1,1,1000067270,67270,
23,,Surface,9,Image 1,1,1000067271,67271,
28,,Surface,9,Image 1,1,1000067272,67272,
12,,Surface,9,Image 1,1,1000067273,67273,
23,,Surface,9,Image 1,1,1000067274,67274,
10,,Surface,9,Image 1,1,1000067275,67275,
0,,Surface,9,Image 1,1,1000067276,67276,
44,,Surface,9,Image 1,1,1000067277,67277,
5,,Surface,9,Image 1,1,1000067278,67278,
7,,Surface,9,Image 1,1,1000067279,67279,
21,,Surface,9,Image 1,1,1000067280,67280,
70,,Surface,9,Image 1,1,1000067281,67281,
1,,Surface,9,Image 1,1,1000067282,67282,
39,,Surface,9,Image 1,1,1000067283,67283,
139,,Surface,9,Image 1,1,1000067284,67284,
74,,Surface,9,Image 1,1,1000067285,67285,
60,,Surface,9,Image 1,1,1000067286,67286,
5,,Surface,9,Image 1,2,1000067198,67287,
7,,Surface,9,Image 1,2,1000067191,67288,
28,,Surface,9,Image 1,2,1000067192,67289,
53,,Surface,9,Image 1,2,1000067194,67290,
14,,Surface,9,Image 1,2,1000067171,67291,
11,,Surface,9,Image 1,2,1000067172,67292,
17,,Surface,9,Image 1,2,1000067170,67293,
83,,Surface,9,Image 1,2,1000067173,67294,
37,,Surface,9,Image 1,2,1000067174,67295,
17,,Surface,9,Image 1,2,1000067175,67296,
53,,Surface,9,Image 1,2,1000067176,67297,
30,,Surface,9,Image 1,2,1000067177,67298,
51,,Surface,9,Image 1,2,1000067178,67299,
74,,Surface,9,Image 1,2,1000067181,67300,
76,,Surface,9,Image 1,2,1000067180,67301,
65,,Surface,9,Image 1,2,1000067179,67302,
82,,Surface,9,Image 1,2,1000067182,67303,
91,,Surface,9,Image 1,2,1000067184,67304,
8,,Surface,9,Image 1,2,1000067183,67305,
17,,Surface,9,Image 1,2,1000067306,67306,
56,,Surface,9,Image 1,2,1000067185,67307,
108,,Surface,9,Image 1,2,1000067186,67308,
18,,Surface,9,Image 1,2,1000067309,67309,
9,,Surface,9,Image 1,2,1000067187,67310,
47,,Surface,9,Image 1,2,1000067188,67311,
22,,Surface,9,Image 1,2,1000067189,67312,
0,,Surface,9,Image 1,2,1000067313,67313,
3,,Surface,9,Image 1,2,1000067190,67314,
23,,Surface,9,Image 1,2,1000067195,67315,
10,,Surface,9,Image 1,2,1000067193,67316,
12,,Surface,9,Image 1,2,1000067196,67317,
2,,Surface,9,Image 1,2,1000067200,67318,
41,,Surface,9,Image 1,2,1000067197,67319,
0,,Surface,9,Image 1,2,1000067199,67320,
11,,Surface,9,Image 1,2,1000067204,67321,
20,,Surface,9,Image 1,2,1000067202,67322,
53,,Surface,9,Image 1,2,1000067205,67323,
24,,Surface,9,Image 1,2,1000067206,67324,
38,,Surface,9,Image 1,2,1000067207,67325,
64,,Surface,9,Image 1,2,1000067208,67326,
47,,Surface,9,Image 1,2,1000067211,67327,
3,,Surface,9,Image 1,2,1000067209,67328,
56,,Surface,9,Image 1,2,1000067210,67329,
15,,Surface,9,Image 1,2,1000067214,67330,
3,,Surface,9,Image 1,2,1000067331,67331,
33,,Surface,9,Image 1,2,1000067212,67332,
0,,Surface,9,Image 1,2,1000067217,67333,
64,,Surface,9,Image 1,2,1000067215,67334,
32,,Surface,9,Image 1,2,1000067213,67335,
17,,Surface,9,Image 1,2,1000067216,67336,
0,,Surface,9,Image 1,2,1000067218,67337,
7,,Surface,9,Image 1,2,1000067338,67338,
23,,Surface,9,Image 1,2,1000067219,67339,
10,,Surface,9,Image 1,2,1000067222,67340,
31,,Surface,9,Image 1,2,1000067224,67341,
7,,Surface,9,Image 1,2,1000067221,67342,
14,,Surface,9,Image 1,2,1000067223,67343,
27,,Surface,9,Image 1,2,1000067229,67344,
1,,Surface,9,Image 1,2,1000067226,67345,
9,,Surface,9,Image 1,2,1000067228,67346,
2,,Surface,9,Image 1,2,1000067225,67347,
28,,Surface,9,Image 1,2,1000067227,67348,
20,,Surface,9,Image 1,2,1000067232,67349,
0,,Surface,9,Image 1,2,1000067231,67350,
60,,Surface,9,Image 1,2,1000067230,67351,
24,,Surface,9,Image 1,2,1000067233,67352,
20,,Surface,9,Image 1,2,1000067235,67353,
7,,Surface,9,Image 1,2,1000067234,67354,
12,,Surface,9,Image 1,2,1000067237,67355,
7,,Surface,9,Image 1,2,1000067238,67356,
30,,Surface,9,Image 1,2,1000067236,67357,
17,,Surface,9,Image 1,2,1000067239,67358,
32,,Surface,9,Image 1,2,1000067240,67359,
39,,Surface,9,Image 1,2,1000067243,67360,
11,,Surface,9,Image 1,2,1000067242,67361,
5,,Surface,9,Image 1,2,1000067244,67362,
46,,Surface,9,Image 1,2,1000067248,67363,
8,,Surface,9,Image 1,2,1000067247,67364,
21,,Surface,9,Image 1,2,1000067249,67365,
3,,Surface,9,Image 1,2,1000067245,67366,
44,,Surface,9,Image 1,2,1000067251,67367,
60,,Surface,9,Image 1,2,1000067252,67368,
32,,Surface,9,Image 1,2,1000067254,67369,
32,,Surface,9,Image 1,2,1000067250,67370,
40,,Surface,9,Image 1,2,1000067255,67371,
53,,Surface,9,Image 1,2,1000067257,67372,
12,,Surface,9,Image 1,2,1000067258,67373,
81,,Surface,9,Image 1,2,1000067261,67374,
81,,Surface,9,Image 1,2,1000067253,67375,
56,,Surface,9,Image 1,2,1000067263,67376,
106,,Surface,9,Image 1,2,1000067259,67377,
65,,Surface,9,Image 1,2,1000067256,67378,
20,,Surface,9,Image 1,2,1000067262,67379,
70,,Surface,9,Image 1,2,1000067265,67380,
40,,Surface,9,Image 1,2,1000067266,67381,
32,,Surface,9,Image 1,2,1000067268,67382,
37,,Surface,9,Image 1,2,1000067267,67383,
40,,Surface,9,Image 1,2,1000067270,67384,
27,,Surface,9,Image 1,2,1000067274,67385,
19,,Surface,9,Image 1,2,1000067271,67386,
14,,Surface,9,Image 1,2,1000067273,67387,
55,,Surface,9,Image 1,2,1000067272,67388,
3,,Surface,9,Image 1,2,1000067275,67389,
45,,Surface,9,Image 1,2,1000067277,67390,
0,,Surface,9,Image 1,2,1000067276,67391,
7,,Surface,9,Image 1,2,1000067279,67392,
1,,Surface,9,Image 1,2,1000067393,67393,
14,,Surface,9,Image 1,2,1000067280,67394,
60,,Surface,9,Image 1,2,1000067286,67395,
70,,Surface,9,Image 1,2,1000067396,67396,
10,,Surface,9,Image 1,2,1000067278,67397,
1,,Surface,9,Image 1,2,1000067282,67398,
53,,Surface,9,Image 1,2,1000067399,67399,
40,,Surface,9,Image 1,2,1000067283,67400,
139,,Surface,9,Image 1,2,1000067284,67401,
74,,Surface,9,Image 1,2,1000067285,67402,
81,,Surface,9,Image 1,2,1000067281,67403,
21,,Surface,9,Image 1,3,1000067170,67404,
12,,Surface,9,Image 1,3,1000067171,67405,
22,,Surface,9,Image 1,3,1000067175,67406,
82,,Surface,9,Image 1,3,1000067173,67407,
35,,Surface,9,Image 1,3,1000067174,67408,
53,,Surface,9,Image 1,3,1000067176,67409,
32,,Surface,9,Image 1,3,1000067177,67410,
54,,Surface,9,Image 1,3,1000067178,67411,
64,,Surface,9,Image 1,3,1000067179,67412,
74,,Surface,9,Image 1,3,1000067180,67413,
83,,Surface,9,Image 1,3,1000067182,67414,
18,,Surface,9,Image 1,3,1000067306,67415,
7,,Surface,9,Image 1,3,1000067183,67416,
94,,Surface,9,Image 1,3,1000067184,67417,
110,,Surface,9,Image 1,3,1000067186,67418,
18,,Surface,9,Image 1,3,1000067309,67419,
10,,Surface,9,Image 1,3,1000067187,67420,
92,,Surface,9,Image 1,3,1000067421,67421,
47,,Surface,9,Image 1,3,1000067188,67422,
2,,Surface,9,Image 1,3,1000067313,67423,
2,,Surface,9,Image 1,3,1000067190,67424,
46,,Surface,9,Image 1,3,1000067194,67425,
12,,Surface,9,Image 1,3,1000067172,67426,
1,,Surface,9,Image 1,3,1000067198,67427,
10,,Surface,9,Image 1,3,1000067193,67428,
28,,Surface,9,Image 1,3,1000067192,67429,
8,,Surface,9,Image 1,3,1000067191,67430,
25,,Surface,9,Image 1,3,1000067195,67431,
10,,Surface,9,Image 1,3,1000067196,67432,
1,,Surface,9,Image 1,3,1000067200,67433,
42,,Surface,9,Image 1,3,1000067197,67434,
11,,Surface,9,Image 1,3,1000067201,67435,
2,,Surface,9,Image 1,3,1000067199,67436,
35,,Surface,9,Image 1,3,1000067203,67437,
12,,Surface,9,Image 1,3,1000067204,67438,
15,,Surface,9,Image 1,3,1000067202,67439,
64,,Surface,9,Image 1,3,1000067208,67440,
17,,Surface,9,Image 1,3,1000067206,67441,
5,,Surface,9,Image 1,3,1000067442,67442,
53,,Surface,9,Image 1,3,1000067205,67443,
48,,Surface,9,Image 1,3,1000067211,67444,
56,,Surface,9,Image 1,3,1000067210,67445,
38,,Surface,9,Image 1,3,1000067207,67446,
13,,Surface,9,Image 1,3,1000067214,67447,
1,,Surface,9,Image 1,3,1000067331,67448,
30,,Surface,9,Image 1,3,1000067212,67449,
3,,Surface,9,Image 1,3,1000067218,67450,
30,,Surface,9,Image 1,3,1000067213,67451,
17,,Surface,9,Image 1,3,1000067216,67452,
53,,Surface,9,Image 1,3,1000067215,67453,
23,,Surface,9,Image 1,3,1000067219,67454,
3,,Surface,9,Image 1,3,1000067222,67455,
15,,Surface,9,Image 1,3,1000067223,67456,
36,,Surface,9,Image 1,3,1000067220,67457,
0,,Surface,9,Image 1,3,1000067226,67458,
39,,Surface,9,Image 1,3,1000067224,67459,
27,,Surface,9,Image 1,3,1000067227,67460,
3,,Surface,9,Image 1,3,1000067225,67461,
7,,Surface,9,Image 1,3,1000067228,67462,
27,,Surface,9,Image 1,3,1000067229,67463,
60,,Surface,9,Image 1,3,1000067230,67464,
2,,Surface,9,Image 1,3,1000067231,67465,
11,,Surface,9,Image 1,3,1000067234,67466,
22,,Surface,9,Image 1,3,1000067232,67467,
23,,Surface,9,Image 1,3,1000067235,67468,
7,,Surface,9,Image 1,3,1000067237,67469,
25,,Surface,9,Image 1,3,1000067233,67470,
17,,Surface,9,Image 1,3,1000067239,67471,
30,,Surface,9,Image 1,3,1000067236,67472,
28,,Surface,9,Image 1,3,1000067240,67473,
1,,Surface,9,Image 1,3,1000067241,67474,
9,,Surface,9,Image 1,3,1000067242,67475,
0,,Surface,9,Image 1,3,1000067238,67476,
6,,Surface,9,Image 1,3,1000067244,67477,
39,,Surface,9,Image 1,3,1000067243,67478,
47,,Surface,9,Image 1,3,1000067248,67479,
18,,Surface,9,Image 1,3,1000067249,67480,
5,,Surface,9,Image 1,3,1000067245,67481,
46,,Surface,9,Image 1,3,1000067251,67482,
60,,Surface,9,Image 1,3,1000067252,67483,
3,,Surface,9,Image 1,3,1000067247,67484,
38,,Surface,9,Image 1,3,1000067255,67485,
35,,Surface,9,Image 1,3,1000067250,67486,
