
Speed
 ==================== 
Speed,Unit,Category,Time,TrackID,ID,
0.0291237,um/s,Surface,1,1000067170,67170,
0.0195137,um/s,Surface,1,1000067171,67171,
0.105887,um/s,Surface,1,1000067172,67172,
0.00670251,um/s,Surface,1,1000067173,67173,
0.0541847,um/s,Surface,1,1000067174,67174,
0.049691,um/s,Surface,1,1000067175,67175,
0.0210575,um/s,Surface,1,1000067176,67176,
0.028352,um/s,Surface,1,1000067177,67177,
0.0058394,um/s,Surface,1,1000067178,67178,
0.00781094,um/s,Surface,1,1000067179,67179,
0.012771,um/s,Surface,1,1000067180,67180,
0.0756677,um/s,Surface,1,1000067181,67181,
0.0254357,um/s,Surface,1,1000067182,67182,
0.0602494,um/s,Surface,1,1000067183,67183,
0.0816783,um/s,Surface,1,1000067184,67184,
0.0215779,um/s,Surface,1,1000067185,67185,
0.0152263,um/s,Surface,1,1000067186,67186,
0.0203739,um/s,Surface,1,1000067187,67187,
0.0195791,um/s,Surface,1,1000067188,67188,
0.0137687,um/s,Surface,1,1000067189,67189,
0.0284774,um/s,Surface,1,1000067190,67190,
0.0675406,um/s,Surface,1,1000067191,67191,
0.01204,um/s,Surface,1,1000067192,67192,
0.0661742,um/s,Surface,1,1000067193,67193,
0.0120218,um/s,Surface,1,1000067194,67194,
0.0289761,um/s,Surface,1,1000067195,67195,
0.0122797,um/s,Surface,1,1000067196,67196,
0.0082259,um/s,Surface,1,1000067197,67197,
0.0254043,um/s,Surface,1,1000067198,67198,
0.00879123,um/s,Surface,1,1000067199,67199,
0.0260549,um/s,Surface,1,1000067200,67200,
0.00149869,um/s,Surface,1,1000067201,67201,
0.0217536,um/s,Surface,1,1000067202,67202,
0,um/s,Surface,1,1000067203,67203,
0.0674195,um/s,Surface,1,1000067204,67204,
0.00410318,um/s,Surface,1,1000067205,67205,
0.083087,um/s,Surface,1,1000067206,67206,
0.0171954,um/s,Surface,1,1000067207,67207,
0.00573472,um/s,Surface,1,1000067208,67208,
0.0249047,um/s,Surface,1,1000067209,67209,
0.0163326,um/s,Surface,1,1000067210,67210,
0.00222866,um/s,Surface,1,1000067211,67211,
0.0258006,um/s,Surface,1,1000067212,67212,
0.0104543,um/s,Surface,1,1000067213,67213,
0.0189843,um/s,Surface,1,1000067214,67214,
0.0692417,um/s,Surface,1,1000067215,67215,
0.00867881,um/s,Surface,1,1000067216,67216,
0.0119885,um/s,Surface,1,1000067217,67217,
0.0105893,um/s,Surface,1,1000067218,67218,
0.00263191,um/s,Surface,1,1000067219,67219,
0.0138991,um/s,Surface,1,1000067220,67220,
0.0391732,um/s,Surface,1,1000067221,67221,
0.0370942,um/s,Surface,1,1000067222,67222,
0.00977701,um/s,Surface,1,1000067223,67223,
0.098953,um/s,Surface,1,1000067224,67224,
0.0339016,um/s,Surface,1,1000067225,67225,
0.0124799,um/s,Surface,1,1000067226,67226,
0.014408,um/s,Surface,1,1000067227,67227,
0.0499023,um/s,Surface,1,1000067228,67228,
0.00254147,um/s,Surface,1,1000067229,67229,
0.0455151,um/s,Surface,1,1000067230,67230,
0.0174969,um/s,Surface,1,1000067231,67231,
0.0591505,um/s,Surface,1,1000067232,67232,
0.00521203,um/s,Surface,1,1000067233,67233,
0.015383,um/s,Surface,1,1000067234,67234,
0.0465726,um/s,Surface,1,1000067235,67235,
0.022054,um/s,Surface,1,1000067236,67236,
0.0607983,um/s,Surface,1,1000067237,67237,
0.0800378,um/s,Surface,1,1000067238,67238,
0.00495854,um/s,Surface,1,1000067239,67239,
0.00259798,um/s,Surface,1,1000067240,67240,
0.0128132,um/s,Surface,1,1000067241,67241,
0.02918,um/s,Surface,1,1000067242,67242,
0.0368282,um/s,Surface,1,1000067243,67243,
0.0148926,um/s,Surface,1,1000067244,67244,
0.0153149,um/s,Surface,1,1000067245,67245,
