
Displacement Delta
 ==================== 
Displacement Delta X,Displacement Delta Y,Displacement Delta Z,Unit,Category,Collection,Time,TrackID,ID,
0,0,0,um,Surface,Displacement Delta,1,1000081032,81032,
0,0,0,um,Surface,Displacement Delta,1,1000081033,81033,
0,0,0,um,Surface,Displacement Delta,1,1000081034,81034,
0,0,0,um,Surface,Displacement Delta,1,1000081035,81035,
0,0,0,um,Surface,Displacement Delta,1,1000081036,81036,
0,0,0,um,Surface,Displacement Delta,1,1000081037,81037,
0,0,0,um,Surface,Displacement Delta,1,1000081038,81038,
0,0,0,um,Surface,Displacement Delta,1,1000081039,81039,
0,0,0,um,Surface,Displacement Delta,1,1000081040,81040,
0,0,0,um,Surface,Displacement Delta,1,1000081041,81041,
0,0,0,um,Surface,Displacement Delta,1,1000081042,81042,
0,0,0,um,Surface,Displacement Delta,1,1000081043,81043,
0,0,0,um,Surface,Displacement Delta,1,1000081044,81044,
0,0,0,um,Surface,Displacement Delta,1,1000081045,81045,
0,0,0,um,Surface,Displacement Delta,1,1000081046,81046,
0,0,0,um,Surface,Displacement Delta,1,1000081047,81047,
0,0,0,um,Surface,Displacement Delta,1,1000081048,81048,
0,0,0,um,Surface,Displacement Delta,1,1000081049,81049,
0,0,0,um,Surface,Displacement Delta,1,1000081050,81050,
0,0,0,um,Surface,Displacement Delta,1,1000081051,81051,
0,0,0,um,Surface,Displacement Delta,1,1000081052,81052,
0,0,0,um,Surface,Displacement Delta,1,1000081053,81053,
0,0,0,um,Surface,Displacement Delta,1,1000081054,81054,
0,0,0,um,Surface,Displacement Delta,1,1000081055,81055,
0,0,0,um,Surface,Displacement Delta,1,1000081056,81056,
0,0,0,um,Surface,Displacement Delta,1,1000081057,81057,
0,0,0,um,Surface,Displacement Delta,1,1000081058,81058,
0,0,0,um,Surface,Displacement Delta,1,1000081059,81059,
0,0,0,um,Surface,Displacement Delta,1,1000081060,81060,
0,0,0,um,Surface,Displacement Delta,1,1000081061,81061,
0,0,0,um,Surface,Displacement Delta,1,1000081062,81062,
0,0,0,um,Surface,Displacement Delta,1,1000081063,81063,
0,0,0,um,Surface,Displacement Delta,1,1000081064,81064,
0,0,0,um,Surface,Displacement Delta,1,1000081065,81065,
0,0,0,um,Surface,Displacement Delta,1,1000081066,81066,
0,0,0,um,Surface,Displacement Delta,1,1000081067,81067,
0,0,0,um,Surface,Displacement Delta,1,1000081068,81068,
0,0,0,um,Surface,Displacement Delta,1,1000081069,81069,
0,0,0,um,Surface,Displacement Delta,1,1000081070,81070,
0,0,0,um,Surface,Displacement Delta,1,1000081071,81071,
0,0,0,um,Surface,Displacement Delta,1,1000081072,81072,
0,0,0,um,Surface,Displacement Delta,1,1000081073,81073,
0,0,0,um,Surface,Displacement Delta,1,1000081074,81074,
0,0,0,um,Surface,Displacement Delta,1,1000081075,81075,
0,0,0,um,Surface,Displacement Delta,1,1000081076,81076,
0,0,0,um,Surface,Displacement Delta,1,1000081077,81077,
0,0,0,um,Surface,Displacement Delta,1,1000081078,81078,
0,0,0,um,Surface,Displacement Delta,1,1000081079,81079,
0,0,0,um,Surface,Displacement Delta,1,1000081080,81080,
0,0,0,um,Surface,Displacement Delta,1,1000081081,81081,
0,0,0,um,Surface,Displacement Delta,1,1000081082,81082,
0,0,0,um,Surface,Displacement Delta,1,1000081083,81083,
0,0,0,um,Surface,Displacement Delta,1,1000081084,81084,
0,0,0,um,Surface,Displacement Delta,1,1000081085,81085,
0,0,0,um,Surface,Displacement Delta,1,1000081086,81086,
0,0,0,um,Surface,Displacement Delta,1,1000081087,81087,
0,0,0,um,Surface,Displacement Delta,1,1000081088,81088,
0,0,0,um,Surface,Displacement Delta,1,1000081089,81089,
0,0,0,um,Surface,Displacement Delta,1,1000081090,81090,
0,0,0,um,Surface,Displacement Delta,1,1000081091,81091,
0,0,0,um,Surface,Displacement Delta,1,1000081092,81092,
