
Intensity Min Ch=9 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,TrackID,ID,
16,,Surface,9,Image 1,1,1000081032,81032,
41,,Surface,9,Image 1,1,1000081033,81033,
43,,Surface,9,Image 1,1,1000081034,81034,
32,,Surface,9,Image 1,1,1000081035,81035,
33,,Surface,9,Image 1,1,1000081036,81036,
54,,Surface,9,Image 1,1,1000081037,81037,
20,,Surface,9,Image 1,1,1000081038,81038,
9,,Surface,9,Image 1,1,1000081039,81039,
34,,Surface,9,Image 1,1,1000081040,81040,
18,,Surface,9,Image 1,1,1000081041,81041,
2,,Surface,9,Image 1,1,1000081042,81042,
13,,Surface,9,Image 1,1,1000081043,81043,
57,,Surface,9,Image 1,1,1000081044,81044,
35,,Surface,9,Image 1,1,1000081045,81045,
7,,Surface,9,Image 1,1,1000081046,81046,
47,,Surface,9,Image 1,1,1000081047,81047,
10,,Surface,9,Image 1,1,1000081048,81048,
32,,Surface,9,Image 1,1,1000081049,81049,
4,,Surface,9,Image 1,1,1000081050,81050,
29,,Surface,9,Image 1,1,1000081051,81051,
26,,Surface,9,Image 1,1,1000081052,81052,
6,,Surface,9,Image 1,1,1000081053,81053,
0,,Surface,9,Image 1,1,1000081054,81054,
42,,Surface,9,Image 1,1,1000081055,81055,
38,,Surface,9,Image 1,1,1000081056,81056,
9,,Surface,9,Image 1,1,1000081057,81057,
40,,Surface,9,Image 1,1,1000081058,81058,
39,,Surface,9,Image 1,1,1000081059,81059,
40,,Surface,9,Image 1,1,1000081060,81060,
31,,Surface,9,Image 1,1,1000081061,81061,
41,,Surface,9,Image 1,1,1000081062,81062,
24,,Surface,9,Image 1,1,1000081063,81063,
25,,Surface,9,Image 1,1,1000081064,81064,
18,,Surface,9,Image 1,1,1000081065,81065,
45,,Surface,9,Image 1,1,1000081066,81066,
27,,Surface,9,Image 1,1,1000081067,81067,
56,,Surface,9,Image 1,1,1000081068,81068,
9,,Surface,9,Image 1,1,1000081069,81069,
14,,Surface,9,Image 1,1,1000081070,81070,
39,,Surface,9,Image 1,1,1000081071,81071,
20,,Surface,9,Image 1,1,1000081072,81072,
55,,Surface,9,Image 1,1,1000081073,81073,
2,,Surface,9,Image 1,1,1000081074,81074,
5,,Surface,9,Image 1,1,1000081075,81075,
71,,Surface,9,Image 1,1,1000081076,81076,
26,,Surface,9,Image 1,1,1000081077,81077,
22,,Surface,9,Image 1,1,1000081078,81078,
23,,Surface,9,Image 1,1,1000081079,81079,
23,,Surface,9,Image 1,1,1000081080,81080,
21,,Surface,9,Image 1,1,1000081081,81081,
56,,Surface,9,Image 1,1,1000081082,81082,
13,,Surface,9,Image 1,1,1000081083,81083,
15,,Surface,9,Image 1,1,1000081084,81084,
15,,Surface,9,Image 1,1,1000081085,81085,
28,,Surface,9,Image 1,1,1000081086,81086,
8,,Surface,9,Image 1,1,1000081087,81087,
36,,Surface,9,Image 1,1,1000081088,81088,
22,,Surface,9,Image 1,1,1000081089,81089,
3,,Surface,9,Image 1,1,1000081090,81090,
1,,Surface,9,Image 1,1,1000081091,81091,
1,,Surface,9,Image 1,1,1000081092,81092,
38,,Surface,9,Image 1,1,1000081093,81093,
67,,Surface,9,Image 1,1,1000081094,81094,
25,,Surface,9,Image 1,1,1000081095,81095,
49,,Surface,9,Image 1,1,1000081096,81096,
0,,Surface,9,Image 1,1,1000081097,81097,
0,,Surface,9,Image 1,1,1000081098,81098,
3,,Surface,9,Image 1,1,1000081099,81099,
66,,Surface,9,Image 1,1,1000081100,81100,
28,,Surface,9,Image 1,1,1000081101,81101,
10,,Surface,9,Image 1,1,1000081102,81102,
36,,Surface,9,Image 1,1,1000081103,81103,
51,,Surface,9,Image 1,1,1000081104,81104,
60,,Surface,9,Image 1,1,1000081105,81105,
39,,Surface,9,Image 1,1,1000081106,81106,
25,,Surface,9,Image 1,1,1000081107,81107,
0,,Surface,9,Image 1,1,1000081108,81108,
31,,Surface,9,Image 1,1,1000081109,81109,
5,,Surface,9,Image 1,1,1000081110,81110,
0,,Surface,9,Image 1,1,1000081111,81111,
18,,Surface,9,Image 1,1,1000081112,81112,
69,,Surface,9,Image 1,1,1000081113,81113,
80,,Surface,9,Image 1,1,1000081114,81114,
24,,Surface,9,Image 1,1,1000081115,81115,
4,,Surface,9,Image 1,1,1000081116,81116,
66,,Surface,9,Image 1,1,1000081117,81117,
22,,Surface,9,Image 1,1,1000081118,81118,
95,,Surface,9,Image 1,1,1000081119,81119,
1,,Surface,9,Image 1,1,1000081120,81120,
10,,Surface,9,Image 1,1,1000081121,81121,
17,,Surface,9,Image 1,1,1000081122,81122,
28,,Surface,9,Image 1,1,1000081123,81123,
44,,Surface,9,Image 1,1,1000081124,81124,
62,,Surface,9,Image 1,1,1000081125,81125,
8,,Surface,9,Image 1,1,1000081126,81126,
46,,Surface,9,Image 1,1,1000081127,81127,
29,,Surface,9,Image 1,1,1000081128,81128,
1,,Surface,9,Image 1,1,1000081129,81129,
21,,Surface,9,Image 1,1,1000081130,81130,
2,,Surface,9,Image 1,1,1000081131,81131,
26,,Surface,9,Image 1,1,1000081132,81132,
9,,Surface,9,Image 1,1,1000081133,81133,
18,,Surface,9,Image 1,1,1000081134,81134,
65,,Surface,9,Image 1,1,1000081135,81135,
3,,Surface,9,Image 1,1,1000081136,81136,
26,,Surface,9,Image 1,1,1000081137,81137,
5,,Surface,9,Image 1,1,1000081138,81138,
49,,Surface,9,Image 1,1,1000081139,81139,
37,,Surface,9,Image 1,1,1000081140,81140,
58,,Surface,9,Image 1,1,1000081141,81141,
43,,Surface,9,Image 1,1,1000081142,81142,
50,,Surface,9,Image 1,1,1000081143,81143,
63,,Surface,9,Image 1,1,1000081144,81144,
74,,Surface,9,Image 1,1,1000081145,81145,
61,,Surface,9,Image 1,1,1000081146,81146,
10,,Surface,9,Image 1,1,1000081147,81147,
18,,Surface,9,Image 1,1,1000081148,81148,
36,,Surface,9,Image 1,1,1000081149,81149,
8,,Surface,9,Image 1,1,1000081150,81150,
7,,Surface,9,Image 1,1,1000081151,81151,
31,,Surface,9,Image 1,1,1000081152,81152,
32,,Surface,9,Image 1,1,1000081153,81153,
3,,Surface,9,Image 1,1,1000081154,81154,
4,,Surface,9,Image 1,1,1000081155,81155,
23,,Surface,9,Image 1,1,1000081156,81156,
89,,Surface,9,Image 1,1,1000081157,81157,
88,,Surface,9,Image 1,1,1000081158,81158,
34,,Surface,9,Image 1,1,1000081159,81159,
2,,Surface,9,Image 1,2,1000081053,81160,
42,,Surface,9,Image 1,2,1000081034,81161,
30,,Surface,9,Image 1,2,1000081035,81162,
33,,Surface,9,Image 1,2,1000081036,81163,
35,,Surface,9,Image 1,2,1000081038,81164,
9,,Surface,9,Image 1,2,1000081039,81165,
3,,Surface,9,Image 1,2,1000081042,81166,
55,,Surface,9,Image 1,2,1000081037,81167,
18,,Surface,9,Image 1,2,1000081041,81168,
35,,Surface,9,Image 1,2,1000081040,81169,
11,,Surface,9,Image 1,2,1000081043,81170,
57,,Surface,9,Image 1,2,1000081044,81171,
36,,Surface,9,Image 1,2,1000081045,81172,
43,,Surface,9,Image 1,2,1000081047,81173,
10,,Surface,9,Image 1,2,1000081048,81174,
3,,Surface,9,Image 1,2,1000081050,81175,
30,,Surface,9,Image 1,2,1000081051,81176,
25,,Surface,9,Image 1,2,1000081052,81177,
0,,Surface,9,Image 1,2,1000081054,81178,
17,,Surface,9,Image 1,2,1000081032,81179,
47,,Surface,9,Image 1,2,1000081033,81180,
8,,Surface,9,Image 1,2,1000081057,81181,
40,,Surface,9,Image 1,2,1000081058,81182,
39,,Surface,9,Image 1,2,1000081055,81183,
43,,Surface,9,Image 1,2,1000081056,81184,
38,,Surface,9,Image 1,2,1000081060,81185,
50,,Surface,9,Image 1,2,1000081186,81186,
33,,Surface,9,Image 1,2,1000081061,81187,
32,,Surface,9,Image 1,2,1000081188,81188,
40,,Surface,9,Image 1,2,1000081059,81189,
5,,Surface,9,Image 1,2,1000081069,81190,
45,,Surface,9,Image 1,2,1000081066,81191,
41,,Surface,9,Image 1,2,1000081062,81192,
40,,Surface,9,Image 1,2,1000081064,81193,
18,,Surface,9,Image 1,2,1000081065,81194,
60,,Surface,9,Image 1,2,1000081068,81195,
39,,Surface,9,Image 1,2,1000081071,81196,
24,,Surface,9,Image 1,2,1000081067,81197,
50,,Surface,9,Image 1,2,1000081073,81198,
3,,Surface,9,Image 1,2,1000081074,81199,
14,,Surface,9,Image 1,2,1000081070,81200,
21,,Surface,9,Image 1,2,1000081072,81201,
16,,Surface,9,Image 1,2,1000081078,81202,
22,,Surface,9,Image 1,2,1000081080,81203,
15,,Surface,9,Image 1,2,1000081075,81204,
28,,Surface,9,Image 1,2,1000081086,81205,
21,,Surface,9,Image 1,2,1000081081,81206,
25,,Surface,9,Image 1,2,1000081077,81207,
14,,Surface,9,Image 1,2,1000081085,81208,
22,,Surface,9,Image 1,2,1000081079,81209,
57,,Surface,9,Image 1,2,1000081082,81210,
36,,Surface,9,Image 1,2,1000081088,81211,
13,,Surface,9,Image 1,2,1000081084,81212,
14,,Surface,9,Image 1,2,1000081083,81213,
3,,Surface,9,Image 1,2,1000081091,81214,
1,,Surface,9,Image 1,2,1000081092,81215,
38,,Surface,9,Image 1,2,1000081093,81216,
3,,Surface,9,Image 1,2,1000081090,81217,
1,,Surface,9,Image 1,2,1000081087,81218,
27,,Surface,9,Image 1,2,1000081095,81219,
22,,Surface,9,Image 1,2,1000081089,81220,
46,,Surface,9,Image 1,2,1000081096,81221,
3,,Surface,9,Image 1,2,1000081099,81222,
3,,Surface,9,Image 1,2,1000081223,81223,
63,,Surface,9,Image 1,2,1000081094,81224,
69,,Surface,9,Image 1,2,1000081100,81225,
26,,Surface,9,Image 1,2,1000081101,81226,
0,,Surface,9,Image 1,2,1000081098,81227,
43,,Surface,9,Image 1,2,1000081106,81228,
53,,Surface,9,Image 1,2,1000081104,81229,
1,,Surface,9,Image 1,2,1000081097,81230,
60,,Surface,9,Image 1,2,1000081105,81231,
9,,Surface,9,Image 1,2,1000081102,81232,
32,,Surface,9,Image 1,2,1000081103,81233,
0,,Surface,9,Image 1,2,1000081108,81234,
31,,Surface,9,Image 1,2,1000081107,81235,
39,,Surface,9,Image 1,2,1000081109,81236,
18,,Surface,9,Image 1,2,1000081112,81237,
1,,Surface,9,Image 1,2,1000081111,81238,
0,,Surface,9,Image 1,2,1000081239,81239,
79,,Surface,9,Image 1,2,1000081114,81240,
69,,Surface,9,Image 1,2,1000081113,81241,
14,,Surface,9,Image 1,2,1000081110,81242,
0,,Surface,9,Image 1,2,1000081120,81243,
67,,Surface,9,Image 1,2,1000081117,81244,
1,,Surface,9,Image 1,2,1000081116,81245,
21,,Surface,9,Image 1,2,1000081118,81246,
88,,Surface,9,Image 1,2,1000081119,81247,
25,,Surface,9,Image 1,2,1000081115,81248,
10,,Surface,9,Image 1,2,1000081121,81249,
17,,Surface,9,Image 1,2,1000081122,81250,
35,,Surface,9,Image 1,2,1000081123,81251,
0,,Surface,9,Image 1,2,1000081129,81252,
65,,Surface,9,Image 1,2,1000081125,81253,
10,,Surface,9,Image 1,2,1000081126,81254,
46,,Surface,9,Image 1,2,1000081127,81255,
30,,Surface,9,Image 1,2,1000081128,81256,
42,,Surface,9,Image 1,2,1000081124,81257,
10,,Surface,9,Image 1,2,1000081136,81258,
18,,Surface,9,Image 1,2,1000081134,81259,
1,,Surface,9,Image 1,2,1000081131,81260,
25,,Surface,9,Image 1,2,1000081130,81261,
25,,Surface,9,Image 1,2,1000081137,81262,
3,,Surface,9,Image 1,2,1000081263,81263,
38,,Surface,9,Image 1,2,1000081140,81264,
25,,Surface,9,Image 1,2,1000081132,81265,
9,,Surface,9,Image 1,2,1000081133,81266,
5,,Surface,9,Image 1,2,1000081138,81267,
67,,Surface,9,Image 1,2,1000081135,81268,
49,,Surface,9,Image 1,2,1000081139,81269,
43,,Surface,9,Image 1,2,1000081142,81270,
59,,Surface,9,Image 1,2,1000081141,81271,
50,,Surface,9,Image 1,2,1000081143,81272,
62,,Surface,9,Image 1,2,1000081146,81273,
10,,Surface,9,Image 1,2,1000081274,81274,
78,,Surface,9,Image 1,2,1000081145,81275,
7,,Surface,9,Image 1,2,1000081147,81276,
43,,Surface,9,Image 1,2,1000081149,81277,
62,,Surface,9,Image 1,2,1000081144,81278,
22,,Surface,9,Image 1,2,1000081152,81279,
7,,Surface,9,Image 1,2,1000081280,81280,
17,,Surface,9,Image 1,2,1000081148,81281,
7,,Surface,9,Image 1,2,1000081154,81282,
9,,Surface,9,Image 1,2,1000081150,81283,
7,,Surface,9,Image 1,2,1000081151,81284,
3,,Surface,9,Image 1,2,1000081155,81285,
20,,Surface,9,Image 1,2,1000081156,81286,
32,,Surface,9,Image 1,2,1000081153,81287,
95,,Surface,9,Image 1,2,1000081158,81288,
87,,Surface,9,Image 1,2,1000081157,81289,
31,,Surface,9,Image 1,2,1000081159,81290,
17,,Surface,9,Image 1,3,1000081032,81291,
5,,Surface,9,Image 1,3,1000081053,81292,
47,,Surface,9,Image 1,3,1000081033,81293,
42,,Surface,9,Image 1,3,1000081034,81294,
30,,Surface,9,Image 1,3,1000081035,81295,
32,,Surface,9,Image 1,3,1000081036,81296,
38,,Surface,9,Image 1,3,1000081038,81297,
8,,Surface,9,Image 1,3,1000081039,81298,
3,,Surface,9,Image 1,3,1000081042,81299,
39,,Surface,9,Image 1,3,1000081040,81300,
18,,Surface,9,Image 1,3,1000081041,81301,
17,,Surface,9,Image 1,3,1000081043,81302,
57,,Surface,9,Image 1,3,1000081044,81303,
40,,Surface,9,Image 1,3,1000081045,81304,
10,,Surface,9,Image 1,3,1000081046,81305,
42,,Surface,9,Image 1,3,1000081047,81306,
8,,Surface,9,Image 1,3,1000081048,81307,
3,,Surface,9,Image 1,3,1000081050,81308,
29,,Surface,9,Image 1,3,1000081051,81309,
26,,Surface,9,Image 1,3,1000081052,81310,
40,,Surface,9,Image 1,3,1000081058,81311,
0,,Surface,9,Image 1,3,1000081054,81312,
42,,Surface,9,Image 1,3,1000081055,81313,
46,,Surface,9,Image 1,3,1000081186,81314,
38,,Surface,9,Image 1,3,1000081060,81315,
5,,Surface,9,Image 1,3,1000081057,81316,
23,,Surface,9,Image 1,3,1000081063,81317,
32,,Surface,9,Image 1,3,1000081188,81318,
40,,Surface,9,Image 1,3,1000081059,81319,
32,,Surface,9,Image 1,3,1000081061,81320,
46,,Surface,9,Image 1,3,1000081066,81321,
41,,Surface,9,Image 1,3,1000081062,81322,
46,,Surface,9,Image 1,3,1000081064,81323,
24,,Surface,9,Image 1,3,1000081065,81324,
12,,Surface,9,Image 1,3,1000081069,81325,
39,,Surface,9,Image 1,3,1000081071,81326,
25,,Surface,9,Image 1,3,1000081067,81327,
58,,Surface,9,Image 1,3,1000081068,81328,
55,,Surface,9,Image 1,3,1000081073,81329,
0,,Surface,9,Image 1,3,1000081074,81330,
14,,Surface,9,Image 1,3,1000081070,81331,
14,,Surface,9,Image 1,3,1000081078,81332,
17,,Surface,9,Image 1,3,1000081072,81333,
11,,Surface,9,Image 1,3,1000081075,81334,
23,,Surface,9,Image 1,3,1000081080,81335,
25,,Surface,9,Image 1,3,1000081077,81336,
70,,Surface,9,Image 1,3,1000081076,81337,
56,,Surface,9,Image 1,3,1000081082,81338,
17,,Surface,9,Image 1,3,1000081081,81339,
21,,Surface,9,Image 1,3,1000081079,81340,
14,,Surface,9,Image 1,3,1000081083,81341,
28,,Surface,9,Image 1,3,1000081086,81342,
37,,Surface,9,Image 1,3,1000081088,81343,
14,,Surface,9,Image 1,3,1000081085,81344,
17,,Surface,9,Image 1,3,1000081084,81345,
46,,Surface,9,Image 1,3,1000081096,81346,
4,,Surface,9,Image 1,3,1000081091,81347,
7,,Surface,9,Image 1,3,1000081090,81348,
0,,Surface,9,Image 1,3,1000081087,81349,
0,,Surface,9,Image 1,3,1000081092,81350,
38,,Surface,9,Image 1,3,1000081093,81351,
60,,Surface,9,Image 1,3,1000081094,81352,
27,,Surface,9,Image 1,3,1000081095,81353,
2,,Surface,9,Image 1,3,1000081097,81354,
62,,Surface,9,Image 1,3,1000081100,81355,
12,,Surface,9,Image 1,3,1000081089,81356,
71,,Surface,9,Image 1,3,1000081106,81357,
0,,Surface,9,Image 1,3,1000081098,81358,
3,,Surface,9,Image 1,3,1000081099,81359,
32,,Surface,9,Image 1,3,1000081103,81360,
56,,Surface,9,Image 1,3,1000081104,81361,
29,,Surface,9,Image 1,3,1000081101,81362,
1,,Surface,9,Image 1,3,1000081108,81363,
57,,Surface,9,Image 1,3,1000081105,81364,
9,,Surface,9,Image 1,3,1000081102,81365,
32,,Surface,9,Image 1,3,1000081107,81366,
39,,Surface,9,Image 1,3,1000081109,81367,
1,,Surface,9,Image 1,3,1000081111,81368,
21,,Surface,9,Image 1,3,1000081112,81369,
0,,Surface,9,Image 1,3,1000081239,81370,
70,,Surface,9,Image 1,3,1000081113,81371,
1,,Surface,9,Image 1,3,1000081116,81372,
0,,Surface,9,Image 1,3,1000081120,81373,
67,,Surface,9,Image 1,3,1000081117,81374,
74,,Surface,9,Image 1,3,1000081114,81375,
13,,Surface,9,Image 1,3,1000081118,81376,
24,,Surface,9,Image 1,3,1000081115,81377,
89,,Surface,9,Image 1,3,1000081119,81378,
16,,Surface,9,Image 1,3,1000081122,81379,
10,,Surface,9,Image 1,3,1000081121,81380,
35,,Surface,9,Image 1,3,1000081123,81381,
7,,Surface,9,Image 1,3,1000081126,81382,
49,,Surface,9,Image 1,3,1000081127,81383,
0,,Surface,9,Image 1,3,1000081129,81384,
28,,Surface,9,Image 1,3,1000081128,81385,
0,,Surface,9,Image 1,3,1000081131,81386,
37,,Surface,9,Image 1,3,1000081124,81387,
55,,Surface,9,Image 1,3,1000081388,81388,
10,,Surface,9,Image 1,3,1000081136,81389,
18,,Surface,9,Image 1,3,1000081134,81390,
24,,Surface,9,Image 1,3,1000081130,81391,
26,,Surface,9,Image 1,3,1000081132,81392,
12,,Surface,9,Image 1,3,1000081133,81393,
3,,Surface,9,Image 1,3,1000081263,81394,
49,,Surface,9,Image 1,3,1000081139,81395,
7,,Surface,9,Image 1,3,1000081138,81396,
28,,Surface,9,Image 1,3,1000081140,81397,
56,,Surface,9,Image 1,3,1000081141,81398,
43,,Surface,9,Image 1,3,1000081142,81399,
48,,Surface,9,Image 1,3,1000081143,81400,
62,,Surface,9,Image 1,3,1000081144,81401,
60,,Surface,9,Image 1,3,1000081146,81402,
10,,Surface,9,Image 1,3,1000081274,81403,
21,,Surface,9,Image 1,3,1000081148,81404,
