
Intensity Mean Ch=3 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,TrackID,ID,
0.142045,,Surface,3,Image 1,1,1000190301,190301,
2.93699,,Surface,3,Image 1,1,1000190301,190302,
2.6555,,Surface,3,Image 1,1,1000193132,193132,
0.985233,,Surface,3,Image 1,1,1000193132,193133,
0.415647,,Surface,3,Image 1,1,1000195915,195915,
23.1,,Surface,3,Image 1,1,1000195915,200340,
1.72222,,Surface,3,Image 1,1,1000195915,200341,
2.03628,,Surface,3,Image 1,1,1000195915,200342,
28.6923,,Surface,3,Image 1,1,1000206340,206340,
0.106413,,Surface,3,Image 1,1,1000206340,206341,
0,,Surface,3,Image 1,1,1000206977,206977,
0.307692,,Surface,3,Image 1,1,1000206977,206978,
41.95,,Surface,3,Image 1,1,1000206340,206979,
0.15134,,Surface,3,Image 1,1,1000209032,209032,
0.427072,,Surface,3,Image 1,1,1000210450,210450,
40.7286,,Surface,3,Image 1,1,1000195915,212300,
3.1241,,Surface,3,Image 1,1,1000195915,212301,
2.66078,,Surface,3,Image 1,1,1000195915,212302,
0.166667,,Surface,3,Image 1,1,1000195915,215280,
1.36802,,Surface,3,Image 1,1,1000215281,215281,
0.203518,,Surface,3,Image 1,1,1000215281,215282,
1.90564,,Surface,3,Image 1,1,1000195915,215283,
0.517913,,Surface,3,Image 1,1,1000195915,218902,
0,,Surface,3,Image 1,1,1000195915,218903,
0.36576,,Surface,3,Image 1,1,1000221774,221774,
34.7576,,Surface,3,Image 1,1,1000224278,224278,
0.987193,,Surface,3,Image 1,1,1000224278,224279,
12.9,,Surface,3,Image 1,1,1000228125,228125,
2.63158,,Surface,3,Image 1,1,1000228125,228126,
0.44896,,Surface,3,Image 1,1,1000228125,228127,
0.406593,,Surface,3,Image 1,1,1000228125,228128,
0.40407,,Surface,3,Image 1,1,1000235535,235535,
0.430751,,Surface,3,Image 1,1,1000235535,235536,
0.488199,,Surface,3,Image 1,1,1000228125,238413,
0.221566,,Surface,3,Image 1,1,1000228125,238414,
0.472081,,Surface,3,Image 1,1,1000235535,238415,
0.270047,,Surface,3,Image 1,1,1000244591,244591,
1.01818,,Surface,3,Image 1,1,1000245316,245316,
0.259459,,Surface,3,Image 1,2,1000190301,245317,
2.85118,,Surface,3,Image 1,2,1000190301,245318,
2.20536,,Surface,3,Image 1,2,1000193132,245319,
1.0126,,Surface,3,Image 1,2,1000193132,245320,
0.493334,,Surface,3,Image 1,2,1000195915,245321,
2.61538,,Surface,3,Image 1,2,1000195915,245322,
4,,Surface,3,Image 1,2,1000195915,245323,
24.9167,,Surface,3,Image 1,2,1000195915,245324,
1.94981,,Surface,3,Image 1,2,1000195915,245325,
28.8571,,Surface,3,Image 1,2,1000206340,245326,
0.118993,,Surface,3,Image 1,2,1000206340,245327,
0.409339,,Surface,3,Image 1,2,1000206977,245328,
39.9792,,Surface,3,Image 1,2,1000206340,245329,
0.148796,,Surface,3,Image 1,2,1000209032,245330,
0.470244,,Surface,3,Image 1,2,1000210450,245331,
39.7647,,Surface,3,Image 1,2,1000195915,245332,
3.88182,,Surface,3,Image 1,2,1000195915,245333,
2.64344,,Surface,3,Image 1,2,1000195915,245334,
1.52564,,Surface,3,Image 1,2,1000215281,245335,
0,,Surface,3,Image 1,2,1000195915,245336,
0.169069,,Surface,3,Image 1,2,1000215281,245337,
2.18695,,Surface,3,Image 1,2,1000195915,245338,
0.490731,,Surface,3,Image 1,2,1000195915,245339,
0.352591,,Surface,3,Image 1,2,1000221774,245340,
33,,Surface,3,Image 1,2,1000224278,245341,
0.888504,,Surface,3,Image 1,2,1000224278,245342,
14.8889,,Surface,3,Image 1,2,1000228125,245343,
1.84211,,Surface,3,Image 1,2,1000228125,245344,
8.64286,,Surface,3,Image 1,2,1000228125,245345,
0.389454,,Surface,3,Image 1,2,1000228125,245346,
0.967391,,Surface,3,Image 1,2,1000228125,245347,
0.741123,,Surface,3,Image 1,2,1000235535,245348,
0.614731,,Surface,3,Image 1,2,1000235535,245349,
0.622993,,Surface,3,Image 1,2,1000228125,245350,
0.228477,,Surface,3,Image 1,2,1000228125,245351,
0.344444,,Surface,3,Image 1,2,1000235535,245352,
0.264778,,Surface,3,Image 1,2,1000244591,245353,
0.758491,,Surface,3,Image 1,2,1000245316,245354,
0.105263,,Surface,3,Image 1,3,1000190301,245355,
2.99712,,Surface,3,Image 1,3,1000190301,245356,
3.11538,,Surface,3,Image 1,3,1000193132,245357,
1.02383,,Surface,3,Image 1,3,1000193132,245358,
0.452691,,Surface,3,Image 1,3,1000195915,245359,
25.5161,,Surface,3,Image 1,3,1000195915,245360,
4.75,,Surface,3,Image 1,3,1000195915,245361,
6.91667,,Surface,3,Image 1,3,1000195915,245362,
1.59725,,Surface,3,Image 1,3,1000195915,245363,
25.9231,,Surface,3,Image 1,3,1000206340,245364,
0.111265,,Surface,3,Image 1,3,1000206340,245365,
0.262817,,Surface,3,Image 1,3,1000206977,245366,
39.6087,,Surface,3,Image 1,3,1000206340,245367,
0.202513,,Surface,3,Image 1,3,1000209032,245368,
0.446438,,Surface,3,Image 1,3,1000210450,245369,
39.8986,,Surface,3,Image 1,3,1000195915,245370,
3.74816,,Surface,3,Image 1,3,1000195915,245371,
2.60207,,Surface,3,Image 1,3,1000195915,245372,
1.30803,,Surface,3,Image 1,3,1000215281,245373,
0,,Surface,3,Image 1,3,1000195915,245374,
0.209239,,Surface,3,Image 1,3,1000215281,245375,
2.03829,,Surface,3,Image 1,3,1000195915,245376,
0.662148,,Surface,3,Image 1,3,1000195915,245377,
0.2,,Surface,3,Image 1,3,1000195915,245378,
0.348682,,Surface,3,Image 1,3,1000221774,245379,
8,,Surface,3,Image 1,3,1000224278,245380,
36.7,,Surface,3,Image 1,3,1000224278,245381,
0.75783,,Surface,3,Image 1,3,1000224278,245382,
9.97917,,Surface,3,Image 1,3,1000228125,245383,
1.66667,,Surface,3,Image 1,3,1000228125,245384,
0.393389,,Surface,3,Image 1,3,1000228125,245385,
0.863636,,Surface,3,Image 1,3,1000228125,245386,
0.628052,,Surface,3,Image 1,3,1000235535,245387,
1.73617,,Surface,3,Image 1,3,1000235535,245388,
0.685027,,Surface,3,Image 1,3,1000228125,245389,
0.305742,,Surface,3,Image 1,3,1000228125,245390,
0.284946,,Surface,3,Image 1,3,1000235535,245391,
0.262548,,Surface,3,Image 1,3,1000244591,245392,
0.86087,,Surface,3,Image 1,3,1000245316,245393,
0.25,,Surface,3,Image 1,4,1000190301,245394,
2.86078,,Surface,3,Image 1,4,1000190301,245395,
1.755,,Surface,3,Image 1,4,1000193132,245396,
1.0203,,Surface,3,Image 1,4,1000193132,245397,
0.443598,,Surface,3,Image 1,4,1000195915,245398,
29.1321,,Surface,3,Image 1,4,1000195915,245399,
6.25926,,Surface,3,Image 1,4,1000195915,245400,
1.43536,,Surface,3,Image 1,4,1000195915,245401,
27.5385,,Surface,3,Image 1,4,1000206340,245402,
0.3,,Surface,3,Image 1,4,1000206340,245403,
0.0849366,,Surface,3,Image 1,4,1000206340,245404,
0.284496,,Surface,3,Image 1,4,1000206977,245405,
38.0208,,Surface,3,Image 1,4,1000206340,245406,
0.116398,,Surface,3,Image 1,4,1000209032,245407,
0.441495,,Surface,3,Image 1,4,1000210450,245408,
41.3,,Surface,3,Image 1,4,1000195915,245409,
3.05647,,Surface,3,Image 1,4,1000195915,245410,
2.56247,,Surface,3,Image 1,4,1000195915,245411,
1.53211,,Surface,3,Image 1,4,1000215281,245412,
0.05,,Surface,3,Image 1,4,1000195915,245413,
0.203018,,Surface,3,Image 1,4,1000215281,245414,
2.9341,,Surface,3,Image 1,4,1000195915,245415,
0.5554,,Surface,3,Image 1,4,1000195915,245416,
0,,Surface,3,Image 1,4,1000195915,245417,
0.453287,,Surface,3,Image 1,4,1000221774,245418,
0.4,,Surface,3,Image 1,4,1000224278,245419,
36.0938,,Surface,3,Image 1,4,1000224278,245420,
0.768219,,Surface,3,Image 1,4,1000224278,245421,
1.95,,Surface,3,Image 1,4,1000228125,245422,
0.0782313,,Surface,3,Image 1,4,1000228125,245423,
13.4444,,Surface,3,Image 1,4,1000228125,245424,
0.463733,,Surface,3,Image 1,4,1000228125,245425,
0.876289,,Surface,3,Image 1,4,1000228125,245426,
50.1667,,Surface,3,Image 1,4,1000235535,245427,
0.615822,,Surface,3,Image 1,4,1000235535,245428,
1.2,,Surface,3,Image 1,4,1000235535,245429,
0.689711,,Surface,3,Image 1,4,1000228125,245430,
0.25157,,Surface,3,Image 1,4,1000228125,245431,
0.321101,,Surface,3,Image 1,4,1000235535,245432,
