
Intensity Mean Ch=3 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,TrackID,ID,
2.93333,,Surface,3,Image 1,1,1000152658,152658,
2.65217,,Surface,3,Image 1,1,1000152659,152659,
3.05479,,Surface,3,Image 1,1,1000152660,152660,
1.94828,,Surface,3,Image 1,1,1000152661,152661,
2.26154,,Surface,3,Image 1,1,1000152662,152662,
13.5222,,Surface,3,Image 1,1,1000152663,152663,
2.8,,Surface,3,Image 1,1,1000152664,152664,
0.653846,,Surface,3,Image 1,1,1000152665,152665,
2.5283,,Surface,3,Image 1,1,1000152666,152666,
1.83516,,Surface,3,Image 1,1,1000152667,152667,
0.492308,,Surface,3,Image 1,1,1000152668,152668,
252.483,,Surface,3,Image 1,1,1000152669,152669,
2.77612,,Surface,3,Image 1,1,1000152670,152670,
2.55696,,Surface,3,Image 1,1,1000152671,152671,
2.56,,Surface,3,Image 1,1,1000152672,152672,
6.3,,Surface,3,Image 1,1,1000152673,152673,
2.51786,,Surface,3,Image 1,1,1000152674,152674,
248.412,,Surface,3,Image 1,1,1000152675,152675,
12.3294,,Surface,3,Image 1,1,1000152676,152676,
2.65625,,Surface,3,Image 1,1,1000152677,152677,
10.0275,,Surface,3,Image 1,1,1000152678,152678,
2.2375,,Surface,3,Image 1,1,1000152679,152679,
2.10465,,Surface,3,Image 1,1,1000152680,152680,
2.53448,,Surface,3,Image 1,1,1000152681,152681,
3.06316,,Surface,3,Image 1,1,1000152682,152682,
3.66197,,Surface,3,Image 1,1,1000152683,152683,
2.37097,,Surface,3,Image 1,1,1000152684,152684,
2.22785,,Surface,3,Image 1,1,1000152685,152685,
23.1638,,Surface,3,Image 1,1,1000152686,152686,
2.5,,Surface,3,Image 1,1,1000152687,152687,
0.202899,,Surface,3,Image 1,1,1000152688,152688,
2.63077,,Surface,3,Image 1,1,1000152689,152689,
2.33043,,Surface,3,Image 1,1,1000152690,152690,
2.125,,Surface,3,Image 1,1,1000152691,152691,
3.43836,,Surface,3,Image 1,1,1000152692,152692,
1.97849,,Surface,3,Image 1,1,1000152693,152693,
3.01563,,Surface,3,Image 1,1,1000152694,152694,
2.66667,,Surface,3,Image 1,1,1000152695,152695,
1.26531,,Surface,3,Image 1,1,1000152696,152696,
2.13043,,Surface,3,Image 1,1,1000152697,152697,
255,,Surface,3,Image 1,1,1000152698,152698,
2.43077,,Surface,3,Image 1,1,1000152699,152699,
3.19355,,Surface,3,Image 1,1,1000152700,152700,
2.26882,,Surface,3,Image 1,1,1000152701,152701,
3.5,,Surface,3,Image 1,1,1000152702,152702,
2.81481,,Surface,3,Image 1,1,1000152703,152703,
2.49451,,Surface,3,Image 1,1,1000152704,152704,
3.17978,,Surface,3,Image 1,1,1000152705,152705,
0.54023,,Surface,3,Image 1,1,1000152706,152706,
8.01124,,Surface,3,Image 1,1,1000152707,152707,
4.53571,,Surface,3,Image 1,1,1000152708,152708,
250.72,,Surface,3,Image 1,1,1000152709,152709,
2.08889,,Surface,3,Image 1,1,1000152710,152710,
99.5385,,Surface,3,Image 1,1,1000152711,152711,
2.27941,,Surface,3,Image 1,1,1000152712,152712,
0.453125,,Surface,3,Image 1,1,1000152713,152713,
13.5714,,Surface,3,Image 1,1,1000152714,152714,
3.7438,,Surface,3,Image 1,1,1000152715,152715,
11.875,,Surface,3,Image 1,1,1000152716,152716,
2.88158,,Surface,3,Image 1,1,1000152717,152717,
3.41667,,Surface,3,Image 1,1,1000152718,152718,
255,,Surface,3,Image 1,1,1000152719,152719,
0.5,,Surface,3,Image 1,1,1000152720,152720,
2.21111,,Surface,3,Image 1,1,1000152721,152721,
1.8,,Surface,3,Image 1,1,1000152722,152722,
2.47872,,Surface,3,Image 1,1,1000152723,152723,
1.81818,,Surface,3,Image 1,1,1000152724,152724,
1.77011,,Surface,3,Image 1,1,1000152725,152725,
37.5047,,Surface,3,Image 1,1,1000152726,152726,
16.3756,,Surface,3,Image 1,1,1000152727,152727,
1.89796,,Surface,3,Image 1,1,1000152728,152728,
1.68421,,Surface,3,Image 1,1,1000152729,152729,
254.167,,Surface,3,Image 1,1,1000152730,152730,
2.24561,,Surface,3,Image 1,1,1000152731,152731,
1.89362,,Surface,3,Image 1,1,1000152732,152732,
10.7653,,Surface,3,Image 1,1,1000152733,152733,
2.16667,,Surface,3,Image 1,1,1000152734,152734,
0.67619,,Surface,3,Image 1,1,1000152735,152735,
3.76471,,Surface,3,Image 1,1,1000152736,152736,
2.84,,Surface,3,Image 1,1,1000152737,152737,
3.62121,,Surface,3,Image 1,1,1000152738,152738,
2.83051,,Surface,3,Image 1,1,1000152739,152739,
5.78448,,Surface,3,Image 1,1,1000152740,152740,
15.375,,Surface,3,Image 1,1,1000152741,152741,
1.0113,,Surface,3,Image 1,1,1000152742,152742,
2.20732,,Surface,3,Image 1,1,1000152743,152743,
5.34188,,Surface,3,Image 1,1,1000152744,152744,
3.38983,,Surface,3,Image 1,1,1000152745,152745,
7.26667,,Surface,3,Image 1,1,1000152746,152746,
26.1176,,Surface,3,Image 1,1,1000152747,152747,
2.25287,,Surface,3,Image 1,1,1000152748,152748,
0.58,,Surface,3,Image 1,1,1000152749,152749,
3.2029,,Surface,3,Image 1,1,1000152750,152750,
15.6105,,Surface,3,Image 1,1,1000152751,152751,
3.45977,,Surface,3,Image 1,1,1000152752,152752,
2.62319,,Surface,3,Image 1,1,1000152753,152753,
2.47959,,Surface,3,Image 1,1,1000152754,152754,
4.45385,,Surface,3,Image 1,1,1000152755,152755,
2.38636,,Surface,3,Image 1,1,1000152756,152756,
9.112,,Surface,3,Image 1,1,1000152757,152757,
10.3243,,Surface,3,Image 1,1,1000152758,152758,
24.807,,Surface,3,Image 1,1,1000152759,152759,
1.89655,,Surface,3,Image 1,1,1000152760,152760,
1.93333,,Surface,3,Image 1,1,1000152761,152761,
2.39583,,Surface,3,Image 1,1,1000152762,152762,
2.54455,,Surface,3,Image 1,1,1000152763,152763,
10.087,,Surface,3,Image 1,1,1000152764,152764,
255,,Surface,3,Image 1,1,1000152765,152765,
3.5,,Surface,3,Image 1,1,1000152766,152766,
204.9,,Surface,3,Image 1,1,1000152767,152767,
2.27273,,Surface,3,Image 1,1,1000152768,152768,
