
Speed
 ==================== 
Speed,Unit,Category,Time,TrackID,ID,
82.5348,um/h,Surface,1,1000207433,207433,
13.6323,um/h,Surface,1,1000207434,207434,
33.1395,um/h,Surface,1,1000207435,207435,
73.4751,um/h,Surface,1,1000207436,207436,
50.4639,um/h,Surface,1,1000207437,207437,
73.7669,um/h,Surface,1,1000207438,207438,
4.77222,um/h,Surface,1,1000207439,207439,
30.1447,um/h,Surface,1,1000207440,207440,
19.6682,um/h,Surface,1,1000207441,207441,
86.993,um/h,Surface,1,1000207442,207442,
5.70273,um/h,Surface,1,1000207443,207443,
9.98338,um/h,Surface,1,1000207444,207444,
45.868,um/h,Surface,1,1000207445,207445,
68.424,um/h,Surface,1,1000207446,207446,
52.2207,um/h,Surface,1,1000207447,207447,
5.95687,um/h,Surface,1,1000207448,207448,
24.9969,um/h,Surface,1,1000207449,207449,
55.1424,um/h,Surface,1,1000207450,207450,
337.319,um/h,Surface,1,1000207451,207451,
27.7528,um/h,Surface,1,1000207452,207452,
17.0133,um/h,Surface,1,1000207453,207453,
1.715,um/h,Surface,1,1000207454,207454,
13.1521,um/h,Surface,1,1000207455,207455,
106.94,um/h,Surface,1,1000207456,207456,
58.0502,um/h,Surface,1,1000207457,207457,
240.537,um/h,Surface,1,1000207458,207458,
15.4941,um/h,Surface,1,1000207459,207459,
3.06244,um/h,Surface,1,1000207460,207460,
69.763,um/h,Surface,1,1000207461,207461,
49.8852,um/h,Surface,1,1000207462,207462,
11.5533,um/h,Surface,1,1000207463,207463,
31.7165,um/h,Surface,1,1000207464,207464,
56.5557,um/h,Surface,1,1000207465,207465,
15.3545,um/h,Surface,1,1000207466,207466,
15.0992,um/h,Surface,1,1000207467,207467,
56.6365,um/h,Surface,1,1000207468,207468,
287.26,um/h,Surface,1,1000207469,207469,
6.59341,um/h,Surface,1,1000207470,207470,
76.9923,um/h,Surface,1,1000207471,207471,
26.4056,um/h,Surface,1,1000207472,207472,
85.8099,um/h,Surface,1,1000207473,207473,
121.051,um/h,Surface,1,1000207474,207474,
70.9084,um/h,Surface,1,1000207475,207475,
52.3815,um/h,Surface,1,1000207476,207476,
67.5844,um/h,Surface,1,1000207477,207477,
9.25912,um/h,Surface,1,1000207478,207478,
41.4086,um/h,Surface,1,1000207479,207479,
37.3548,um/h,Surface,1,1000207480,207480,
