
Intensity Mean Ch=3 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,TrackID,ID,
1.68056,,Surface,3,Image 1,1,1000161026,161026,
1.00376,,Surface,3,Image 1,1,1000161027,161027,
2.2069,,Surface,3,Image 1,1,1000161028,161028,
1.33333,,Surface,3,Image 1,1,1000161029,161029,
2,,Surface,3,Image 1,1,1000161030,161030,
1.95385,,Surface,3,Image 1,1,1000161031,161031,
0.684211,,Surface,3,Image 1,1,1000161032,161032,
0.984127,,Surface,3,Image 1,1,1000161033,161033,
12.8393,,Surface,3,Image 1,1,1000161034,161034,
1.22667,,Surface,3,Image 1,1,1000161035,161035,
0.547945,,Surface,3,Image 1,1,1000161036,161036,
181.238,,Surface,3,Image 1,1,1000161037,161037,
1.74074,,Surface,3,Image 1,1,1000161038,161038,
1.0339,,Surface,3,Image 1,1,1000161039,161039,
2.57813,,Surface,3,Image 1,1,1000161040,161040,
1.69355,,Surface,3,Image 1,1,1000161041,161041,
1,,Surface,3,Image 1,1,1000161042,161042,
1.25926,,Surface,3,Image 1,1,1000161043,161043,
2.34783,,Surface,3,Image 1,1,1000161044,161044,
1.25352,,Surface,3,Image 1,1,1000161045,161045,
0.291667,,Surface,3,Image 1,1,1000161046,161046,
1.91525,,Surface,3,Image 1,1,1000161047,161047,
1.37736,,Surface,3,Image 1,1,1000161048,161048,
6.40741,,Surface,3,Image 1,1,1000161049,161049,
1.06349,,Surface,3,Image 1,1,1000161050,161050,
1.375,,Surface,3,Image 1,1,1000161051,161051,
1.14754,,Surface,3,Image 1,1,1000161052,161052,
1.64407,,Surface,3,Image 1,1,1000161053,161053,
1.5625,,Surface,3,Image 1,1,1000161054,161054,
4.61818,,Surface,3,Image 1,1,1000161055,161055,
2.13095,,Surface,3,Image 1,1,1000161056,161056,
0.4,,Surface,3,Image 1,1,1000161057,161057,
4.64286,,Surface,3,Image 1,1,1000161058,161058,
2.11111,,Surface,3,Image 1,1,1000161059,161059,
1.20213,,Surface,3,Image 1,1,1000161060,161060,
2.26786,,Surface,3,Image 1,1,1000161061,161061,
1.19767,,Surface,3,Image 1,1,1000161062,161062,
19.4,,Surface,3,Image 1,1,1000161063,161063,
2.58333,,Surface,3,Image 1,1,1000161064,161064,
1.22619,,Surface,3,Image 1,1,1000161065,161065,
2.42105,,Surface,3,Image 1,1,1000161066,161066,
2.13333,,Surface,3,Image 1,1,1000161067,161067,
2.09333,,Surface,3,Image 1,1,1000161068,161068,
1,,Surface,3,Image 1,1,1000161069,161069,
1.82,,Surface,3,Image 1,1,1000161070,161070,
12.7632,,Surface,3,Image 1,1,1000161071,161071,
6.11957,,Surface,3,Image 1,1,1000161072,161072,
