
Intensity Min Ch=9 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,TrackID,ID,
0.0213583,,Surface,9,Image 1,1,1000161026,161026,
0,,Surface,9,Image 1,1,1000161027,161027,
0.00708493,,Surface,9,Image 1,1,1000161028,161028,
0.014606,,Surface,9,Image 1,1,1000161029,161029,
0.00354246,,Surface,9,Image 1,1,1000161030,161030,
0.00354246,,Surface,9,Image 1,1,1000161031,161031,
0.0481827,,Surface,9,Image 1,1,1000161032,161032,
0.00105,,Surface,9,Image 1,1,1000161033,161033,
0.0413119,,Surface,9,Image 1,1,1000161034,161034,
0.0318822,,Surface,9,Image 1,1,1000161035,161035,
0,,Surface,9,Image 1,1,1000161036,161036,
0,,Surface,9,Image 1,1,1000161037,161037,
0.0503479,,Surface,9,Image 1,1,1000161038,161038,
0,,Surface,9,Image 1,1,1000161039,161039,
0.00852454,,Surface,9,Image 1,1,1000161040,161040,
0.0180631,,Surface,9,Image 1,1,1000161041,161041,
0,,Surface,9,Image 1,1,1000161042,161042,
0.0354246,,Surface,9,Image 1,1,1000161043,161043,
0.0100196,,Surface,9,Image 1,1,1000161044,161044,
0.0326599,,Surface,9,Image 1,1,1000161045,161045,
0.00354246,,Surface,9,Image 1,1,1000161046,161046,
0.0400784,,Surface,9,Image 1,1,1000161047,161047,
0.0472624,,Surface,9,Image 1,1,1000161048,161048,
0,,Surface,9,Image 1,1,1000161049,161049,
0.0560113,,Surface,9,Image 1,1,1000161050,161050,
0.0269786,,Surface,9,Image 1,1,1000161051,161051,
0.00354246,,Surface,9,Image 1,1,1000161052,161052,
0.0739688,,Surface,9,Image 1,1,1000161053,161053,
0,,Surface,9,Image 1,1,1000161054,161054,
0,,Surface,9,Image 1,1,1000161055,161055,
0.079607,,Surface,9,Image 1,1,1000161056,161056,
0,,Surface,9,Image 1,1,1000161057,161057,
0.0680485,,Surface,9,Image 1,1,1000161058,161058,
0.0526625,,Surface,9,Image 1,1,1000161059,161059,
0.127529,,Surface,9,Image 1,1,1000161060,161060,
0.0112023,,Surface,9,Image 1,1,1000161061,161061,
0.0957122,,Surface,9,Image 1,1,1000161062,161062,
0.0112023,,Surface,9,Image 1,1,1000161063,161063,
0.0237636,,Surface,9,Image 1,1,1000161064,161064,
0.0285603,,Surface,9,Image 1,1,1000161065,161065,
0.0257895,,Surface,9,Image 1,1,1000161066,161066,
0.025049,,Surface,9,Image 1,1,1000161067,161067,
0.00792119,,Surface,9,Image 1,1,1000161068,161068,
0,,Surface,9,Image 1,1,1000161069,161069,
0.0146436,,Surface,9,Image 1,1,1000161070,161070,
0,,Surface,9,Image 1,1,1000161071,161071,
0,,Surface,9,Image 1,1,1000161072,161072,
0,,Surface,9,Image 1,1,1000161073,161073,
0.0180631,,Surface,9,Image 1,1,1000161074,161074,
0,,Surface,9,Image 1,1,1000161075,161075,
0.0050098,,Surface,9,Image 1,1,1000161076,161076,
0,,Surface,9,Image 1,1,1000161077,161077,
0,,Surface,9,Image 1,1,1000161078,161078,
0.0151978,,Surface,9,Image 1,1,1000161079,161079,
0.0493408,,Surface,9,Image 1,1,1000161080,161080,
0,,Surface,9,Image 1,1,1000161081,161081,
0.0364069,,Surface,9,Image 1,1,1000161082,161082,
0.0100196,,Surface,9,Image 1,1,1000161083,161083,
0.0050098,,Surface,9,Image 1,1,1000161084,161084,
0.0381535,,Surface,9,Image 1,1,1000161085,161085,
0,,Surface,9,Image 1,1,1000161086,161086,
0,,Surface,9,Image 1,1,1000161087,161087,
0,,Surface,9,Image 1,1,1000161088,161088,
0.0150294,,Surface,9,Image 1,1,1000161089,161089,
0.0497209,,Surface,9,Image 1,1,1000161090,161090,
0,,Surface,9,Image 1,1,1000161091,161091,
0.0150294,,Surface,9,Image 1,1,1000161092,161092,
0,,Surface,9,Image 1,1,1000161093,161093,
0.00354246,,Surface,9,Image 1,1,1000161094,161094,
0.00354246,,Surface,9,Image 1,1,1000161095,161095,
0.00354246,,Surface,9,Image 1,1,1000161096,161096,
0.0495945,,Surface,9,Image 1,1,1000161097,161097,
0.0150294,,Surface,9,Image 1,1,1000161098,161098,
0.0316848,,Surface,9,Image 1,1,1000161099,161099,
0.0141699,,Surface,9,Image 1,1,1000161100,161100,
0.00792119,,Surface,9,Image 1,1,1000161101,161101,
0.0177123,,Surface,9,Image 1,1,1000161102,161102,
0.00792119,,Surface,9,Image 1,1,1000161103,161103,
0.0237636,,Surface,9,Image 1,1,1000161104,161104,
0,,Surface,9,Image 1,1,1000161105,161105,
0.0285603,,Surface,9,Image 1,1,1000161106,161106,
0,,Surface,9,Image 1,1,1000161107,161107,
0.021548,,Surface,9,Image 1,1,1000161108,161108,
0.0320784,,Surface,9,Image 1,1,1000161109,161109,
0.025888,,Surface,9,Image 1,1,1000161110,161110,
0.0200392,,Surface,9,Image 1,1,1000161111,161111,
0.00708493,,Surface,9,Image 1,1,1000161112,161112,
