
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,TrackID,ID,
685.186,691.54,10.6583,um,Surface,Position,1,1000190005,190005,
705.685,695.23,9.82134,um,Surface,Position,1,1000190006,190006,
563.637,695.247,10.7739,um,Surface,Position,1,1000190007,190007,
657.765,652.097,9.618,um,Surface,Position,1,1000190008,190008,
621.914,680.973,11.9966,um,Surface,Position,1,1000190009,190009,
706.722,456.978,8.4,um,Surface,Position,1,1000190010,190010,
482.189,692.729,11.4975,um,Surface,Position,1,1000190011,190011,
695.223,543.594,11.1799,um,Surface,Position,1,1000190012,190012,
610.895,493.093,11.5055,um,Surface,Position,1,1000190013,190013,
651.786,491.306,11.4083,um,Surface,Position,1,1000190014,190014,
494.418,649.065,11.2241,um,Surface,Position,1,1000190015,190015,
542.02,514.095,14.3659,um,Surface,Position,1,1000190016,190016,
468.836,605.972,11.292,um,Surface,Position,1,1000190017,190017,
513.854,505.982,11.095,um,Surface,Position,1,1000190018,190018,
538.164,483.864,11.8243,um,Surface,Position,1,1000190019,190019,
592.536,442.808,12.5883,um,Surface,Position,1,1000190020,190020,
507.134,481.991,10.8713,um,Surface,Position,1,1000190021,190021,
568.511,438.802,13.0765,um,Surface,Position,1,1000190022,190022,
497.358,511.393,11.9953,um,Surface,Position,1,1000190023,190023,
600.126,355.374,11.9659,um,Surface,Position,1,1000190024,190024,
460.095,489.498,12.432,um,Surface,Position,1,1000190025,190025,
488.923,433.066,21.9,um,Surface,Position,1,1000190026,190026,
642.648,296.637,11.13,um,Surface,Position,1,1000190027,190027,
257.658,674.689,11.8516,um,Surface,Position,1,1000190028,190028,
687.632,233.015,12.8333,um,Surface,Position,1,1000190029,190029,
406.793,518.381,10.0333,um,Surface,Position,1,1000190030,190030,
394.834,551.23,12.142,um,Surface,Position,1,1000190031,190031,
695.886,202.58,12.075,um,Surface,Position,1,1000190032,190032,
199.721,697.69,16.3673,um,Surface,Position,1,1000190033,190033,
423.325,497.49,13.0803,um,Surface,Position,1,1000190034,190034,
397.391,494.642,11.1241,um,Surface,Position,1,1000190035,190035,
284.662,547.817,30.3375,um,Surface,Position,1,1000190036,190036,
567.839,334.082,12.5462,um,Surface,Position,1,1000190037,190037,
200.225,678.872,13.4601,um,Surface,Position,1,1000190038,190038,
279.9,595.089,11.4288,um,Surface,Position,1,1000190039,190039,
