"","cluster","engagement","frec","total_n","cluster_prop"
"1","2","never-engaged",38,401,9.47630922693267
"2","2","nonengager",38,446,8.52017937219731
"3","3","never-engaged",108,401,26.9326683291771
"4","3","nonengager",108,446,24.2152466367713
"5","4","never-engaged",47,401,11.7206982543641
"6","4","nonengager",47,446,10.5381165919283
"7","5","never-engaged",56,401,13.9650872817955
"8","5","nonengager",56,446,12.5560538116592
"9","6","never-engaged",44,401,10.9725685785536
"10","6","nonengager",44,446,9.86547085201794
"11","7","engager",14,144,9.72222222222222
"12","7","never-engaged",79,401,19.7007481296758
"13","7","nonengager",88,446,19.7309417040359
"14","7","super-engaged",1,87,1.14942528735632
"15","8","engager",38,144,26.3888888888889
"16","8","never-engaged",23,401,5.7356608478803
"17","8","nonengager",44,446,9.86547085201794
"18","8","super-engaged",9,87,10.3448275862069
"19","9","engager",92,144,63.8888888888889
"20","9","never-engaged",6,401,1.49625935162095
"21","9","nonengager",21,446,4.7085201793722
"22","9","super-engaged",77,87,88.5057471264368
