"","cluster","engagement","frec","total_n","cluster_prop"
"1","2","never-engaged",24,321,7.47663551401869
"2","2","nonengager",24,375,6.4
"3","3","never-engaged",82,321,25.5451713395639
"4","3","nonengager",82,375,21.8666666666667
"5","4","never-engaged",47,321,14.6417445482866
"6","4","nonengager",47,375,12.5333333333333
"7","5","never-engaged",40,321,12.4610591900312
"8","5","nonengager",40,375,10.6666666666667
"9","6","never-engaged",36,321,11.214953271028
"10","6","nonengager",36,375,9.6
"11","7","engager",15,201,7.46268656716418
"12","7","never-engaged",64,321,19.9376947040498
"13","7","nonengager",74,375,19.7333333333333
"14","8","engager",37,201,18.407960199005
"15","8","never-engaged",25,321,7.78816199376947
"16","8","nonengager",41,375,10.9333333333333
"17","8","super-engaged",8,130,6.15384615384615
"18","9","engager",149,201,74.1293532338308
"19","9","never-engaged",3,321,0.934579439252336
"20","9","nonengager",31,375,8.26666666666667
"21","9","super-engaged",122,130,93.8461538461538
